ksize,threads,time
100,1,0.030839
100,1,0.032906
100,1,0.035695
100,1,0.038508
100,1,0.033849
100,2,0.033941
100,2,0.033031
100,2,0.035910
100,2,0.037623
100,2,0.038333
100,4,0.037853
100,4,0.038285
100,4,0.033817
100,4,0.035716
100,4,0.033029
100,6,0.037650
100,6,0.037082
100,6,0.031201
100,6,0.034959
100,6,0.033362
100,8,0.031009
100,8,0.035516
100,8,0.032792
100,8,0.033394
100,8,0.034195
100,10,0.038935
100,10,0.045642
100,10,0.054373
100,10,0.053332
100,10,0.035415
100,12,0.036224
100,12,0.034125
100,12,0.034657
100,12,0.035532
100,12,0.047163
500,1,0.625581
500,1,0.624508
500,1,0.625297
500,1,0.627154
500,1,0.627133
500,2,0.628483
500,2,0.627502
500,2,0.628543
500,2,0.639542
500,2,0.624492
500,4,0.624846
500,4,0.628138
500,4,0.622655
500,4,0.624567
500,4,0.626962
500,6,0.626385
500,6,0.625371
500,6,0.629534
500,6,0.623904
500,6,0.629767
500,8,0.627604
500,8,0.627761
500,8,0.623191
500,8,0.624184
500,8,0.623697
500,10,0.622933
500,10,0.623715
500,10,0.687240
500,10,0.622052
500,10,0.628616
500,12,0.626333
500,12,0.624442
500,12,0.624938
500,12,0.627499
500,12,0.624555
1000,1,2.460968
1000,1,2.469265
1000,1,2.470459
1000,1,2.468485
1000,1,2.463000
1000,2,2.471209
1000,2,2.462858
1000,2,2.468213
1000,2,2.480969
1000,2,2.474538
1000,4,2.465000
1000,4,2.466643
1000,4,2.469932
1000,4,2.468630
1000,4,2.465041
1000,6,2.467329
1000,6,2.469124
1000,6,2.468451
1000,6,2.464287
1000,6,2.500045
1000,8,2.465772
1000,8,2.463209
1000,8,2.468044
1000,8,2.463245
1000,8,2.465142
1000,10,2.471696
1000,10,2.467787
1000,10,2.465099
1000,10,2.468449
1000,10,2.467027
1000,12,2.466863
1000,12,2.471309
1000,12,2.465498
1000,12,2.464153
1000,12,2.469252
5000,1,61.456459
5000,1,61.468222
5000,1,61.473206
5000,1,61.473583
5000,1,61.480684
5000,2,61.457756
5000,2,61.457297
5000,2,61.469106
5000,2,61.465970
5000,2,61.459616
5000,4,61.460120
5000,4,61.466830
5000,4,61.457863
5000,4,61.458798
5000,4,61.459132
5000,6,61.472384
5000,6,61.469850
5000,6,61.471915
5000,6,61.464303
5000,6,61.475360
5000,8,61.461323
5000,8,61.464592
5000,8,61.466191
5000,8,61.464565
5000,8,61.462850
5000,10,61.465205
5000,10,61.461637
5000,10,61.452284
5000,10,61.469077
5000,10,61.461088
5000,12,61.477376
5000,12,61.467668
5000,12,61.472438
5000,12,61.482457
5000,12,61.487303
10000,1,246.030719
10000,1,246.062274
10000,1,246.049736
10000,1,246.042733
10000,1,246.065721
10000,2,246.044764
10000,2,246.057469
10000,2,246.061167
10000,2,246.068965
10000,2,246.041545
10000,4,246.051626
10000,4,246.063243
10000,4,246.052345
10000,4,246.054615
10000,4,246.033509
10000,6,246.092282
10000,6,246.410953
10000,6,246.338757
10000,6,246.304046
10000,6,246.293162
10000,8,246.050827
10000,8,246.351539
10000,8,246.310000
10000,8,246.319496
10000,8,246.320238
10000,10,246.077197
10000,10,246.362837
10000,10,246.224600
10000,10,246.354608
10000,10,246.336195
10000,12,246.041728
10000,12,246.384696
10000,12,246.324494
10000,12,246.317920
10000,12,246.303199
