ksize,threads,time
100,1,0.029733
100,1,0.027838
100,1,0.016397
100,1,0.017626
100,1,0.017288
100,2,0.019170
100,2,0.021247
100,2,0.018463
100,2,0.020028
100,2,0.018213
100,4,0.010941
100,4,0.012218
100,4,0.012638
100,4,0.014837
100,4,0.014869
100,8,0.011919
100,8,0.010058
100,8,0.010760
100,8,0.009470
100,8,0.009392
100,12,0.015246
100,12,0.009229
100,12,0.012662
100,12,0.009237
100,12,0.008266
100,16,0.008282
100,16,0.009062
100,16,0.008416
100,16,0.010458
100,16,0.007538
100,20,0.018192
100,20,0.013478
100,20,0.009445
100,20,0.008699
100,20,0.008815
100,24,0.014099
100,24,0.011802
100,24,0.009670
100,24,0.008407
100,24,0.008471
100,28,0.008938
100,28,0.009300
100,28,0.008411
100,28,0.007954
100,28,0.020812
100,32,0.009200
100,32,0.012215
100,32,0.009606
100,32,0.017851
100,32,0.010495
100,36,0.025254
100,36,0.009063
100,36,0.031807
100,36,0.009053
100,36,0.009052
100,40,0.014825
100,40,0.016754
100,40,0.014604
100,40,0.013056
100,40,0.016405
100,44,0.015025
100,44,0.012040
100,44,0.031014
100,44,0.010460
100,44,0.010994
100,48,0.012140
100,48,0.012981
100,48,0.015855
100,48,0.015364
100,48,0.010673
100,52,0.012078
100,52,0.014371
100,52,0.013794
100,52,0.009852
100,52,0.013572
100,56,0.013081
100,56,0.036283
100,56,0.014630
100,56,0.013697
100,56,0.014652
100,60,0.042620
100,60,0.010217
100,60,0.013412
100,60,0.012526
100,60,0.011798
100,64,0.014257
100,64,0.011792
100,64,0.019451
100,64,0.013611
100,64,0.019073
500,1,0.299371
500,1,0.295668
500,1,0.295821
500,1,0.296097
500,1,0.295928
500,2,0.185593
500,2,0.180370
500,2,0.180177
500,2,0.179867
500,2,0.181830
500,4,0.109266
500,4,0.115503
500,4,0.111915
500,4,0.114959
500,4,0.110137
500,8,0.070682
500,8,0.075143
500,8,0.074546
500,8,0.080005
500,8,0.079670
500,12,0.072474
500,12,0.060215
500,12,0.059827
500,12,0.058525
500,12,0.064187
500,16,0.059315
500,16,0.050072
500,16,0.048983
500,16,0.048166
500,16,0.048532
500,20,0.039931
500,20,0.039140
500,20,0.046255
500,20,0.040766
500,20,0.046978
500,24,0.037428
500,24,0.035574
500,24,0.034596
500,24,0.039471
500,24,0.034126
500,28,0.033953
500,28,0.031812
500,28,0.047596
500,28,0.032701
500,28,0.031486
500,32,0.029122
500,32,0.029129
500,32,0.029655
500,32,0.028932
500,32,0.029278
500,36,0.026835
500,36,0.027314
500,36,0.029056
500,36,0.028352
500,36,0.030594
500,40,0.027761
500,40,0.041801
500,40,0.030270
500,40,0.031585
500,40,0.028650
500,44,0.037474
500,44,0.025693
500,44,0.030029
500,44,0.030320
500,44,0.028465
500,48,0.027833
500,48,0.027338
500,48,0.028506
500,48,0.024466
500,48,0.026114
500,52,0.050058
500,52,0.028106
500,52,0.026604
500,52,0.037158
500,52,0.028555
500,56,0.024962
500,56,0.024315
500,56,0.025792
500,56,0.029447
500,56,0.025421
500,60,0.024631
500,60,0.025424
500,60,0.035338
500,60,0.025783
500,60,0.042306
500,64,0.023060
500,64,0.027930
500,64,0.035040
500,64,0.023912
500,64,0.024051
1000,1,1.180595
1000,1,1.173855
1000,1,1.176190
1000,1,1.172707
1000,1,1.173034
1000,2,0.626934
1000,2,0.625299
1000,2,0.617546
1000,2,0.625965
1000,2,0.624304
1000,4,0.337840
1000,4,0.334665
1000,4,0.329704
1000,4,0.335592
1000,4,0.336185
1000,8,0.190311
1000,8,0.190505
1000,8,0.188439
1000,8,0.192663
1000,8,0.188323
1000,12,0.138806
1000,12,0.142361
1000,12,0.140679
1000,12,0.141125
1000,12,0.140007
1000,16,0.117126
1000,16,0.112383
1000,16,0.116810
1000,16,0.116188
1000,16,0.116618
1000,20,0.099476
1000,20,0.101301
1000,20,0.100544
1000,20,0.101825
1000,20,0.106309
1000,24,0.091337
1000,24,0.092652
1000,24,0.091957
1000,24,0.096682
1000,24,0.095450
1000,28,0.085990
1000,28,0.087365
1000,28,0.085862
1000,28,0.092465
1000,28,0.088438
1000,32,0.080280
1000,32,0.083064
1000,32,0.084354
1000,32,0.080476
1000,32,0.084512
1000,36,0.069351
1000,36,0.075319
1000,36,0.077879
1000,36,0.078433
1000,36,0.075296
1000,40,0.075610
1000,40,0.076346
1000,40,0.073695
1000,40,0.073102
1000,40,0.077228
1000,44,0.072279
1000,44,0.069664
1000,44,0.069438
1000,44,0.074640
1000,44,0.072494
1000,48,0.067702
1000,48,0.086294
1000,48,0.100262
1000,48,0.072334
1000,48,0.068535
1000,52,0.065832
1000,52,0.065760
1000,52,0.065738
1000,52,0.070424
1000,52,0.071516
1000,56,0.060419
1000,56,0.062272
1000,56,0.065351
1000,56,0.061272
1000,56,0.073929
1000,60,0.060688
1000,60,0.060833
1000,60,0.062297
1000,60,0.062560
1000,60,0.062930
1000,64,0.061093
1000,64,0.061510
1000,64,0.062591
1000,64,0.066641
1000,64,0.061179
