ksize,threads,time
100,1,0.038871
100,1,0.047924
100,1,0.032229
100,1,0.038727
100,1,0.038189
100,2,0.029402
100,2,0.040093
100,2,0.034400
100,2,0.037264
100,2,0.042110
100,4,0.033142
100,4,0.029673
100,4,0.026148
100,4,0.029401
100,4,0.031794
100,6,0.031083
100,6,0.032793
100,6,0.029866
100,6,0.030536
100,6,0.034398
100,8,0.028049
100,8,0.030808
100,8,0.036212
100,8,0.035017
100,8,0.026781
100,10,0.032868
100,10,0.040945
100,10,0.022796
100,10,0.028506
100,10,0.018198
100,12,0.030364
100,12,0.033405
100,12,0.025797
100,12,0.029916
100,12,0.037736
500,1,0.185152
500,1,0.185814
500,1,0.179868
500,1,0.185773
500,1,0.182700
500,2,0.124418
500,2,0.126296
500,2,0.123439
500,2,0.126320
500,2,0.126500
500,4,0.104301
500,4,0.103586
500,4,0.102049
500,4,0.107842
500,4,0.106400
500,6,0.088017
500,6,0.086869
500,6,0.091678
500,6,0.107905
500,6,0.089118
500,8,0.076936
500,8,0.078879
500,8,0.081530
500,8,0.082407
500,8,0.080415
500,10,0.074035
500,10,0.072110
500,10,0.067971
500,10,0.071912
500,10,0.083709
500,12,0.071565
500,12,0.067998
500,12,0.064621
500,12,0.071335
500,12,0.064622
1000,1,0.645102
1000,1,0.639979
1000,1,0.647582
1000,1,0.649908
1000,1,0.647463
1000,2,0.362553
1000,2,0.353413
1000,2,0.346296
1000,2,0.358299
1000,2,0.397983
1000,4,0.227339
1000,4,0.223993
1000,4,0.218839
1000,4,0.223228
1000,4,0.217410
1000,6,0.173665
1000,6,0.173223
1000,6,0.173554
1000,6,0.175089
1000,6,0.168535
1000,8,0.148485
1000,8,0.158395
1000,8,0.139142
1000,8,0.147174
1000,8,0.151647
1000,10,0.128285
1000,10,0.118951
1000,10,0.132012
1000,10,0.141313
1000,10,0.131426
1000,12,0.118553
1000,12,0.115873
1000,12,0.123769
1000,12,0.126878
1000,12,0.119204
5000,1,15.465463
5000,1,15.466215
5000,1,15.466780
5000,1,15.467076
5000,1,15.472849
5000,2,7.831415
5000,2,7.835963
5000,2,7.833755
5000,2,7.839474
5000,2,7.833937
5000,4,4.001552
5000,4,4.002403
5000,4,4.001793
5000,4,3.998322
5000,4,4.000121
5000,6,2.711642
5000,6,2.727543
5000,6,2.721163
5000,6,2.722051
5000,6,2.722995
5000,8,2.084077
5000,8,2.081070
5000,8,2.080749
5000,8,2.084738
5000,8,2.083525
5000,10,1.701768
5000,10,1.689065
5000,10,1.696934
5000,10,1.694265
5000,10,1.690164
5000,12,1.490391
5000,12,1.438592
5000,12,1.436664
5000,12,1.434467
5000,12,1.439911
10000,1,61.996758
10000,1,62.014469
10000,1,62.014526
10000,1,62.011062
10000,1,62.002637
10000,2,31.171517
10000,2,31.175036
10000,2,31.187042
10000,2,31.195452
10000,2,31.193459
10000,4,15.829409
10000,4,15.822745
10000,4,15.832060
10000,4,15.824691
10000,4,15.818373
10000,6,10.828599
10000,6,10.697127
10000,6,10.694790
10000,6,10.696957
10000,6,10.694968
10000,8,8.141816
10000,8,8.128384
10000,8,8.107765
10000,8,8.145546
10000,8,8.120302
10000,10,6.573051
10000,10,6.600779
10000,10,6.590778
10000,10,6.605519
10000,10,6.599613
10000,12,5.561865
10000,12,5.660027
10000,12,5.556099
10000,12,5.538524
10000,12,5.578419
