ksize,mpi_task,time,thread
100,1,0.045029,12
100,1,0.031824,12
100,1,0.037855,12
100,1,0.034614,12
100,1,0.036178,12
500,1,0.629829,12
500,1,0.624210,12
500,1,0.624465,12
500,1,0.626165,12
500,1,0.628705,12
1000,1,2.468016,12
1000,1,2.471615,12
1000,1,2.477356,12
1000,1,2.471287,12
1000,1,2.491508,12
5000,1,61.464153,12
5000,1,61.467952,12
5000,1,61.462489,12
5000,1,61.462149,12
5000,1,61.464258,12
10000,1,246.044075,12
10000,1,246.047736,12
10000,1,246.056978,12
10000,1,246.052611,12
10000,1,246.062396,12
100,2,0.038025,12
100,2,0.041865,12
100,2,0.038220,12
100,2,0.039807,12
100,2,0.038736,12
500,2,0.625242,12
500,2,0.625487,12
500,2,0.630214,12
500,2,0.626238,12
500,2,0.625804,12
1000,2,2.458598,12
1000,2,2.459516,12
1000,2,2.461634,12
1000,2,2.459914,12
1000,2,2.460824,12
5000,2,60.889082,12
5000,2,60.888530,12
5000,2,60.884187,12
5000,2,60.882400,12
5000,2,60.879154,12
10000,2,243.507938,12
10000,2,243.545670,12
10000,2,243.518524,12
10000,2,243.522281,12
10000,2,243.523282,12
100,3,0.084335,12
100,3,0.047042,12
100,3,0.180483,12
100,3,0.069399,12
100,3,0.050869,12
500,3,0.636265,12
500,3,0.634807,12
500,3,0.635870,12
500,3,0.635597,12
500,3,0.635040,12
1000,3,2.470104,12
1000,3,2.478659,12
1000,3,2.481754,12
1000,3,2.463950,12
1000,3,2.472544,12
5000,3,60.859590,12
5000,3,60.861000,12
5000,3,60.864964,12
5000,3,60.865338,12
5000,3,60.864914,12
10000,3,243.316787,12
10000,3,243.323685,12
10000,3,243.319472,12
10000,3,243.325037,12
10000,3,243.332725,12
100,4,0.091900,12
100,4,0.047926,12
100,4,0.051854,12
100,4,0.056352,12
100,4,0.050903,12
500,4,0.640599,12
500,4,0.639107,12
500,4,0.649796,12
500,4,0.641899,12
500,4,0.640392,12
1000,4,2.472539,12
1000,4,2.475460,12
1000,4,2.472224,12
1000,4,2.468699,12
1000,4,2.472949,12
5000,4,60.857052,12
5000,4,60.862960,12
5000,4,60.860422,12
5000,4,60.862520,12
5000,4,60.861561,12
10000,4,243.169140,12
10000,4,243.188046,12
10000,4,243.155846,12
10000,4,243.191056,12
10000,4,243.187045,12
100,5,0.108436,12
100,5,0.065341,12
100,5,0.071055,12
100,5,0.067020,12
100,5,0.067455,12
500,5,0.654033,12
500,5,0.657591,12
500,5,0.655281,12
500,5,0.657766,12
500,5,0.657457,12
1000,5,2.486720,12
1000,5,2.488295,12
1000,5,2.496368,12
1000,5,2.491923,12
1000,5,2.488379,12
5000,5,60.906919,12
5000,5,60.906062,12
5000,5,60.931501,12
5000,5,60.892804,12
5000,5,60.905802,12
10000,5,232.683722,12
10000,5,232.704785,12
10000,5,232.690058,12
10000,5,232.693184,12
10000,5,232.716388,12
100,6,0.102214,12
100,6,0.068417,12
100,6,0.085176,12
100,6,0.069644,12
100,6,0.070055,12
500,6,0.639425,12
500,6,0.635738,12
500,6,0.635745,12
500,6,0.636747,12
500,6,0.639164,12
1000,6,2.398293,12
1000,6,2.404277,12
1000,6,2.401696,12
1000,6,2.404996,12
1000,6,2.401522,12
5000,6,58.697286,12
5000,6,58.704087,12
5000,6,58.706882,12
5000,6,58.697084,12
5000,6,58.706511,12
10000,6,234.442971,12
10000,6,234.445916,12
10000,6,234.455863,12
10000,6,234.456525,12
10000,6,234.470410,12
100,7,0.110745,12
100,7,0.080737,12
100,7,0.083013,12
100,7,0.091038,12
100,7,0.082696,12
500,7,0.656224,12
500,7,0.658092,12
500,7,0.657114,12
500,7,0.653549,12
500,7,0.657268,12
1000,7,2.426751,12
1000,7,2.422746,12
1000,7,2.421905,12
1000,7,2.430014,12
1000,7,2.432671,12
5000,7,59.014741,12
5000,7,59.031958,12
5000,7,59.029746,12
5000,7,59.030300,12
5000,7,59.021512,12
10000,7,235.736610,12
10000,7,235.721208,12
