ksize,mpi_task,time,thread
100,1,0.013830,12
100,1,0.012549,12
100,1,0.014671,12
100,1,0.014729,12
100,1,0.014780,12
500,1,0.076096,12
500,1,0.077617,12
500,1,0.077082,12
500,1,0.075204,12
500,1,0.077446,12
1000,1,0.234153,12
1000,1,0.255391,12
1000,1,0.241389,12
1000,1,0.239712,12
1000,1,0.235772,12
5000,1,5.372074,12
5000,1,5.374430,12
5000,1,5.380611,12
5000,1,5.385819,12
5000,1,5.396814,12
10000,1,21.344169,12
10000,1,21.363445,12
10000,1,21.362397,12
10000,1,21.345164,12
10000,1,21.381848,12
100,2,0.017354,12
100,2,0.017499,12
100,2,0.022950,12
100,2,0.021736,12
100,2,0.020074,12
500,2,0.076938,12
500,2,0.076148,12
500,2,0.074623,12
500,2,0.103429,12
500,2,0.076697,12
1000,2,0.153531,12
1000,2,0.152676,12
1000,2,0.149649,12
1000,2,0.156684,12
1000,2,0.149153,12
5000,2,2.719983,12
5000,2,2.715019,12
5000,2,2.725975,12
5000,2,2.715142,12
5000,2,2.718502,12
10000,2,10.727876,12
10000,2,10.759552,12
10000,2,10.737661,12
10000,2,10.737857,12
10000,2,10.753992,12
100,3,0.037145,12
100,3,0.019592,12
100,3,0.026152,12
100,3,0.020094,12
100,3,0.018857,12
500,3,0.066253,12
500,3,0.109657,12
500,3,0.057104,12
500,3,0.057555,12
500,3,0.068886,12
1000,3,0.111025,12
1000,3,0.109297,12
1000,3,0.114462,12
1000,3,0.114083,12
1000,3,0.105923,12
5000,3,1.866998,12
5000,3,1.855677,12
5000,3,1.847941,12
5000,3,1.852959,12
5000,3,1.859185,12
10000,3,7.287604,12
10000,3,7.284510,12
10000,3,7.280584,12
10000,3,7.287212,12
10000,3,7.271698,12
100,4,0.043504,12
100,4,0.019224,12
100,4,0.035832,12
100,4,0.044229,12
100,4,0.041668,12
500,4,0.058889,12
500,4,0.058255,12
500,4,0.060615,12
500,4,0.059864,12
500,4,0.057499,12
1000,4,0.120728,12
1000,4,0.122743,12
1000,4,0.122095,12
1000,4,0.119244,12
1000,4,0.119044,12
5000,4,1.466723,12
5000,4,1.433750,12
5000,4,1.463720,12
5000,4,1.427299,12
5000,4,1.450502,12
10000,4,5.523973,12
10000,4,5.523447,12
10000,4,5.529641,12
10000,4,5.539555,12
10000,4,5.531658,12
100,5,0.059224,12
100,5,0.035185,12
100,5,0.036834,12
100,5,0.032997,12
100,5,0.035106,12
500,5,0.058198,12
500,5,0.057041,12
500,5,0.066846,12
500,5,0.066131,12
500,5,0.065651,12
1000,5,0.125154,12
1000,5,0.147676,12
1000,5,0.113058,12
1000,5,0.108747,12
1000,5,0.114465,12
5000,5,1.170101,12
5000,5,1.176152,12
5000,5,1.176001,12
5000,5,1.173884,12
5000,5,1.186801,12
10000,5,4.494983,12
10000,5,4.512066,12
10000,5,4.502457,12
10000,5,4.506216,12
10000,5,4.546689,12
100,6,0.053074,12
100,6,0.037939,12
100,6,0.041301,12
100,6,0.031007,12
100,6,0.034853,12
500,6,0.059804,12
500,6,0.057400,12
500,6,0.063177,12
500,6,0.065786,12
500,6,0.069421,12
1000,6,0.108340,12
1000,6,0.110867,12
1000,6,0.108349,12
1000,6,0.104332,12
1000,6,0.114646,12
5000,6,1.014718,12
5000,6,1.012580,12
5000,6,1.010224,12
5000,6,1.010086,12
5000,6,1.013871,12
10000,6,3.929879,12
10000,6,3.827491,12
10000,6,3.818937,12
10000,6,3.806035,12
10000,6,3.843746,12
100,7,0.053903,12
100,7,0.049590,12
100,7,0.049687,12
100,7,0.036022,12
100,7,0.040027,12
500,7,0.058105,12
500,7,0.071932,12
500,7,0.072678,12
500,7,0.067552,12
500,7,0.060611,12
1000,7,0.109547,12
1000,7,0.099028,12
1000,7,0.105477,12
1000,7,0.102747,12
1000,7,0.109618,12
5000,7,0.890702,12
5000,7,0.894754,12
5000,7,0.896199,12
5000,7,0.934296,12
5000,7,0.899388,12
10000,7,3.364575,12
10000,7,3.332887,12
10000,7,3.329939,12
10000,7,3.342447,12
10000,7,3.331139,12
100,8,0.055995,12
100,8,0.051245,12
100,8,0.043634,12
100,8,0.040603,12
100,8,0.048700,12
500,8,0.057222,12
500,8,0.060750,12
500,8,0.058666,12
500,8,0.059517,12
500,8,0.060966,12
1000,8,0.114986,12
1000,8,0.099894,12
1000,8,0.109653,12
1000,8,0.099362,12
1000,8,0.111196,12
5000,8,0.803182,12
5000,8,0.811606,12
5000,8,0.913249,12
5000,8,0.810484,12
5000,8,0.829385,12
10000,8,2.949357,12
10000,8,2.972449,12
10000,8,2.987714,12
10000,8,2.968751,12
10000,8,2.972588,12
