ksize,mpi_task,time,thread
100,1,0.027178,12
100,1,0.025968,12
100,1,0.027797,12
100,1,0.028835,12
100,1,0.026716,12
141,2,0.078411,12
141,2,0.069275,12
141,2,0.073945,12
141,2,0.070873,12
141,2,0.069131,12
173,3,0.099047,12
173,3,0.106140,12
173,3,0.100771,12
173,3,0.099013,12
173,3,0.099754,12
200,4,0.129464,12
200,4,0.136823,12
200,4,0.131639,12
200,4,0.136978,12
200,4,0.124465,12
224,5,0.161573,12
224,5,0.162790,12
224,5,0.164994,12
224,5,0.160978,12
224,5,0.162683,12
245,6,0.180452,12
245,6,0.189855,12
245,6,0.186084,12
245,6,0.191075,12
245,6,0.179547,12
265,7,0.228859,12
265,7,0.231035,12
265,7,0.229927,12
265,7,0.221641,12
265,7,0.218274,12
283,8,0.245789,12
283,8,0.250621,12
283,8,0.254721,12
283,8,0.254705,12
283,8,0.245549,12
