ksize,mpi_task,time,thread
100,1,0.010965,12
100,1,0.011346,12
100,1,0.011272,12
100,1,0.011711,12
100,1,0.011809,12
141,2,0.029997,12
141,2,0.019205,12
141,2,0.033058,12
141,2,0.030896,12
141,2,0.030907,12
173,3,0.036297,12
173,3,0.032439,12
173,3,0.033603,12
173,3,0.025829,12
173,3,0.032761,12
200,4,0.036901,12
200,4,0.033453,12
200,4,0.036734,12
200,4,0.034992,12
200,4,0.033906,12
224,5,0.037621,12
224,5,0.037921,12
224,5,0.041916,12
224,5,0.032652,12
224,5,0.036434,12
245,6,0.041265,12
245,6,0.037354,12
245,6,0.043842,12
245,6,0.041542,12
245,6,0.040456,12
265,7,0.049007,12
265,7,0.045748,12
265,7,0.045535,12
265,7,0.048537,12
265,7,0.039525,12
283,8,0.044004,12
283,8,0.044936,12
283,8,0.043398,12
283,8,0.041420,12
283,8,0.046801,12
