ksize,mpi_task,time,thread
10000,1,21.340587,12
10000,1,21.585547,12
10000,1,21.340143,12
10000,1,21.456031,12
10000,1,21.351956,12
14142,2,21.376451,12
14142,2,21.423517,12
14142,2,21.416458,12
14142,2,21.416818,12
14142,2,21.396772,12
17321,3,21.706446,12
17321,3,21.701314,12
17321,3,21.687579,12
17321,3,21.686703,12
17321,3,21.730616,12
20000,4,21.929271,12
20000,4,21.953325,12
20000,4,21.968111,12
20000,4,21.866024,12
20000,4,21.898362,12
22361,5,22.571229,12
22361,5,22.486334,12
22361,5,22.604283,12
22361,5,22.558500,12
22361,5,22.587955,12
24495,6,22.524958,12
24495,6,23.124141,12
24495,6,22.879491,12
24495,6,23.028765,12
24495,6,22.949626,12
26458,7,23.527900,12
26458,7,23.008065,12
26458,7,23.128972,12
26458,7,23.137826,12
26458,7,23.235556,12
28284,8,23.340686,12
28284,8,23.422031,12
28284,8,23.538552,12
28284,8,23.390369,12
28284,8,23.505078,12
