n_threads,Time,GFLOPS
1,49.178468,40.668204
1,49.368762,40.511447
1,49.225775,40.629122
1,49.507436,40.397971
1,49.204088,40.647029
2,25.695790,77.833763
2,25.633287,78.023548
2,25.812508,77.481817
2,25.525206,78.353921
2,26.075040,76.701703
3,16.942759,118.044531
3,17.079801,117.097384
3,16.944242,118.034200
3,16.987674,117.732420
3,17.318485,115.483542
4,13.093951,152.742286
4,13.233311,151.133761
4,12.889516,155.164860
4,12.881544,155.260896
4,13.315841,150.197043
5,10.816696,184.899345
5,10.858348,184.190085
5,11.055825,180.900116
5,10.825529,184.748482
5,11.049539,181.003030
6,8.829778,226.506250
6,8.554106,233.805858
6,8.788939,227.558762
6,8.713398,229.531576
6,8.646352,231.311431
7,7.810510,256.065237
7,7.792394,256.660531
7,7.768445,257.451774
7,7.868423,254.180549
7,7.845013,254.939031
8,6.895989,290.023653
8,6.858695,291.600682
8,6.927053,288.723053
8,6.903339,289.714891
8,6.888206,290.351363
9,6.171435,324.073762
9,6.106410,327.524693
9,6.132305,326.141638
9,6.147896,325.314559
9,6.144857,325.475459
10,5.298494,377.465771
10,5.256685,380.467908
10,5.255987,380.518440
10,5.299386,377.402186
10,5.283595,378.530180
11,4.912142,407.154358
11,4.830796,414.010484
11,4.956551,403.506353
11,4.959886,403.235037
11,4.998717,400.102643
12,4.664098,428.807423
12,4.634327,431.562152
12,4.647391,430.348949
12,4.652684,429.859376
12,4.693657,426.106985
13,4.694969,425.987881
13,4.720501,423.683798
13,4.709283,424.693092
13,4.707882,424.819502
13,4.700017,425.530339
14,3.915717,510.762137
14,3.892517,513.806403
14,3.893555,513.669358
14,3.891362,513.958888
14,3.889138,514.252776
15,3.790750,527.600117
15,3.781681,528.865268
15,3.790874,527.582778
15,3.800376,526.263728
15,3.768205,530.756743
16,3.517422,568.598269
16,3.510456,569.726555
16,3.509305,569.913392
16,3.503682,570.827985
16,3.477772,575.080910
17,3.504279,570.730736
17,3.526811,567.084559
17,3.500472,571.351541
17,3.497485,571.839501
17,3.524280,567.491766
18,3.178523,629.223008
18,3.183785,628.183083
18,3.168742,631.165324
18,3.191755,626.614509
18,3.160795,632.752166
19,3.186183,627.710346
19,3.193424,626.287099
19,3.155730,633.767858
19,3.192848,626.400087
19,3.175567,629.808733
20,2.801709,713.850039
20,2.788055,717.345989
20,2.794143,715.782888
20,2.788891,717.130878
20,2.794766,715.623518
21,2.695512,741.973959
21,2.697153,741.522585
21,2.690607,743.326617
21,2.685473,744.747860
21,2.704626,739.473683
22,2.516402,794.785584
22,2.514455,795.401075
22,2.512876,795.900774
22,2.574940,776.717221
22,2.507142,797.721007
23,2.507458,797.620458
23,2.509138,797.086613
23,2.505968,798.094872
23,2.506844,797.815743
23,2.519879,793.688923
24,2.388963,837.183288
24,2.388566,837.322518
24,2.377754,841.130076
24,2.376862,841.445479
24,2.379133,840.642427
