n_threads,Time,GFLOPS
2000,0.023436,682.695912
2000,0.023638,676.867082
2000,0.023287,687.065085
2000,0.023503,680.753991
2000,0.024174,661.856131
3000,0.073903,730.684102
3000,0.074289,726.889194
3000,0.073682,732.874703
3000,0.073903,730.684379
3000,0.073232,737.383532
4000,0.162776,786.357561
4000,0.170689,749.901051
4000,0.165127,775.161664
4000,0.163773,781.570537
4000,0.173245,738.840036
5000,0.328266,761.577005
5000,0.329854,757.910152
5000,0.349968,714.350151
5000,0.326808,764.975917
5000,0.328354,761.372932
6000,0.574648,751.763951
6000,0.556330,776.516899
6000,0.548551,787.529843
6000,0.543184,795.310382
6000,0.552134,782.418530
7000,0.872708,786.058605
7000,0.922103,743.951979
7000,0.877990,781.329980
7000,0.869423,789.029164
7000,0.879389,780.087474
8000,1.282438,798.479437
8000,1.282444,798.475510
8000,1.282335,798.543279
8000,1.283013,798.121304
8000,1.298046,788.877966
9000,1.827366,797.869840
9000,1.821018,800.651182
9000,1.825047,798.883636
9000,1.828867,797.215023
9000,1.831674,795.993383
10000,2.522292,792.929713
10000,2.509020,797.123853
10000,2.484150,805.104317
10000,2.485523,804.659552
10000,2.491585,802.701788
11000,3.353608,793.771941
11000,3.356929,792.986794
11000,3.344044,796.042188
11000,3.463353,768.619215
11000,3.346605,795.432983
12000,4.383369,788.434614
12000,4.326838,798.735698
12000,4.394523,786.433398
12000,4.333445,797.517824
12000,4.376553,789.662489
13000,5.526701,795.049349
13000,5.481715,801.573977
13000,5.509665,797.507685
13000,5.494457,799.715117
13000,5.485058,801.085407
14000,7.241038,757.902370
14000,6.966299,787.792781
14000,6.946804,790.003626
14000,6.872653,798.527112
14000,6.919448,793.126844
15000,8.600501,784.837994
15000,8.515807,792.643589
15000,8.503520,793.788934
15000,8.495791,794.511059
15000,8.552106,789.279253
16000,10.443198,784.434028
16000,10.417701,786.353914
16000,10.482457,781.496203
16000,10.273930,797.357996
16000,10.348347,791.624048
17000,12.435601,790.150789
17000,12.841006,765.204831
17000,12.453520,789.013857
17000,12.498944,786.146413
17000,12.494930,786.398953
18000,14.828302,786.603890
18000,14.706163,793.136872
18000,14.622519,797.673803
18000,15.305196,762.094127
18000,15.143733,770.219606
19000,17.250131,795.240324
19000,17.388709,788.902729
19000,17.236277,795.879544
19000,17.240091,795.703464
19000,17.228154,796.254785
20000,20.097368,796.124148
20000,20.130145,794.827875
20000,20.505560,780.276163
20000,20.083975,796.655055
20000,20.008259,799.669777
