n_threads,Time,GFLOPS
2000,0.014611,1095.065437
2000,0.013377,1196.121814
2000,0.013601,1176.365148
2000,0.013509,1184.396114
2000,0.014498,1103.586795
3000,0.038636,1397.671102
3000,0.038269,1411.064560
3000,0.037686,1432.878023
3000,0.038191,1413.951692
3000,0.037716,1431.760087
4000,0.083643,1530.308214
4000,0.083504,1532.858645
4000,0.083303,1536.557389
4000,0.083138,1539.609065
4000,0.083353,1535.636963
5000,0.166618,1500.438245
5000,0.164463,1520.099799
5000,0.164621,1518.635421
5000,0.164955,1515.566790
5000,0.165613,1509.547435
6000,0.277298,1557.888283
6000,0.276756,1560.944571
6000,0.277957,1554.199379
6000,0.277249,1558.165625
6000,0.277693,1555.677330
7000,0.432408,1586.465622
7000,0.431059,1591.427796
7000,0.430347,1594.060988
7000,0.431054,1591.447437
7000,0.436286,1572.363360
8000,0.637428,1606.455489
8000,0.636800,1608.039032
8000,0.632878,1618.005783
8000,0.640181,1599.546481
8000,0.635322,1611.781125
9000,0.901626,1617.079316
9000,0.900708,1618.725953
9000,0.901335,1617.600495
9000,0.898491,1622.721506
9000,0.896877,1625.640753
10000,1.273737,1570.182496
10000,1.274281,1569.512836
10000,1.271460,1572.994826
10000,1.272016,1572.306693
10000,1.277701,1565.310952
11000,1.660107,1603.511414
11000,1.656677,1606.831352
11000,1.655965,1607.521705
11000,1.661423,1602.241248
11000,1.661065,1602.586635
12000,2.144410,1611.632185
12000,2.144402,1611.637874
12000,2.137536,1616.814686
12000,2.148030,1608.915877
12000,2.146496,1610.065677
13000,2.710460,1621.127077
13000,2.728381,1610.478755
13000,2.714322,1618.820438
13000,2.721126,1614.772560
13000,2.721545,1614.524005
14000,3.406227,1611.166735
14000,3.410765,1609.023400
14000,3.413942,1607.526046
14000,3.401905,1613.213631
14000,3.432910,1598.643868
15000,4.188491,1611.558874
15000,4.158338,1623.244700
15000,4.169985,1618.710910
15000,4.170683,1618.440043
15000,4.155143,1624.492941
16000,5.042553,1624.573983
16000,5.059875,1619.012467
16000,5.037179,1626.307062
16000,5.033535,1627.484336
16000,5.045989,1623.467602
17000,6.096862,1611.648838
17000,6.091156,1613.158516
17000,6.107615,1608.811413
17000,6.108923,1608.466744
17000,6.140312,1600.244436
18000,7.214605,1616.720435
18000,7.214963,1616.640244
18000,7.212036,1617.296437
18000,7.252875,1608.189947
18000,7.252348,1608.306783
19000,8.427347,1627.795841
19000,8.446225,1624.157563
19000,8.428732,1627.528306
19000,8.439336,1625.483249
19000,8.442705,1624.834774
20000,9.919939,1612.913218
20000,9.926403,1611.862788
20000,9.908781,1614.729455
20000,9.976057,1603.840115
20000,9.923180,1612.386424
