n_threads,Time,GFLOPS
2000,0.020900,765.549433
2000,0.021207,754.474090
2000,0.021163,756.035478
2000,0.021075,759.181470
2000,0.020913,765.086977
3000,0.060020,899.700040
3000,0.059579,906.355835
3000,0.059851,902.243338
3000,0.059358,909.735474
3000,0.059834,902.496501
4000,0.134857,949.154716
4000,0.135388,945.433081
4000,0.135865,942.108285
4000,0.134718,950.129682
4000,0.134393,952.431685
5000,0.257642,970.337192
5000,0.256225,975.704604
5000,0.256674,973.996567
5000,0.256042,976.400669
5000,0.256418,974.971571
6000,0.435029,993.037819
6000,0.435491,991.984073
6000,0.438356,985.501415
6000,0.435430,992.123490
6000,0.435768,991.352990
7000,0.689147,995.433318
7000,0.688245,996.737583
7000,0.688440,996.455480
7000,0.689469,994.967991
7000,0.689035,995.594818
8000,1.038138,986.381338
8000,1.041718,982.991207
8000,1.044652,980.230765
8000,1.036737,987.713937
8000,1.037532,986.957720
9000,1.472092,990.427511
9000,1.471890,990.562904
9000,1.470696,991.367125
9000,1.471453,990.857383
9000,1.470831,991.276314
10000,2.035075,982.764582
10000,2.031310,984.586535
10000,2.041132,979.848393
10000,2.043917,978.513097
10000,2.040665,980.072620
11000,2.778798,957.967993
11000,2.780605,957.345605
11000,2.781310,957.102796
11000,2.784634,955.960331
11000,2.786234,955.411608
12000,3.505540,985.868124
12000,3.518374,982.271929
12000,3.521999,981.260915
12000,3.517650,982.474210
12000,3.521451,981.413536
13000,4.500296,976.380218
13000,4.506428,975.051692
13000,4.497941,976.891400
13000,4.531488,969.659444
13000,4.506884,974.952969
14000,5.654951,970.477040
14000,5.652531,970.892546
14000,5.651911,970.998948
14000,5.651822,971.014340
14000,5.646785,971.880500
15000,6.892219,979.365337
15000,6.881442,980.899073
15000,6.891161,979.515572
15000,6.892969,979.258737
15000,6.882698,980.720057
16000,8.387740,976.663506
16000,8.333728,982.993494
16000,8.357273,980.224012
16000,8.355234,980.463250
16000,8.337204,982.583624
17000,10.254338,958.228619
17000,10.221432,961.313435
17000,10.218652,961.575011
17000,10.210649,962.328638
17000,10.199611,963.370095
18000,12.097087,964.199060
18000,12.084552,965.199186
18000,12.073121,966.113063
18000,12.064269,966.821958
18000,12.060539,967.120990
19000,14.379557,953.993195
19000,14.372548,954.458429
19000,14.379537,953.994570
19000,14.361255,955.208983
19000,14.397889,952.778591
20000,16.448724,972.719839
20000,16.436966,973.415655
20000,16.459457,972.085539
20000,16.466098,971.693489
20000,16.431045,973.766429
