n_threads,Time,GFLOPS
2000,0.013251,1207.486477
2000,0.013396,1194.366591
2000,0.013287,1204.180100
2000,0.014884,1074.950666
2000,0.013732,1165.194674
3000,0.038346,1408.220996
3000,0.037764,1429.931945
3000,0.037696,1432.511631
3000,0.037597,1436.288592
3000,0.038133,1416.087976
4000,0.082857,1544.822978
4000,0.083777,1527.860975
4000,0.082410,1553.214971
4000,0.082954,1543.030653
4000,0.083042,1541.393577
5000,0.164311,1521.506562
5000,0.165034,1514.839275
5000,0.164675,1518.138411
5000,0.165201,1513.308013
5000,0.164154,1522.961697
6000,0.276738,1561.042400
6000,0.277125,1558.861546
6000,0.277409,1557.266659
6000,0.276826,1560.546314
6000,0.276951,1559.842485
7000,0.433391,1582.866317
7000,0.429227,1598.223551
7000,0.433921,1580.934680
7000,0.430710,1592.720411
7000,0.433988,1580.687253
8000,0.633453,1616.536637
8000,0.631600,1621.280366
8000,0.630547,1623.987470
8000,0.631974,1620.318964
8000,0.631108,1622.543112
9000,0.899133,1621.562610
9000,0.895160,1628.759652
9000,0.897083,1625.267454
9000,0.896077,1627.092625
9000,0.899114,1621.595735
10000,1.277623,1565.407000
10000,1.275270,1568.295511
10000,1.273270,1570.758157
10000,1.269385,1575.566375
10000,1.276029,1567.363097
11000,1.671556,1592.527753
11000,1.664214,1599.554193
11000,1.660307,1603.317998
11000,1.660499,1603.132725
11000,1.659882,1603.728201
12000,2.142276,1613.237558
12000,2.146444,1610.104604
12000,2.138684,1615.946973
12000,2.141600,1613.746649
12000,2.143355,1612.425293
13000,2.715138,1618.334092
13000,2.716543,1617.496832
13000,2.715099,1618.357292
13000,2.717091,1617.170516
13000,2.712122,1620.133883
14000,3.407829,1610.409275
14000,3.427750,1601.050303
14000,3.400117,1614.062208
14000,3.402790,1612.794300
14000,3.407703,1610.469027
15000,4.145145,1628.411083
15000,4.137998,1631.223676
15000,4.147139,1627.627955
15000,4.155047,1624.530265
15000,4.146045,1628.057685
16000,5.037524,1626.195862
16000,5.045202,1623.720875
16000,5.037760,1626.119476
16000,5.038108,1626.007277
16000,5.035291,1626.916791
17000,6.090946,1613.214066
17000,6.114222,1607.072865
17000,6.092820,1612.717857
17000,6.083762,1615.119069
17000,6.102725,1610.100504
18000,7.238568,1611.368330
18000,7.239721,1611.111878
18000,7.250986,1608.608785
18000,7.222934,1614.856141
18000,7.230836,1613.091547
19000,8.433981,1626.515389
19000,8.411900,1630.784991
19000,8.434310,1626.451882
19000,8.419787,1629.257347
19000,8.427759,1627.716212
20000,9.937328,1610.090803
20000,9.928420,1611.535398
20000,9.947644,1608.421108
20000,9.925508,1612.008208
20000,9.934010,1610.628489
