n_threads,Time,GFLOPS
1,42.975690,46.537938
1,43.606501,45.864721
1,42.764464,46.767802
1,43.889965,45.568503
1,43.118395,46.383915
2,22.477640,88.977314
2,22.044845,90.724158
2,22.128023,90.383133
2,22.357177,89.456733
2,22.118586,90.421695
4,11.454258,174.607557
4,11.321951,176.647999
4,11.441440,174.803177
4,11.395385,175.509654
4,11.328022,176.553328
6,7.618369,262.523391
6,7.619865,262.471849
6,7.502303,266.584825
6,7.521892,265.890549
6,7.610771,262.785451
8,5.999011,333.388287
8,5.948689,336.208517
8,5.985734,334.127783
8,6.010730,332.738313
8,5.937302,336.853332
10,4.893720,408.687085
10,4.898430,408.294112
10,4.901562,408.033156
10,4.873370,410.393654
10,4.877240,410.068016
12,4.333146,461.558459
12,4.352739,459.480820
12,4.386728,455.920676
12,4.362779,458.423394
12,4.380593,456.559178
14,3.833746,521.682986
14,3.846380,519.969459
14,3.845554,520.081086
14,3.865737,517.365771
14,3.861843,517.887402
16,3.946404,506.790486
16,3.936211,508.102853
16,3.921181,510.050421
16,3.951195,506.176033
16,3.952766,505.974856
18,3.648231,548.210963
18,3.567202,560.663450
18,3.655233,547.160770
18,3.651790,547.676615
18,3.655339,547.144909
20,3.559521,561.873287
20,3.682031,543.178446
20,3.734912,535.487860
20,3.571758,559.948319
20,3.588695,557.305616
22,3.375078,592.578876
22,3.382442,591.288717
22,3.364803,594.388444
22,3.562882,561.343283
22,3.550928,563.232973
24,3.397073,588.742218
24,3.667491,545.331959
24,3.648697,548.140885
24,3.406616,587.092916
24,3.643580,548.910744
26,3.189635,627.030976
26,3.437570,581.806258
26,3.435228,582.202978
26,3.431770,582.789611
26,3.174246,630.070889
28,3.583888,558.053089
28,3.214381,622.203835
28,3.211349,622.791230
28,3.570197,560.193239
28,3.579962,558.665184
30,2.954726,676.881616
30,3.308040,604.587656
30,3.298454,606.344735
30,2.951883,677.533612
30,3.341716,598.494841
32,3.071868,651.069691
32,3.077062,649.970651
32,3.518734,568.386231
32,3.070045,651.456208
32,3.067659,651.963029
34,3.277469,610.226907
34,2.886116,692.972944
34,2.862613,698.662262
34,2.868327,697.270590
34,2.860458,699.188648
36,2.989463,669.016374
36,2.999210,666.842182
36,3.494077,572.397286
36,3.488251,573.353290
36,3.498136,571.733087
38,2.828444,707.102552
38,2.845869,702.773003
38,3.228480,619.486475
38,3.216924,621.711944
38,3.234952,618.247126
40,3.422450,584.376650
40,3.440234,581.355793
40,3.413560,585.898552
40,2.977961,671.600514
40,3.370436,593.394979
42,2.789697,716.923669
42,2.788634,717.197111
42,3.218166,621.472017
42,3.191448,626.674860
42,2.781785,718.962951
44,3.474634,575.600155
44,2.995310,667.710525
44,2.997350,667.256007
44,3.002999,666.000893
44,2.990612,668.759549
46,2.858233,699.732940
46,3.205352,623.956520
46,3.188860,627.183346
46,2.840048,704.213449
46,2.778485,719.816746
48,3.512143,569.452857
48,3.494903,572.261876
48,3.093722,646.470434
48,3.086267,648.032018
48,3.081668,648.999104
50,2.855933,700.296477
50,2.787797,717.412361
50,2.759405,724.794021
50,3.162067,632.497697
50,2.759222,724.842081
52,3.020009,662.249577
52,3.003219,665.952055
52,3.567646,560.593735
52,3.088059,647.656051
52,3.030630,659.928834
54,2.891036,691.793589
54,2.888149,692.485137
54,2.883337,693.640660
54,2.883085,693.701407
54,2.874070,695.877380
56,3.710705,538.981145
56,3.667465,545.335871
56,3.105406,644.038263
56,3.604282,554.895565
56,3.614718,553.293491
58,2.866941,697.607732
58,2.856772,700.090960
58,2.893049,691.312059
58,2.881667,694.042769
58,2.858194,699.742514
60,3.337523,599.246760
60,3.290026,607.897992
60,3.320595,602.301648
60,3.337766,599.203142
60,3.348222,597.331967
62,2.943718,679.412872
62,2.929122,682.798376
62,3.231106,618.983028
62,2.948039,678.417003
62,2.971639,673.029183
64,3.179139,629.101183
64,3.186021,627.742298
64,3.161476,632.615808
64,3.161030,632.705228
64,3.525303,567.327184
66,2.886627,692.850075
66,2.876226,695.355660
66,2.884725,693.306993
66,2.930229,682.540569
66,3.229464,619.297858
68,3.188699,627.215118
68,3.150035,634.913520
68,3.204327,624.156005
68,3.168392,631.235034
68,3.189133,627.129757
70,2.742485,729.265735
70,2.999729,666.726799
70,3.372463,593.038408
70,2.924501,683.877245
70,2.992647,668.304671
72,2.826593,707.565551
72,2.858434,699.683833
72,2.877940,694.941424
72,2.888852,692.316505
72,2.874814,695.697140
74,2.701301,740.384019
74,3.038405,658.240175
74,2.718710,735.642926
74,2.708488,738.419269
74,3.319832,602.440195
76,2.978866,671.396376
76,3.567278,560.651623
76,3.614614,553.309492
76,2.947467,678.548724
76,2.934219,681.612334
78,2.837754,704.782734
78,2.850122,701.724365
78,3.263633,612.813920
78,2.837612,704.817905
78,2.807772,712.308529
80,3.657416,546.834131
80,3.097206,645.743302
80,3.074400,650.533515
80,3.090165,647.214727
80,3.039516,657.999554
82,2.828946,706.977185
82,2.836131,705.185925
82,2.830250,706.651308
82,3.277123,610.291465
82,3.308401,604.521660
84,3.540210,564.938211
84,3.536854,565.474349
84,3.542325,564.600871
84,3.010249,664.396768
84,3.010750,664.286230
86,2.886742,692.822523
86,3.208134,623.415378
86,3.190770,626.807918
86,3.321028,602.223182
86,3.303104,605.491002
88,3.147436,635.437802
88,3.145257,635.878113
88,3.573500,559.675403
88,3.571573,559.977308
88,3.567890,560.555329
90,3.334268,599.831749
90,3.314298,603.446001
90,3.317827,602.804210
90,3.327059,601.131537
90,3.350161,596.986161
92,3.602112,555.229746
92,3.586194,557.694309
92,3.586501,557.646581
92,3.591060,556.938649
92,3.221457,620.837178
94,3.398580,588.481008
94,3.347237,597.507793
94,3.369636,593.535983
94,3.360239,595.195733
94,3.353284,596.430205
96,3.618692,552.685960
96,3.633773,550.392084
96,3.644832,548.722121
96,3.621169,552.307873
96,3.649096,548.080874
98,3.399982,588.238381
98,3.385567,590.743003
98,3.406558,587.102795
98,3.410589,586.408943
98,3.392108,589.603921
100,3.638595,549.662716
100,3.650927,547.806119
100,3.658088,546.733747
100,3.627685,551.315781
100,3.679812,543.505991
102,3.388653,590.205100
102,3.397605,588.649978
102,3.386742,590.538077
102,3.407952,586.862708
102,3.439332,581.508339
104,3.653232,547.460466
104,3.673865,544.385772
104,3.655078,547.183942
104,3.653491,547.421700
104,3.686916,542.458861
106,3.439956,581.402797
106,3.498276,571.710260
106,3.446249,580.341077
106,3.438296,581.683529
106,3.437472,581.822878
108,3.675592,544.130088
108,3.687377,542.390956
108,3.698830,540.711457
108,3.691834,541.736166
108,3.684977,542.744262
110,3.470351,576.310590
110,3.468318,576.648324
110,3.470258,576.326099
110,3.654190,547.316850
110,3.518865,568.365079
112,3.715404,538.299435
112,3.718586,537.838779
112,3.718568,537.841474
112,3.710303,539.039513
112,3.717413,538.008621
114,3.566312,560.803430
114,3.496533,571.995172
114,3.532044,566.244369
114,3.519051,568.335067
114,3.506038,570.444543
116,3.734429,535.557112
116,3.719155,537.756496
116,3.730857,536.069877
116,3.721046,537.483309
116,3.723656,537.106490
118,3.559845,561.822179
118,3.540646,564.868673
118,3.539605,565.034853
118,3.532604,566.154588
118,3.524334,567.483167
120,3.743266,534.292819
120,3.751849,533.070495
120,3.752749,532.942717
120,3.746627,533.813425
120,3.757632,532.250033
122,3.619394,552.578682
122,3.584742,557.920208
122,3.619136,552.618122
122,3.605059,554.775992
122,3.587403,557.506339
124,3.807821,525.234781
124,3.800915,526.189131
124,3.794278,527.109478
124,3.795892,526.885392
124,3.801710,526.079086
126,3.625300,551.678542
126,3.650956,547.801741
126,3.679226,543.592598
126,3.680473,543.408461
126,3.611945,553.718226
128,3.840524,520.762280
128,3.858925,518.279107
128,3.836536,521.303542
128,3.837478,521.175585
128,3.852626,519.126427
