n_threads,Time,GFLOPS
1,33.652719,59.430561
1,33.196226,60.247812
1,32.111244,62.283479
1,32.375021,61.776022
1,32.700353,61.161419
2,16.932492,118.116107
2,16.831364,118.825780
2,17.103709,116.933698
2,16.771575,119.249384
2,16.792153,119.103249
4,11.210778,178.399752
4,11.340688,176.356140
4,11.179726,178.895261
4,11.370282,175.897140
4,11.251070,177.760872
6,5.895752,339.227292
6,5.940016,336.699410
6,5.808228,344.339100
6,5.885601,339.812388
6,5.888803,339.627567
8,4.781537,418.275574
8,4.507799,443.675504
8,4.615729,433.300966
8,4.824003,414.593438
8,4.630555,431.913650
10,4.176243,478.899349
10,4.074354,490.875344
10,4.122636,485.126517
10,4.212124,474.819828
10,4.089160,489.097947
12,3.256925,614.076134
12,3.390625,589.861714
12,3.276006,610.499577
12,3.226733,619.821877
12,3.247122,615.930027
14,2.796230,715.248634
14,2.817796,709.774483
14,2.838189,704.674726
14,2.804488,713.142579
14,2.820170,709.177003
16,2.711781,737.522560
16,2.619944,763.374953
16,2.658516,752.299343
16,2.706588,738.937665
16,2.660310,751.792053
18,2.314728,864.032588
18,2.341532,854.141729
18,2.291397,872.829821
18,2.274936,879.145435
18,2.335697,856.275393
20,2.117173,944.655868
20,2.122924,942.096971
20,2.180716,917.129810
20,2.128392,939.676629
20,2.135680,936.469749
22,2.118898,943.886995
22,2.055708,972.901026
22,2.033542,983.505500
22,2.143868,932.893282
22,2.021157,989.532098
24,1.882693,1062.308100
24,1.908110,1048.157590
24,1.893978,1055.978628
24,1.903010,1050.966639
24,1.886646,1060.082326
26,1.845614,1083.650345
26,1.863309,1073.359003
26,1.878844,1064.484183
26,1.857087,1076.955506
26,1.851167,1080.399639
28,1.772632,1128.265905
28,1.734777,1152.885998
28,1.759819,1136.480828
28,1.816943,1100.750293
28,1.779072,1124.181450
30,1.710828,1169.024567
30,1.680561,1190.078538
30,1.695223,1179.785895
30,1.734850,1152.837275
30,1.723103,1160.697024
32,1.677741,1192.079344
32,1.673020,1195.442928
32,1.679792,1190.623899
32,1.647485,1213.971714
32,1.667684,1199.268165
34,1.698633,1177.417155
34,1.680535,1190.097233
34,1.707783,1171.108730
34,1.700560,1176.083394
34,1.717386,1164.560374
36,1.678992,1191.190912
36,1.675543,1193.642857
36,1.667433,1199.448194
36,1.570000,1273.885348
36,1.702663,1174.630268
38,1.740697,1148.965178
38,1.768007,1131.217285
38,1.750609,1142.459543
38,1.745794,1145.610313
38,1.740879,1148.845105
40,1.648214,1213.434381
40,1.542156,1296.885421
40,1.595299,1253.683819
40,1.635226,1223.072398
40,1.625607,1230.309349
42,1.542643,1296.476172
42,1.651973,1210.673343
42,1.557285,1284.286701
42,1.600920,1249.281837
42,1.624541,1231.117072
44,1.609997,1242.238430
44,1.604573,1246.437321
44,1.622498,1232.667116
44,1.643255,1217.096723
44,1.636690,1221.978697
46,1.604964,1246.133794
46,1.583075,1263.363900
46,1.515621,1319.591444
46,1.621342,1233.546147
46,1.517771,1317.722161
48,1.550423,1289.970952
48,1.582113,1264.132330
48,1.569966,1273.912572
48,1.494923,1337.861251
48,1.601646,1248.715001
50,1.529715,1307.432987
50,1.569589,1274.218618
50,1.578270,1267.210407
50,1.571269,1272.856579
50,1.496380,1336.559113
52,1.679460,1190.859218
52,1.637669,1221.248259
52,1.649833,1212.243890
52,1.671537,1196.503458
52,1.633821,1224.124301
54,1.530748,1306.551150
54,1.636050,1222.456638
54,1.530067,1307.132659
54,1.540661,1298.144440
54,1.596223,1252.957385
56,1.605600,1245.640111
56,1.538377,1300.071108
56,1.651861,1210.755305
56,1.540980,1297.875628
56,1.571046,1273.037486
58,1.727090,1158.017119
58,1.717126,1164.737223
58,1.738311,1150.541805
58,1.725533,1159.062087
58,1.711481,1168.578882
60,1.587090,1260.167687
60,1.632757,1224.921980
60,1.617554,1236.434913
60,1.569338,1274.423109
60,1.668427,1198.733926
62,1.863076,1073.493735
62,1.878931,1064.434996
62,1.838268,1087.980404
62,1.861548,1074.374476
62,1.842090,1085.723348
64,1.623390,1231.989786
64,1.562939,1279.640628
64,1.579156,1266.499706
64,1.575816,1269.183995
64,1.569816,1274.035032
66,1.675553,1193.635915
66,1.679850,1190.582353
66,1.687863,1184.930501
66,1.698786,1177.311583
66,1.685758,1186.410126
68,1.721405,1161.841338
68,1.742679,1147.658152
68,1.763964,1133.809770
68,1.725243,1159.256999
68,1.741606,1148.365084
70,1.625721,1230.223271
70,1.606410,1245.012103
70,1.637361,1221.477858
70,1.638056,1220.959537
70,1.622356,1232.775286
72,1.641039,1218.740345
72,1.642670,1217.530168
72,1.647125,1214.236715
72,1.634522,1223.599571
72,1.631587,1225.800469
74,1.766298,1132.311814
74,1.764779,1133.286202
74,1.803762,1108.793882
74,1.749393,1143.253918
74,1.804962,1108.056835
76,1.540102,1298.615036
76,1.545924,1293.724872
76,1.564887,1278.047599
76,1.550459,1289.940271
76,1.580468,1265.447625
78,1.527828,1309.047530
78,1.549780,1290.505379
78,1.544922,1294.563353
78,1.558370,1283.392485
78,1.552545,1288.207323
80,1.561262,1281.015197
80,1.578299,1267.187139
80,1.581301,1264.781298
80,1.580100,1265.742752
80,1.575753,1269.234709
82,1.560066,1281.996979
82,1.580486,1265.433717
82,1.558445,1283.330498
82,1.577062,1268.181348
82,1.549327,1290.882720
84,1.495021,1337.774278
84,1.494044,1338.649107
84,1.476335,1354.706323
84,1.491302,1341.110420
84,1.508504,1325.816976
86,1.600696,1249.456323
86,1.563715,1279.005579
86,1.573074,1271.395814
86,1.591348,1256.795752
86,1.622318,1232.803615
88,1.515225,1319.935647
88,1.508898,1325.470924
88,1.506448,1327.626356
88,1.513806,1321.173651
88,1.510669,1323.917012
90,1.491937,1340.539442
90,1.487776,1344.288472
90,1.490200,1342.101398
90,1.485677,1346.187220
90,1.487827,1344.242154
92,1.504635,1329.225803
92,1.495314,1337.512148
92,1.486086,1345.817406
92,1.512532,1322.286197
92,1.489329,1342.886875
94,1.858124,1076.354471
94,1.815693,1101.507778
94,1.848102,1082.191439
94,1.822905,1097.150143
94,1.842189,1085.664912
96,1.431067,1397.558611
96,1.416112,1412.317533
96,1.418544,1409.896767
96,1.430560,1398.053535
96,1.431524,1397.112105
98,1.462993,1367.060622
98,1.465946,1364.307027
98,1.428627,1399.945874
98,1.437872,1390.944758
98,1.450923,1378.432432
100,1.443884,1385.152592
100,1.439127,1389.731841
100,1.431114,1397.512686
100,1.441845,1387.111738
100,1.434048,1394.653233
102,1.451159,1378.208591
102,1.500391,1332.985863
102,1.474092,1356.767538
102,1.456401,1373.248618
102,1.467923,1362.469599
104,1.443212,1385.797508
104,1.437886,1390.930967
104,1.433949,1394.749448
104,1.460944,1368.978211
104,1.425436,1403.079458
106,1.464703,1365.464210
106,1.434331,1394.378625
106,1.418928,1409.514524
106,1.449086,1380.179886
106,1.434434,1394.278209
108,1.377666,1451.730998
108,1.357880,1472.884561
108,1.375663,1453.843998
108,1.362548,1467.838081
108,1.361701,1468.750696
