n_threads,Time,GFLOPS
1,42.110351,47.494261
1,42.254352,47.332403
1,41.992836,47.627172
1,42.388761,47.182318
1,41.514755,48.175642
2,21.677257,92.262596
2,21.698537,92.172111
2,21.772793,91.857759
2,21.575648,92.697099
2,21.663946,92.319285
4,10.902801,183.439107
4,10.913392,183.261080
4,10.828390,184.699672
4,10.945128,182.729703
4,10.815454,184.920580
6,7.640477,261.763758
6,7.634653,261.963448
6,7.654007,261.301033
6,7.488201,267.086846
6,7.616217,262.597574
8,5.778129,346.132782
8,5.797647,344.967541
8,5.802181,344.697961
8,5.696935,351.065995
8,5.826845,343.238905
10,4.710259,424.605067
10,4.752105,420.866138
10,4.666167,428.617287
10,4.733322,422.536240
10,4.676762,427.646324
12,4.047836,494.091166
12,4.093100,488.627221
12,4.010408,498.702359
12,4.037297,495.380912
12,4.028291,496.488432
14,3.660859,546.319899
14,3.700700,540.438293
14,3.703893,539.972439
14,3.622188,552.152481
14,3.655756,547.082506
16,3.193288,626.313614
16,3.197176,625.552039
16,3.194524,626.071276
16,3.201409,624.724838
16,3.195819,625.817606
18,2.995816,667.597761
18,3.011091,664.211053
18,2.998735,666.947818
18,2.994077,667.985534
18,3.000060,666.653401
20,2.614359,765.005842
20,2.614144,765.068899
20,2.635676,758.818562
20,2.629349,760.644457
20,2.641040,757.277389
22,2.555359,782.668945
22,2.548925,784.644509
22,2.546873,785.276822
22,2.533035,789.566668
22,2.550227,784.243948
24,2.336463,855.994781
24,2.337983,855.438031
24,2.331758,857.721972
24,2.359567,847.613111
24,2.326032,859.833429
26,2.322549,861.122809
26,2.330230,858.284385
26,2.320920,861.727188
26,2.305664,867.429113
26,2.319557,862.233526
28,2.239518,893.049158
28,2.239401,893.095837
28,2.242847,891.723762
28,2.241379,892.307953
28,2.252854,887.762656
30,2.363635,846.154239
30,2.237604,893.813197
30,2.338342,855.307001
30,2.232019,896.049729
30,2.237834,893.721395
32,2.205007,907.026444
32,2.128663,939.556806
32,2.182670,916.308805
32,2.186030,914.900712
32,2.203479,907.655728
34,2.275527,878.917259
34,2.276136,878.682037
34,2.277263,878.247078
34,2.301085,869.155113
34,2.203744,907.546328
36,2.222591,899.850688
36,2.229529,897.050419
36,2.237625,893.804954
36,2.253892,887.354027
36,2.236917,894.087553
38,2.253928,887.339895
38,2.219852,900.960939
38,2.251317,888.369009
38,2.114715,945.754046
38,2.224330,899.147015
40,2.113276,946.398019
40,2.264140,883.337773
40,2.260597,884.722034
40,2.262197,884.096157
40,2.109551,948.069062
42,2.197106,910.288379
42,2.275234,879.030409
42,2.270493,880.865926
42,2.299438,869.777693
42,2.158262,926.671533
44,2.272935,879.919474
44,2.267358,882.083912
44,2.257915,885.772835
44,2.265359,882.862454
44,2.264080,883.360867
46,2.060951,970.425839
46,2.218783,901.395183
46,2.101528,951.688391
46,2.164214,924.123085
46,2.100484,952.161723
48,2.205245,906.928547
48,2.147198,931.446340
48,2.240429,892.686064
48,2.083509,959.918855
48,2.220595,900.659574
50,2.102037,951.457931
50,2.280262,877.092063
50,2.264799,883.080727
50,2.131996,938.088146
50,2.296981,870.708301
52,2.149738,930.345939
52,2.154212,928.413539
52,2.130052,938.944157
52,2.271011,880.664990
52,2.332181,857.566315
54,2.145760,932.070647
54,2.430106,823.009530
54,2.148034,931.083790
54,2.121861,942.568767
54,2.354186,849.550686
56,2.108872,948.374444
56,2.237415,893.888807
56,2.467190,810.638843
56,2.375799,841.821926
56,2.346340,852.391467
58,2.212533,903.941155
58,2.365938,845.330701
58,2.502004,799.359148
58,2.372419,843.021309
58,2.242432,891.888906
60,2.407924,830.591052
60,2.456295,814.234297
60,2.526452,791.623981
60,2.468594,810.177682
60,2.479559,806.595046
62,2.412046,829.171612
62,2.431648,822.487363
62,2.455253,814.580123
62,2.470629,809.510313
62,2.488048,803.842867
64,2.191901,912.449968
64,2.258954,885.365564
64,2.281698,876.540288
64,2.461457,812.526874
64,2.452766,815.405830
66,2.297120,870.655492
66,2.590141,772.158731
66,2.563558,780.165542
66,2.620903,763.095816
66,2.568211,778.752065
68,2.327425,859.318771
68,2.322284,861.221227
68,2.576837,776.145442
68,2.601465,768.797714
68,2.595839,770.463741
70,2.224991,898.880105
70,2.288522,873.926511
70,2.285522,875.073483
70,2.646534,755.705489
70,2.515043,795.215026
72,2.602504,768.490724
72,2.553157,783.343882
72,2.552892,783.425167
72,2.510621,796.615783
72,2.549264,784.540026
74,2.254215,887.226892
74,2.295299,871.346067
74,2.339812,854.769409
74,2.221947,900.111495
74,2.557349,782.060004
76,2.520063,793.630899
76,2.526520,791.602826
76,2.515116,795.192086
76,2.609578,766.407375
76,2.524483,792.241474
78,2.595399,770.594285
78,2.540169,787.349040
78,2.576673,776.194707
78,2.565866,779.464033
78,2.556933,782.187016
80,2.649772,754.781967
80,2.626663,761.422248
80,2.604914,767.779684
80,2.566816,779.175429
80,2.613838,765.158369
82,2.716312,736.292466
82,2.699047,741.002388
82,2.662897,751.061779
82,2.641356,757.186810
82,2.449381,816.532806
84,2.801262,713.963987
84,2.784838,718.174531
84,2.771294,721.684641
84,2.745866,728.367677
