n_threads,Time,GFLOPS
1,20.284753,98.596221
1,20.151775,99.246840
1,21.057495,94.978061
1,20.085497,99.574333
1,20.834204,95.995990
2,10.539905,189.755031
2,10.615648,188.401124
2,10.218755,195.718551
2,10.392690,192.442952
2,10.249289,195.135494
4,5.264972,379.869099
4,5.348915,373.907581
4,5.238776,381.768568
4,5.214994,383.509550
4,5.143153,388.866537
6,3.531342,566.356851
6,3.566825,560.722799
6,3.508489,570.045981
6,3.589639,557.159043
6,3.656022,547.042605
8,2.665191,750.415139
8,2.717054,736.091449
8,2.709865,738.044046
8,2.705703,739.179411
8,2.706327,739.009052
10,2.139358,934.859981
10,2.132403,937.909085
10,2.104083,950.532860
10,2.145676,932.107209
10,2.156608,927.382446
12,1.817088,1100.662263
12,1.816497,1101.020516
12,1.810810,1104.477828
12,1.823061,1097.056025
12,1.840376,1086.734645
14,1.632554,1225.074182
14,1.608658,1243.271997
14,1.628402,1228.197690
14,1.619221,1235.161477
14,1.582759,1263.616052
16,1.390504,1438.327697
16,1.421679,1406.787806
16,1.386342,1442.645028
16,1.377982,1451.397613
16,1.401240,1427.307403
18,1.335564,1497.494568
18,1.300714,1537.617143
18,1.280370,1562.047969
18,1.282110,1559.928609
18,1.310582,1526.039334
20,1.212375,1649.654816
20,1.220486,1638.691394
20,1.231434,1624.122391
20,1.228089,1628.545829
20,1.232767,1622.367136
22,1.237871,1615.677252
22,1.226503,1630.652999
22,1.249147,1601.092912
22,1.241494,1610.962678
22,1.234342,1620.296264
24,1.218418,1641.472895
24,1.222380,1636.152915
24,1.225644,1631.795444
24,1.225585,1631.873773
24,1.221859,1636.850460
26,1.227871,1628.836108
26,1.226661,1630.441876
26,1.218509,1641.350050
26,1.227017,1629.969284
26,1.204368,1660.622631
28,1.234838,1619.645960
28,1.241697,1610.699516
28,1.227820,1628.903573
28,1.225451,1632.052042
28,1.248317,1602.157123
30,1.282960,1558.895333
30,1.280292,1562.143448
30,1.287093,1553.889789
30,1.281947,1560.126571
30,1.287478,1553.424938
32,0.925646,2160.652287
32,0.929307,2152.141568
32,0.939373,2129.079668
32,0.947270,2111.330069
32,0.942631,2121.719964
34,0.993961,2012.150487
34,1.002338,1995.335355
34,0.964152,2074.362687
34,0.988113,2024.059213
34,0.994947,2010.156998
36,0.932805,2144.069822
36,0.975638,2049.940045
36,0.993937,2012.199023
36,0.942685,2121.600021
36,0.968741,2064.535173
38,0.989632,2020.953313
38,0.996188,2007.653635
38,0.999803,2000.394104
38,0.981874,2036.921371
38,0.992323,2015.473585
40,0.980660,2039.443542
40,0.980987,2038.762878
40,1.002920,1994.177844
40,0.983722,2033.094937
40,0.994737,2010.580723
42,1.027882,1945.747951
42,1.033443,1935.279382
42,1.029585,1942.529528
42,1.018112,1964.420392
42,1.033999,1934.237468
44,1.011870,1976.539336
44,0.999540,2000.920135
44,1.024388,1952.386102
44,0.947672,2110.435442
44,1.026668,1948.049033
46,0.990593,2018.992664
46,1.006912,1986.271665
46,0.986407,2027.560543
46,1.015382,1969.702066
46,0.998924,2002.155188
48,0.975939,2049.308063
48,0.974091,2053.195638
48,0.979234,2042.413561
48,0.975838,2049.521115
48,0.977679,2045.660932
50,1.033745,1934.713263
50,1.007996,1984.134690
50,1.017138,1966.302095
50,1.025710,1949.868253
50,1.033663,1934.866826
52,1.043228,1917.127018
52,1.031004,1939.856663
52,1.069593,1869.870193
52,1.084655,1843.904123
52,1.065695,1876.709819
54,1.093824,1828.447848
54,1.173367,1704.497119
54,1.161051,1722.577367
54,1.161404,1722.053399
54,1.171832,1706.728935
56,1.161662,1721.670901
56,1.204354,1660.640853
56,1.194768,1673.965694
56,1.198261,1669.085447
56,1.178288,1697.378290
58,1.165250,1716.370216
58,1.091692,1832.019006
58,1.044456,1914.873111
58,1.122229,1782.167359
58,1.135801,1760.871386
60,1.151088,1737.485883
60,1.090217,1834.497482
60,1.128191,1772.749787
60,1.096497,1823.990530
60,1.146142,1744.985157
62,1.138967,1755.976823
62,1.160673,1723.137531
62,1.149924,1739.244749
62,1.146759,1744.045668
62,1.131800,1767.096309
64,1.098853,1820.080339
64,1.109136,1803.205565
