n_threads,Time,GFLOPS
1,20.397941,98.049111
1,20.391639,98.079414
1,20.397916,98.049234
1,20.434074,97.875737
1,20.425548,97.916590
2,10.498914,190.495901
2,10.519001,190.132117
2,10.498212,190.508634
2,10.504158,190.400789
2,10.503773,190.407779
4,5.480279,364.944937
4,5.457129,366.493056
4,5.467257,365.814183
4,5.472044,365.494125
4,5.460893,366.240443
6,3.719540,537.700915
6,3.720487,537.564039
6,3.716788,538.099046
6,3.703768,539.990606
6,3.722571,537.263090
8,2.698935,741.033080
8,2.706780,738.885214
8,2.701978,740.198407
8,2.714588,736.759945
8,2.693689,742.476094
10,2.300224,869.480535
10,2.301381,869.043298
10,2.303397,868.282710
10,2.295436,871.294293
10,2.292008,872.597201
12,1.833099,1091.048747
12,1.830921,1092.346185
12,1.834005,1090.509661
12,1.832668,1091.305031
12,1.832007,1091.698788
14,1.698026,1177.838510
14,1.700261,1176.290102
14,1.702402,1174.810352
14,1.698341,1177.619648
14,1.697974,1177.874572
16,1.423473,1405.014525
16,1.418832,1409.609750
16,1.420427,1408.027231
16,1.416820,1411.611947
16,1.415845,1412.583860
18,1.337054,1495.826194
18,1.331741,1501.794053
18,1.335243,1497.854690
18,1.336944,1495.948745
18,1.336009,1496.996259
20,1.245995,1605.142879
20,1.251005,1598.714548
20,1.251484,1598.103353
20,1.250585,1599.251284
20,1.246003,1605.132444
22,1.260151,1587.111953
22,1.258867,1588.730094
22,1.260681,1586.444348
22,1.260935,1586.124243
22,1.252624,1596.648106
24,1.157525,1727.824977
24,1.166896,1713.948115
24,1.166582,1714.410650
24,1.159628,1724.690281
24,1.167545,1712.995835
26,1.196203,1671.957624
26,1.196997,1670.848582
26,1.194083,1674.926023
26,1.195941,1672.323756
26,1.198017,1669.424818
28,1.173958,1703.638009
28,1.170844,1708.168796
28,1.165169,1716.489159
28,1.160351,1723.615983
28,1.171031,1707.896342
30,1.132923,1765.345308
30,1.115659,1792.661939
30,1.121492,1783.338169
30,1.132245,1766.402137
30,1.128254,1772.650678
32,1.189596,1681.242337
32,1.194712,1674.044042
32,1.195968,1672.286181
32,1.193839,1675.268050
32,1.194248,1674.694413
34,1.075916,1858.880340
34,1.093729,1828.605897
34,1.091985,1831.526976
34,1.094280,1827.685440
34,1.097986,1821.517031
36,1.172174,1706.231327
36,1.172025,1706.447711
36,1.156949,1728.684747
36,1.185019,1687.737253
36,1.181570,1692.662438
38,1.053038,1899.267276
38,1.070022,1869.120464
38,1.067020,1874.379980
38,1.061695,1883.779859
38,1.063284,1880.965023
40,1.197245,1670.501883
40,1.196720,1671.235242
40,1.197247,1670.499436
40,1.199210,1667.764456
40,1.196801,1671.121071
42,1.177950,1697.864239
42,1.191131,1679.076937
42,1.182392,1691.485827
42,1.184180,1688.931891
42,1.187785,1683.806912
44,1.320625,1514.433910
44,1.302464,1535.551127
44,1.311217,1525.300429
44,1.300141,1538.294482
44,1.305347,1532.159695
46,1.053826,1897.847189
46,1.062233,1882.825545
46,1.058793,1888.943125
46,1.040647,1921.881323
46,1.035256,1931.888926
48,1.184656,1688.254137
48,1.184830,1688.006339
48,1.168470,1711.639772
48,1.173495,1704.310347
48,1.166315,1714.802198
50,1.289891,1550.518064
50,1.304653,1532.974590
50,1.292427,1547.475640
50,1.298130,1540.677725
50,1.278203,1564.697105
52,1.410765,1417.671017
52,1.397834,1430.785126
52,1.414836,1413.591791
52,1.393478,1435.257413
52,1.404735,1423.756201
54,1.182425,1691.438660
54,1.191527,1678.518783
54,1.195296,1673.225047
54,1.197348,1670.358651
54,1.186758,1685.262907
56,1.269803,1575.047128
56,1.258464,1589.238763
56,1.271958,1572.378863
56,1.276927,1566.260330
56,1.276843,1566.363259
58,1.063676,1880.271545
58,1.069971,1869.210299
58,1.067358,1873.786429
58,1.055438,1894.947768
58,1.061840,1883.522736
60,1.207381,1656.477611
60,1.220632,1638.495504
60,1.193346,1675.959773
60,1.188764,1682.419715
60,1.216177,1644.497318
62,0.981423,2037.856367
62,1.020741,1959.361370
62,0.993415,2013.257824
62,1.001996,1996.015984
62,0.978170,2044.634931
64,1.340771,1491.678761
64,1.349760,1481.745429
64,1.353247,1477.926262
64,1.347339,1484.407747
64,1.347859,1483.834883
66,1.485049,1346.756481
66,1.443413,1385.604417
66,1.461715,1368.256046
66,1.443403,1385.614707
66,1.473787,1357.048299
68,1.575303,1269.597053
68,1.563809,1278.928369
68,1.569115,1274.604131
68,1.577993,1267.433099
68,1.575649,1269.318245
70,1.224535,1633.272681
70,1.220593,1638.547739
70,1.259314,1588.165865
70,1.240234,1612.598300
70,1.219001,1640.687523
72,1.488300,1343.815090
72,1.461593,1368.370225
72,1.500792,1332.629663
72,1.496458,1336.488987
72,1.531322,1306.061164
74,0.872913,2291.178597
74,0.896406,2231.131447
74,0.886775,2255.363437
74,0.891365,2243.748914
74,0.882269,2266.883042
76,1.797074,1112.920352
76,1.787443,1118.916888
76,1.770653,1129.526931
76,1.744422,1146.511303
76,1.812080,1103.703983
78,1.542545,1296.558647
78,1.562356,1280.117594
78,1.567411,1275.989545
78,1.553548,1287.375511
78,1.551995,1288.664330
80,1.435275,1393.461213
80,1.420436,1408.018134
80,1.428687,1399.886970
80,1.414596,1413.831429
80,1.441088,1387.840175
82,0.792555,2523.482828
82,0.799710,2500.906923
82,0.793883,2519.261911
82,0.794993,2515.744922
82,0.804359,2486.450755
84,1.556412,1285.006621
84,1.519005,1316.651212
84,1.541784,1297.198509
84,1.520757,1315.134305
84,1.529127,1307.936130
86,0.772637,2588.536189
86,0.773214,2586.604618
86,0.757372,2640.708774
86,0.779696,2565.102997
86,0.757645,2639.759688
88,1.311066,1525.476547
88,1.321025,1513.975514
88,1.320551,1514.519737
88,1.330320,1503.397644
88,1.343927,1488.176316
90,1.152297,1735.664053
90,1.161239,1722.297883
90,1.171141,1707.736127
90,1.159408,1725.017854
90,1.170016,1709.378365
92,2.055684,972.912250
92,2.072895,964.834013
92,2.097325,953.595815
92,2.093439,955.365986
92,2.093416,955.376076
94,0.709399,2819.288568
94,0.699277,2860.097325
94,0.704225,2840.000545
94,0.707677,2826.148782
94,0.697202,2868.607468
96,1.340767,1491.683216
96,1.338744,1493.938104
96,1.347098,1484.672702
96,1.340442,1492.045498
96,1.336179,1496.805524
98,1.693072,1181.284403
98,1.690197,1183.293691
98,1.692012,1182.024502
98,1.692421,1181.739290
98,1.696570,1178.848778
100,1.479989,1351.360978
100,1.486334,1345.592368
100,1.488945,1343.232758
100,1.477870,1353.298611
100,1.471384,1359.264110
102,1.889944,1058.232573
102,1.863386,1073.314817
102,1.865370,1072.173115
102,1.889654,1058.395080
102,1.872583,1068.043485
104,1.299518,1539.032052
104,1.294816,1544.620535
104,1.296524,1542.586637
104,1.286929,1554.086711
104,1.302809,1535.144044
106,0.588032,3401.176788
106,0.592341,3376.435360
106,0.590941,3384.431720
106,0.586782,3408.419607
