n_threads,Time,GFLOPS
1,43.169784,46.328701
1,42.983070,46.529948
1,42.771232,46.760402
1,42.990112,46.522326
1,42.793723,46.735827
2,22.216198,90.024403
2,22.110771,90.453655
2,21.969668,91.034604
2,22.118698,90.421237
2,22.068033,90.628828
4,11.366457,175.956329
4,11.385232,175.666156
4,11.327730,176.557887
4,11.389291,175.603559
4,11.361923,176.026540
6,7.438512,268.870967
6,7.431065,269.140442
6,7.440617,268.794899
6,7.427205,269.280304
6,7.440986,268.781570
8,5.928347,337.362169
8,5.861291,341.221777
8,5.907141,338.573242
8,5.891411,339.477222
8,5.881888,340.026881
10,4.704015,425.168707
10,4.710193,424.611026
10,4.716967,424.001298
10,4.704618,425.114207
10,4.695093,425.976642
12,4.167813,479.867939
12,4.152051,481.689615
12,4.163308,480.387183
12,4.167783,479.871490
12,4.171278,479.469350
14,3.563348,561.269834
14,3.559101,561.939736
14,3.563424,561.257932
14,3.561994,561.483310
14,3.558698,562.003252
16,3.849387,519.563234
16,3.830980,522.059692
16,3.836719,521.278685
16,3.834514,521.578522
16,3.825258,522.840528
18,3.600123,555.536632
18,3.614492,553.328040
18,3.602061,555.237723
18,3.600246,555.517618
18,3.594810,556.357649
20,3.700465,540.472642
20,3.720710,537.531837
20,3.697966,540.837831
20,3.693437,541.501020
20,3.722241,537.310774
22,3.494311,572.358981
22,3.498727,571.636538
22,3.502960,570.945727
22,3.490694,572.951917
22,3.503194,570.907561
24,3.615623,553.154956
24,3.600308,555.508011
24,3.599714,555.599713
24,3.611299,553.817319
24,3.616928,552.955400
26,3.428378,583.366252
26,3.416685,585.362728
26,3.427540,583.508889
26,3.394392,589.207109
26,3.419670,584.851727
28,3.543146,564.470112
28,3.545735,564.057985
28,3.528024,566.889561
28,3.529800,566.604381
28,3.532624,566.151435
30,3.382891,591.210382
30,3.335268,599.651998
30,3.338133,599.137267
30,3.431946,582.759735
30,3.341068,598.611062
32,3.515721,568.873421
32,3.529333,566.679282
32,3.509063,569.952757
32,3.508546,570.036766
32,3.464363,577.306742
34,3.365845,594.204466
34,3.374121,592.746986
34,3.366512,594.086653
34,3.378968,591.896764
34,3.312852,603.709409
36,3.432884,582.600515
36,3.500964,571.271266
36,3.477721,575.089183
36,3.429162,583.232875
36,3.479606,574.777776
38,3.286198,608.606094
38,3.279016,609.939115
38,3.283905,609.031011
38,3.299477,606.156675
38,3.330791,600.457933
40,3.465295,577.151518
40,3.404611,587.438696
40,3.465608,577.099373
40,3.471378,576.140014
40,3.485923,573.736174
42,3.295738,606.844440
42,3.289833,607.933619
42,3.273781,610.914489
42,3.338666,599.041590
42,3.259134,613.659908
44,3.458315,578.316331
44,3.384364,590.953012
44,3.460398,577.968126
44,3.407576,586.927528
44,3.439071,581.552444
46,3.200489,624.904558
46,3.223488,620.446000
46,3.175041,629.913177
46,3.179651,628.999926
46,3.188931,627.169444
48,3.430981,582.923618
48,3.449813,579.741597
48,3.417808,585.170411
48,3.431091,582.905009
48,3.441050,581.217966
50,3.238961,617.482007
50,3.174899,629.941291
50,3.239048,617.465363
50,3.263640,612.812763
50,3.226337,619.897966
52,3.591945,556.801328
52,3.574156,559.572739
52,3.461841,577.727357
52,3.550791,563.254712
52,3.454169,579.010461
54,3.210032,623.046761
54,3.187498,627.451391
54,3.192671,626.434783
54,3.217711,621.559933
54,3.223296,620.482800
56,3.500670,571.319132
56,3.553886,562.764222
56,3.490979,572.905150
56,3.519325,568.290821
56,3.531547,566.324086
58,3.171050,630.705955
58,3.198768,625.240629
58,3.191395,626.685114
58,3.167458,631.421202
58,3.194806,626.016144
60,3.674603,544.276540
60,3.714885,538.374724
60,3.719609,537.690890
60,3.717309,538.023674
60,3.707799,539.403624
62,3.207746,623.490832
62,3.313863,603.525175
62,3.350970,596.842101
62,3.226077,619.948035
62,3.197954,625.399893
64,3.747614,533.672857
64,3.748833,533.499337
64,3.769202,530.616347
64,3.753433,532.845518
64,3.745951,533.909783
66,3.179335,629.062403
66,3.192396,626.488778
66,3.170409,630.833347
66,3.199176,625.160997
66,3.191804,626.604795
68,3.641876,549.167509
68,3.609939,554.025952
68,3.622402,552.119874
68,3.677547,543.840774
68,3.652863,547.515749
70,3.274847,610.715580
70,3.315854,603.162924
70,3.362209,594.847097
70,3.282851,609.226496
70,3.328198,600.925742
72,3.479531,574.790189
72,3.595040,556.322015
72,3.495667,572.136802
72,3.531748,566.291806
72,3.300306,606.004327
74,3.297906,606.445414
74,3.322085,602.031631
74,3.302622,605.579511
74,3.303618,605.396823
74,3.083190,648.678853
76,3.499860,571.451471
76,3.543277,564.449177
76,3.482504,574.299434
76,3.544440,564.264076
76,3.548413,563.632196
78,3.364468,594.447578
78,3.360383,595.170191
78,3.371345,593.234993
78,3.324250,601.639552
78,3.380523,591.624465
80,3.651660,547.696132
80,3.675802,544.098896
80,3.674143,544.344570
80,3.644320,548.799212
80,3.692245,541.675823
82,3.265838,612.400320
82,3.282845,609.227583
82,3.264837,612.588047
82,3.263526,612.834126
82,3.268981,611.811431
84,3.523500,567.617445
84,3.513316,569.262777
84,3.507414,570.220623
84,3.529711,566.618639
84,3.512965,569.319725
86,2.831950,706.227181
86,3.292590,607.424637
86,3.331283,600.369259
86,2.862788,698.619596
86,3.269955,611.629175
88,3.557973,562.117749
88,3.563961,561.173359
88,3.572274,559.867490
88,3.576743,559.167905
88,3.543686,564.384084
90,3.324422,601.608294
90,3.397919,588.595631
90,3.345892,597.747988
90,3.335679,599.578164
90,3.308741,604.459431
92,3.588968,557.263335
92,3.578304,558.923933
92,3.573032,559.748661
92,3.570365,560.166786
92,3.595723,556.216297
94,3.287082,608.442432
94,3.347346,597.488343
94,3.415360,585.589859
94,3.332836,600.089457
94,3.340386,598.733113
96,3.614404,553.341633
96,3.606584,554.541292
96,3.620422,552.421836
96,3.614840,553.274839
96,3.621141,552.312053
98,3.361886,594.904205
98,3.430932,582.931958
98,3.385188,590.809179
98,3.405300,587.319815
98,3.386304,590.614347
100,3.615814,553.125869
100,3.626536,551.490409
100,3.617907,552.805780
100,3.603490,555.017439
100,3.619890,552.503005
102,3.438604,581.631355
102,3.373383,592.876611
102,3.389893,589.989173
102,3.368329,593.766201
102,3.424818,583.972580
104,3.639293,549.557261
104,3.434399,582.343539
104,3.643568,548.912511
104,3.643570,548.912257
104,3.432670,582.636906
106,3.478107,575.025389
106,3.420379,584.730461
106,3.440851,581.251634
106,3.489308,573.179543
106,3.422062,584.443010
108,3.671953,544.669230
108,3.682895,543.051070
108,3.685729,542.633489
108,3.659820,546.474988
108,3.679488,543.553814
110,3.453159,579.179768
110,3.482904,574.233458
110,3.508181,570.096067
110,3.483798,574.086058
110,3.515994,568.829175
112,3.702068,540.238541
112,3.716417,538.152782
112,3.689563,542.069581
112,3.704934,539.820740
112,3.458482,578.288310
114,3.565478,560.934580
114,3.550285,563.335127
114,3.564129,561.146885
114,3.325683,601.380318
114,3.545923,564.028006
116,3.709964,539.088752
116,3.718420,537.862792
116,3.708851,539.250557
116,3.462563,577.606751
116,3.731572,535.967172
118,3.637350,549.850825
118,3.568372,560.479666
118,3.539687,565.021747
118,3.620733,552.374339
118,3.567654,560.592483
120,3.728828,536.361609
120,3.720959,537.495878
120,3.739172,534.877727
120,3.483226,574.180321
120,3.743831,534.212190
122,3.626041,551.565774
122,3.563492,561.247233
122,3.673894,544.381560
122,3.666446,545.487408
122,3.634287,550.314324
124,3.776542,529.584954
124,3.774975,529.804777
124,3.775288,529.760856
124,3.761092,531.760501
124,3.776475,529.594387
126,3.631363,550.757348
126,3.662202,546.119461
126,3.719869,537.653286
126,3.730693,536.093392
126,3.626087,551.558783
128,3.825702,522.779804
128,3.793699,527.189987
128,3.798419,526.534914
128,3.822006,523.285404
128,3.810262,524.898264
