n_threads,Time,GFLOPS
1,33.607375,59.510748
1,34.649239,57.721326
1,33.249999,60.150379
1,34.039008,58.756118
1,34.124076,58.609646
2,18.578846,107.649311
2,18.279142,109.414328
2,19.112995,104.640850
2,18.235151,109.678282
2,19.343715,103.392754
4,11.932688,167.606830
4,12.186346,164.118107
4,11.961942,167.196937
4,12.203159,163.891995
4,11.955154,167.291860
6,6.434804,310.809783
6,6.252366,319.878902
6,6.492520,308.046780
6,6.190374,323.082234
6,6.609241,302.606592
8,4.862722,411.292271
8,4.996575,400.274161
8,4.821127,414.840767
8,4.999914,400.006866
8,4.864445,411.146634
10,4.591719,435.566736
10,4.324588,462.471748
10,4.618217,433.067613
10,4.320702,462.887741
10,4.626276,432.313161
12,3.306793,604.815663
12,3.473655,575.762342
12,3.324815,601.537301
12,3.500417,571.360551
12,3.310358,604.164341
14,2.969302,673.559061
14,2.866110,697.809981
14,2.970289,673.335173
14,2.841980,703.734643
14,2.944408,679.253629
16,2.732721,731.871312
16,2.804073,713.248146
16,2.737408,730.618061
16,2.769769,722.081928
16,2.718370,735.735070
18,2.405922,831.282225
18,2.387526,837.687172
18,2.468984,810.049676
18,2.431331,822.594620
18,2.411846,829.240239
20,2.205987,906.623764
20,2.221516,900.286053
20,2.174003,919.962001
20,2.213521,903.537971
20,2.201326,908.543102
22,2.154390,928.337157
22,2.087725,957.980384
22,2.118813,943.924797
22,2.055228,973.128249
22,2.115678,945.323344
24,1.910338,1046.934958
24,1.932987,1034.668027
24,1.908785,1047.786761
24,1.893856,1056.046369
24,1.892369,1056.876432
26,1.861791,1074.234427
26,1.855048,1078.139296
26,1.865139,1072.305971
26,1.844336,1084.400969
26,1.887767,1059.452568
28,1.757430,1138.025418
28,1.726931,1158.123779
28,1.718107,1164.071559
28,1.769706,1130.131290
28,1.784333,1120.867227
30,1.707216,1171.497873
30,1.698025,1177.839011
30,1.705276,1172.830692
30,1.690238,1183.265228
30,1.704955,1173.051536
32,1.690597,1183.013952
32,1.619985,1234.579634
32,1.668690,1198.545244
32,1.653435,1209.602819
32,1.687940,1184.876556
34,1.701700,1175.295117
34,1.681505,1189.410766
34,1.727527,1157.724312
34,1.648600,1213.150424
34,1.691408,1182.446731
36,1.671942,1196.213702
36,1.675390,1193.751575
36,1.712537,1167.857677
36,1.666278,1200.280230
36,1.696222,1179.091054
38,1.739877,1149.506639
38,1.742465,1147.799379
38,1.708232,1170.801339
38,1.773165,1127.926749
38,1.739138,1149.994776
40,1.673829,1194.865180
40,1.670694,1197.107650
40,1.662927,1202.698478
40,1.661140,1203.992594
40,1.670450,1197.282170
42,1.623900,1231.602833
42,1.663204,1202.497955
42,1.658863,1205.645038
42,1.666181,1200.349792
42,1.662558,1202.965582
44,1.640718,1218.978647
44,1.634885,1223.328006
44,1.640064,1219.464394
44,1.625148,1230.656993
44,1.641192,1218.626491
46,1.628165,1228.377045
46,1.621475,1233.444622
46,1.615069,1238.337127
46,1.617207,1236.699779
46,1.625453,1230.426541
48,1.620697,1234.037221
48,1.624656,1231.029999
48,1.623855,1231.636777
48,1.638113,1220.917365
48,1.623590,1231.838020
50,1.634443,1223.658340
50,1.630657,1226.499533
50,1.631544,1225.832899
50,1.639584,1219.821418
50,1.623599,1231.831610
52,1.682539,1188.679986
52,1.685597,1186.523285
52,1.688230,1184.672826
52,1.681324,1189.538646
52,1.684113,1187.568514
54,1.657102,1206.926119
54,1.649539,1212.459624
54,1.655898,1207.803599
54,1.650475,1211.772463
54,1.658312,1206.045375
56,1.676029,1193.296791
56,1.675964,1193.343321
56,1.665506,1200.836255
56,1.674203,1194.598565
56,1.663078,1202.589456
58,1.712514,1167.873796
58,1.702526,1174.725186
58,1.741613,1148.360752
58,1.717397,1164.553202
58,1.710835,1169.019544
60,1.677162,1192.490837
60,1.686473,1185.907224
60,1.671589,1196.466252
60,1.677367,1192.344651
60,1.682335,1188.824070
62,1.841777,1085.907641
62,1.930868,1035.803353
62,1.897994,1053.744183
62,1.900680,1052.254882
62,1.776798,1125.620663
64,1.659925,1204.873819
64,1.616486,1237.251763
64,1.666587,1200.057105
64,1.614526,1238.753781
64,1.656260,1207.539961
66,1.699107,1177.089198
66,1.679987,1190.485405
66,1.680643,1190.021018
66,1.681988,1189.069097
66,1.679929,1190.526655
68,1.673211,1195.306453
68,1.740304,1149.224232
68,1.716915,1164.880027
68,1.724331,1159.869907
68,1.687945,1184.872623
70,1.627020,1229.241314
70,1.572017,1272.251081
70,1.605423,1245.777441
70,1.573270,1271.237999
70,1.616309,1237.387070
72,1.536888,1301.330579
72,1.570192,1273.729795
72,1.520627,1315.246569
72,1.592132,1256.176871
72,1.519079,1316.586921
74,1.800380,1110.876888
74,1.799298,1111.544384
74,1.785254,1120.288837
74,1.788180,1118.455331
74,1.821962,1097.717630
76,1.523906,1312.417084
76,1.483742,1347.943258
76,1.497735,1335.349970
76,1.490123,1342.171401
76,1.506523,1327.560303
78,1.484770,1347.009809
78,1.469814,1360.716425
78,1.477853,1353.314581
78,1.473397,1357.407371
78,1.484352,1347.389703
80,1.486020,1345.876638
80,1.491293,1341.117894
80,1.496128,1336.784194
80,1.504266,1329.552108
80,1.482866,1348.739639
82,1.492848,1339.721510
82,1.478124,1353.066164
82,1.489620,1342.624544
82,1.475302,1355.654463
82,1.501040,1332.409278
84,1.477190,1353.922381
84,1.482176,1349.367633
84,1.483655,1348.022641
84,1.480613,1350.792318
84,1.477264,1353.854361
86,1.596083,1253.067834
86,1.550622,1289.805217
86,1.563945,1278.817404
86,1.544357,1295.037024
86,1.528717,1308.286844
88,1.523277,1312.958896
88,1.519101,1316.567810
88,1.527562,1309.275470
88,1.518971,1316.680725
88,1.517408,1318.037335
90,1.493951,1338.731663
90,1.502574,1331.049438
90,1.484341,1347.399534
90,1.493749,1338.913219
90,1.493947,1338.735820
92,1.507769,1326.463172
92,1.503418,1330.301917
92,1.513090,1321.798696
92,1.508408,1325.901532
92,1.502185,1331.394202
94,1.781601,1122.585808
94,1.775371,1126.524926
94,1.842989,1085.193952
94,1.788959,1117.968463
94,1.823270,1096.930336
96,1.433536,1395.151490
96,1.434527,1394.187692
96,1.433744,1394.948738
96,1.432370,1396.286987
96,1.425991,1402.533276
98,1.451890,1377.514820
98,1.456669,1372.995621
98,1.446975,1382.194067
98,1.463266,1366.805101
98,1.440592,1388.318076
100,1.448185,1381.039042
100,1.447084,1382.089511
100,1.446628,1382.525662
100,1.443765,1385.266976
100,1.457267,1372.432013
102,1.497787,1335.303691
102,1.457123,1372.567304
102,1.458749,1371.037686
102,1.494552,1338.194095
102,1.438622,1390.219089
104,1.432729,1395.937535
104,1.447731,1381.472502
104,1.431840,1396.804349
104,1.438919,1389.932165
104,1.433496,1395.190806
106,1.460626,1369.275876
106,1.457185,1372.509729
106,1.433694,1394.998189
106,1.437910,1390.907830
106,1.462258,1367.747293
108,1.370100,1459.747459
108,1.368813,1461.120222
108,1.374431,1455.147312
108,1.376199,1453.277849
108,1.379155,1450.163098
110,1.385856,1443.151108
110,1.388446,1440.459736
110,1.378410,1450.946951
110,1.402185,1426.345694
110,1.386698,1442.275277
112,1.389440,1439.429200
112,1.400657,1427.901304
112,1.387217,1441.735258
112,1.413382,1415.045412
112,1.408094,1420.359713
114,1.413061,1415.367016
114,1.492962,1339.618474
114,1.506465,1327.611202
114,1.502528,1331.089645
114,1.490896,1341.475632
116,1.465447,1364.771423
116,1.461470,1368.484910
116,1.519984,1315.802904
116,1.451082,1378.282287
116,1.460244,1369.633695
118,1.367678,1462.332231
118,1.377200,1452.221373
118,1.374020,1455.582888
118,1.343174,1489.009824
118,1.342397,1489.872696
120,1.309749,1527.009586
120,1.294880,1544.545080
120,1.305453,1532.035076
120,1.311114,1525.420666
120,1.291254,1548.881876
122,1.352889,1478.317439
122,1.362311,1468.093193
122,1.364758,1465.461010
122,1.352119,1479.160001
122,1.367418,1462.610201
124,1.564859,1278.070108
124,1.612112,1240.608390
124,1.571023,1273.056040
124,1.621186,1233.664666
124,1.598290,1251.337310
126,1.279101,1563.598560
126,1.295846,1543.393679
126,1.328184,1505.815721
126,1.287648,1553.219207
126,1.297052,1541.958590
128,1.255959,1592.408998
128,1.224601,1633.185074
128,1.237492,1616.171859
128,1.221372,1637.502241
128,1.312062,1524.317847
