n_threads,Time,GFLOPS
2000,0.029544,541.567708
2000,0.025881,618.218959
2000,0.026216,610.317385
2000,0.026286,608.698785
2000,0.026626,600.907641
3000,0.057540,938.484594
3000,0.055225,977.819363
3000,0.055583,971.521013
3000,0.055977,964.677029
3000,0.061460,878.618883
4000,0.133051,962.035176
4000,0.131910,970.357688
4000,0.132291,967.565284
4000,0.133128,961.479322
4000,0.134762,949.821050
5000,0.336315,743.350774
5000,0.335258,745.694396
5000,0.334871,746.555722
5000,0.335493,745.171930
5000,0.330469,756.499536
6000,0.590754,731.268419
6000,0.599609,720.469382
6000,0.602030,717.572477
6000,0.599266,720.881797
6000,0.592219,729.460343
7000,0.893044,768.158830
7000,0.893072,768.135521
7000,0.901301,761.122204
7000,0.901586,760.881643
7000,0.896551,765.154060
8000,1.308571,782.533252
8000,1.303935,785.315247
8000,1.305267,784.514093
8000,1.305418,784.422877
8000,1.304259,785.120348
9000,1.801025,809.539140
9000,1.790435,814.327249
9000,1.787624,815.607862
9000,1.782837,817.797910
9000,1.794679,812.401447
10000,2.402598,832.432328
10000,2.405057,831.581113
10000,2.337661,855.556189
10000,2.400777,833.063638
10000,2.398985,833.685962
11000,3.804696,699.661602
11000,3.814781,697.812004
11000,3.829326,695.161430
11000,3.824607,696.019193
11000,3.819000,697.041023
12000,3.949865,874.966562
12000,4.035225,856.457835
12000,4.028867,857.809334
12000,4.063997,850.394228
12000,3.911043,883.651768
13000,4.858369,904.418785
13000,4.853776,905.274493
13000,4.830896,909.562105
13000,4.869317,902.385259
13000,4.873494,901.611790
14000,6.065990,904.716281
14000,6.107287,898.598725
14000,6.197141,885.569642
14000,6.109125,898.328267
14000,6.173382,888.977911
15000,7.409573,910.983666
15000,7.426851,908.864329
15000,7.528765,896.561413
15000,7.540251,895.195677
15000,7.554239,893.538019
16000,9.056854,904.508350
16000,9.035032,906.692957
16000,9.100226,900.197430
16000,9.004732,909.743915
16000,8.965772,913.697138
17000,9.673652,1015.748733
17000,9.282971,1058.497316
17000,9.706935,1012.265959
17000,9.739645,1008.866369
17000,9.734058,1009.445347
18000,12.544648,929.798928
18000,12.443196,937.379762
18000,12.388947,941.484399
18000,12.468606,935.469470
18000,12.452547,936.675851
19000,10.728025,1278.706914
19000,12.971850,1057.520710
19000,13.439195,1020.745663
19000,13.022184,1053.433166
19000,13.027011,1053.042789
20000,14.496409,1103.721644
20000,14.299558,1118.915700
20000,14.004175,1142.516425
20000,13.137600,1217.878440
20000,13.697416,1168.103556
