n_threads,Time,GFLOPS
2000,0.018029,887.465148
2000,0.018120,882.998309
2000,0.017689,904.494995
2000,0.016840,950.133209
2000,0.017335,922.997545
3000,0.032286,1672.574002
3000,0.035423,1524.437538
3000,0.033264,1623.392924
3000,0.033044,1634.175129
3000,0.034367,1571.281307
4000,0.055575,2303.186630
4000,0.053203,2405.887914
4000,0.056083,2282.347985
4000,0.054802,2335.681861
4000,0.055821,2293.049341
5000,0.097784,2556.647616
5000,0.097260,2570.429247
5000,0.098661,2533.939125
5000,0.099996,2500.106755
5000,0.096980,2577.860832
6000,0.201927,2139.383838
6000,0.202793,2130.246391
6000,0.200630,2153.213319
6000,0.200783,2151.574595
6000,0.198706,2174.070990
7000,0.435849,1573.939602
7000,0.442653,1549.747128
7000,0.433715,1581.683124
7000,0.431100,1591.278794
7000,0.439269,1561.686563
8000,0.710466,1441.306702
8000,0.704677,1453.148253
8000,0.708996,1444.296760
8000,0.712468,1437.256744
8000,0.719546,1423.118740
9000,0.998639,1459.987269
9000,1.009358,1444.482916
9000,0.993131,1468.083993
9000,1.001613,1455.652655
9000,1.008755,1445.346259
10000,1.333747,1499.535067
10000,1.336181,1496.803374
10000,1.347315,1484.434085
10000,1.331790,1501.737848
10000,1.348492,1483.138745
11000,1.662972,1600.748522
11000,1.651640,1611.731020
11000,1.685453,1579.397799
11000,1.645388,1617.855194
11000,1.661286,1602.372999
12000,2.087922,1655.234200
12000,2.105207,1641.643519
12000,2.082202,1659.781119
12000,2.102866,1643.471267
12000,2.100737,1645.137179
13000,2.611274,1682.703786
13000,2.589831,1696.635810
13000,2.611983,1682.246946
13000,2.626806,1672.754077
13000,2.612822,1681.706371
14000,2.880651,1905.125014
14000,2.949998,1860.340015
14000,2.966479,1850.004872
14000,2.949104,1860.904455
14000,2.972500,1846.257275
15000,3.934049,1715.789301
15000,3.858987,1749.163506
15000,3.889118,1735.612116
15000,3.882880,1738.400375
15000,3.890803,1734.860276
16000,4.602270,1779.991311
16000,4.655749,1759.545128
16000,4.695424,1744.677350
16000,4.589027,1785.127946
16000,4.604691,1779.055131
17000,5.764454,1704.584799
17000,5.704869,1722.388243
17000,5.705328,1722.249763
17000,5.709982,1720.846068
17000,5.677518,1730.685826
18000,6.642836,1755.876547
18000,6.673160,1747.897492
18000,6.700305,1740.816213
18000,6.612355,1763.970563
18000,6.611322,1764.246329
19000,6.616787,2073.211673
19000,5.957723,2302.557536
19000,7.516757,1824.989216
19000,7.490734,1831.329334
19000,7.629716,1797.969950
20000,8.040520,1989.920930
20000,8.042401,1989.455561
20000,8.061255,1984.802726
20000,8.059559,1985.220260
20000,7.552713,2118.443996
