n_threads,Time,GFLOPS
2000,0.291012,54.980474
2000,0.037187,430.253212
2000,0.037068,431.638556
2000,0.036316,440.580213
2000,0.037714,424.246392
3000,0.073644,733.252841
3000,0.073296,736.736542
3000,0.071146,759.007426
3000,0.070170,769.555934
3000,0.074525,724.592555
4000,0.226372,565.440026
4000,0.198795,643.878712
4000,0.200485,638.452299
4000,0.197797,647.128476
4000,0.211343,605.649338
5000,0.441550,566.187505
5000,0.431861,578.889471
5000,0.437264,571.737402
5000,0.430095,581.266692
5000,0.434685,575.129344
6000,0.770549,560.638950
6000,0.788020,548.209365
6000,0.762661,566.437437
6000,0.786199,549.479314
6000,0.771232,560.142748
7000,1.234937,555.493763
7000,1.236994,554.570081
7000,1.235792,555.109679
7000,1.230974,557.282298
7000,1.238867,553.731926
8000,1.805262,567.230776
8000,1.794999,570.473746
8000,1.804113,567.592095
8000,1.795670,570.260697
8000,1.799148,569.158386
9000,2.524854,577.459054
9000,2.521656,578.191365
9000,2.524562,577.525876
9000,2.528394,576.650626
9000,2.513047,580.172247
10000,2.844592,703.088607
10000,2.828726,707.032138
10000,2.837065,704.953974
10000,2.826114,707.685453
10000,3.476286,575.326685
11000,4.525503,588.221872
11000,4.527663,587.941244
11000,4.532012,587.377066
11000,4.532302,587.339438
11000,4.526274,588.121702
12000,5.519370,626.158436
12000,5.520208,626.063415
12000,5.512398,626.950421
12000,5.514729,626.685342
12000,5.527181,625.273580
13000,6.833517,643.007061
13000,6.850426,641.419938
13000,7.436334,590.882521
13000,6.826353,643.681877
13000,7.439105,590.662444
14000,8.907700,616.096164
14000,8.910847,615.878611
14000,9.107134,602.604487
14000,8.785339,624.677125
14000,8.978204,611.258122
15000,11.079586,609.228536
15000,10.812143,624.298079
15000,10.842274,622.563141
15000,10.921199,618.063978
15000,10.904833,618.991622
16000,13.131137,623.860663
16000,12.988337,630.719715
16000,13.103892,625.157773
16000,12.766405,641.684168
16000,13.058067,627.351676
17000,14.381682,683.230245
17000,13.849081,709.505570
17000,14.423374,681.255320
17000,14.418185,681.500475
17000,14.397985,682.456608
18000,17.830840,654.147531
18000,18.264279,638.623632
18000,14.300430,815.639814
18000,17.871117,652.673237
18000,15.521738,751.462219
19000,16.369303,838.032013
19000,18.911425,725.381616
19000,18.935254,724.468765
19000,14.039769,977.081583
19000,14.210381,965.350614
20000,20.675983,773.844693
20000,20.504884,780.301884
20000,20.478730,781.298440
20000,20.524502,779.556046
20000,20.467495,781.727322
