n_threads,Time,GFLOPS
2000,0.022851,700.197858
2000,0.021646,739.170244
2000,0.022503,711.016909
2000,0.021850,732.276338
2000,0.022615,707.500000
3000,0.037225,1450.620047
3000,0.037525,1439.047849
3000,0.037732,1431.152008
3000,0.038782,1392.416092
3000,0.036491,1479.798976
4000,0.063846,2004.834879
4000,0.065674,1949.008427
4000,0.064352,1989.056800
4000,0.064486,1984.926037
4000,0.065239,1962.012886
5000,0.107680,2321.685003
5000,0.107130,2333.613367
5000,0.106239,2353.189762
5000,0.122758,2036.525027
5000,0.107837,2318.313837
6000,0.221378,1951.416981
6000,0.230828,1871.520629
6000,0.222766,1939.251327
6000,0.242311,1782.830010
6000,0.232953,1854.451431
7000,0.478284,1434.295339
7000,0.467090,1468.666995
7000,0.461362,1486.900697
7000,0.466339,1471.033667
7000,0.467048,1468.801168
8000,0.799228,1281.236486
8000,0.790965,1294.621856
8000,0.788265,1299.055999
8000,0.791581,1293.612894
8000,0.798709,1282.068794
9000,1.121778,1299.722583
9000,1.101104,1324.125343
9000,1.121322,1300.250651
9000,1.122909,1298.413009
9000,1.118108,1303.988653
10000,1.547895,1292.077399
10000,1.546476,1293.262836
10000,1.545494,1294.084240
10000,1.542963,1296.207679
10000,1.539357,1299.243382
11000,2.036978,1306.838046
11000,2.023276,1315.687863
11000,2.032880,1309.471977
11000,2.033723,1308.929768
11000,2.037465,1306.525799
12000,2.622308,1317.922784
12000,2.614391,1321.913923
12000,2.618629,1319.774663
12000,2.598984,1329.750520
12000,2.614893,1321.660357
13000,3.284974,1337.605780
13000,3.290800,1335.237512
13000,3.291930,1334.779404
13000,3.293930,1333.968820
13000,3.277457,1340.673678
14000,3.234096,1696.919451
14000,3.430284,1599.867570
14000,3.409686,1609.532269
14000,3.226644,1700.838181
14000,3.455606,1588.143987
15000,4.930588,1369.005114
15000,4.911435,1374.343724
15000,4.948975,1363.918848
15000,4.929848,1369.210493
15000,4.926060,1370.263357
16000,5.888657,1391.149063
16000,5.844697,1401.612515
16000,5.875179,1394.340507
16000,5.855602,1399.002169
16000,5.865351,1396.676920
17000,7.126502,1378.797142
17000,7.143245,1375.565340
17000,7.132092,1377.716323
17000,7.125095,1379.069377
17000,7.149955,1374.274409
18000,8.398963,1388.742947
18000,8.333108,1399.717822
18000,8.366293,1394.165807
18000,8.353511,1396.299121
18000,8.395012,1389.396476
19000,9.555368,1435.632860
19000,9.559540,1435.006306
19000,9.576228,1432.505575
19000,9.568359,1433.683645
19000,9.593215,1429.968950
20000,10.401810,1538.193770
20000,10.474156,1527.569420
20000,10.310863,1551.761538
20000,10.310075,1551.880137
20000,10.309581,1551.954371
