n_threads,Time,GFLOPS
2000,0.037791,423.378282
2000,0.038155,419.343861
2000,0.038073,420.244424
2000,0.034750,460.425480
2000,0.036096,443.262903
3000,0.073766,732.042440
3000,0.072165,748.288187
3000,0.073702,732.680790
3000,0.072314,746.741500
3000,0.073111,738.606442
4000,0.174694,732.710841
4000,0.170548,750.520875
4000,0.175649,728.725064
4000,0.171019,748.456054
4000,0.170635,750.137045
5000,0.388010,644.313565
5000,0.394373,633.918191
5000,0.375105,666.480003
5000,0.382664,653.314545
5000,0.381078,656.034318
6000,0.626539,689.501943
6000,0.622543,693.928511
6000,0.651545,663.039409
6000,0.623494,692.869748
6000,0.627498,688.448404
7000,0.948922,722.925922
7000,0.962383,712.813769
7000,0.941173,728.878001
7000,0.931146,736.726499
7000,0.952362,720.314246
8000,1.343765,762.038097
8000,1.342874,762.543468
8000,1.364678,750.360381
8000,1.383636,740.078848
8000,1.389091,737.172673
9000,1.892427,770.439433
9000,1.897060,768.557741
9000,1.845638,789.970549
9000,1.881161,775.053381
9000,1.897232,768.487807
10000,2.556829,782.218764
10000,2.453162,815.274200
10000,2.580213,775.129899
10000,2.529231,790.754179
10000,2.458151,813.619671
11000,3.183363,836.222650
11000,3.224707,825.501361
11000,3.171720,839.292352
11000,3.284823,810.393705
11000,3.216436,827.624059
12000,3.273906,1055.619719
12000,4.020643,859.563908
12000,3.925280,880.446785
12000,3.224621,1071.753837
12000,3.353013,1030.714660
13000,4.779792,919.286861
13000,4.882068,900.028417
13000,4.763107,922.506999
13000,4.889966,898.574688
13000,4.716864,931.551176
14000,6.554449,837.293905
14000,6.287339,872.865326
14000,6.156557,891.407376
14000,6.236410,879.993439
14000,6.462178,849.249333
15000,8.625797,782.536369
15000,8.369582,806.491870
15000,7.929053,851.299607
15000,7.687826,878.011552
15000,8.539962,790.401608
16000,9.245604,886.042706
16000,8.308584,985.968283
16000,10.389997,788.450659
16000,10.436939,784.904486
16000,10.451643,783.800222
17000,11.359567,864.997737
17000,11.388043,862.834836
17000,11.782385,833.956811
17000,11.844523,829.581717
17000,11.891177,826.326979
18000,11.429264,1020.538170
18000,10.842007,1075.815534
18000,11.135397,1047.470555
18000,10.523667,1108.358874
18000,10.984255,1061.883606
19000,12.222578,1122.349103
19000,16.281218,842.565969
19000,11.614170,1181.143392
19000,12.277922,1117.290018
19000,16.205184,846.519211
20000,18.836615,849.409520
20000,18.946605,844.478467
20000,18.557084,862.204450
20000,18.855993,848.536612
20000,18.855301,848.567715
