n_threads,Time,GFLOPS
2000,0.025196,635.014501
2000,0.022494,711.295447
2000,0.021955,728.757073
2000,0.022198,720.772149
2000,0.021543,742.699852
3000,0.043413,1243.854867
3000,0.045920,1175.947970
3000,0.046211,1168.557140
3000,0.045058,1198.454181
3000,0.043997,1227.357527
4000,0.074617,1715.430872
4000,0.075908,1686.248713
4000,0.075641,1692.194433
4000,0.076216,1679.427759
4000,0.075445,1696.601297
5000,0.129620,1928.709110
5000,0.133374,1874.421525
5000,0.129528,1930.080994
5000,0.130777,1911.653499
5000,0.129840,1925.452502
6000,0.256974,1681.102309
6000,0.241453,1789.166982
6000,0.262638,1644.851375
6000,0.257597,1677.040209
6000,0.248670,1737.241946
7000,0.442713,1549.538221
7000,0.446812,1535.322336
7000,0.423315,1620.541776
7000,0.436749,1570.694838
7000,0.423422,1620.132364
8000,0.627817,1631.047657
8000,0.633280,1616.977524
8000,0.639291,1601.773794
8000,0.618303,1656.145871
8000,0.629860,1625.758510
9000,0.860534,1694.296575
9000,0.867771,1680.167678
9000,0.887984,1641.922221
9000,0.857191,1700.904547
9000,0.905194,1610.704143
10000,1.102668,1813.782920
10000,1.122140,1782.309430
10000,1.089833,1835.143896
10000,1.105945,1808.407913
10000,1.112395,1797.923197
11000,1.513622,1758.695398
11000,1.528766,1741.273744
11000,1.471033,1809.613061
11000,1.529404,1740.547058
11000,1.484250,1793.498121
12000,1.871965,1846.188278
12000,1.913486,1806.127382
12000,1.808186,1911.308093
12000,1.896538,1822.268136
12000,1.840446,1877.805353
13000,2.257011,1946.822537
13000,2.248605,1954.100500
13000,2.247345,1955.196310
13000,2.252411,1950.798903
13000,2.257317,1946.558786
14000,2.791475,1965.986005
14000,2.770253,1981.046155
14000,2.819414,1946.503706
14000,2.703455,2029.995121
14000,2.761984,1986.977790
15000,3.281717,2056.849875
15000,3.368780,2003.692503
15000,3.389399,1991.503562
15000,3.380519,1996.734563
15000,3.366987,2004.759935
16000,3.838338,2134.257008
16000,3.826145,2141.058348
16000,3.855417,2124.802590
16000,3.989015,2053.640046
16000,3.932918,2082.931556
17000,4.854619,2024.051710
17000,4.879819,2013.599205
17000,4.794483,2049.438991
17000,4.824481,2036.695968
17000,4.690307,2094.958771
18000,5.342918,2183.076634
18000,5.607396,2080.109750
18000,5.448022,2140.960470
18000,5.584094,2088.789895
18000,5.472188,2131.505599
19000,5.771423,2376.883314
19000,4.966660,2762.016898
19000,5.876391,2334.425820
19000,5.878920,2333.421666
19000,5.796255,2366.700372
20000,7.128124,2244.629964
20000,6.484955,2467.249099
20000,7.387510,2165.817830
20000,7.157585,2235.390861
20000,7.133579,2242.913554
