n_threads,Time,GFLOPS
2000,0.031208,512.690319
2000,0.025814,619.828332
2000,0.027312,585.821065
2000,0.026026,614.772987
2000,0.026993,592.752768
3000,0.056409,957.298801
3000,0.055656,970.239101
3000,0.056552,954.876447
3000,0.057138,945.085129
3000,0.055439,974.037798
4000,0.132011,969.612687
4000,0.134253,953.420805
4000,0.134681,950.391784
4000,0.133584,958.198594
4000,0.133233,960.719620
5000,0.338387,738.799882
5000,0.339190,737.049838
5000,0.337535,740.663014
5000,0.338235,739.130780
5000,0.330586,756.233409
6000,0.613393,704.279850
6000,0.595602,725.316166
6000,0.612946,704.792857
6000,0.600810,719.028848
6000,0.598029,722.372971
7000,0.897614,764.248753
7000,0.892878,768.301926
7000,0.898256,763.702126
7000,0.904004,758.846001
7000,0.898691,763.332094
8000,1.303798,785.397832
8000,1.308765,782.417014
8000,1.297319,789.320065
8000,1.308677,782.469840
8000,1.307168,783.372870
9000,1.788385,815.260494
9000,1.791684,813.759674
9000,1.805124,807.700675
9000,1.785637,816.515395
9000,1.789372,814.811159
10000,2.417565,827.278787
10000,2.401050,832.968862
10000,2.411648,829.308439
10000,2.419386,826.656016
10000,2.467361,810.582548
11000,3.823206,696.274346
11000,3.828388,695.331837
11000,3.791632,702.072316
11000,3.822734,696.360298
11000,3.821456,696.593176
12000,3.390347,1019.364818
12000,3.412395,1012.778333
12000,3.933916,878.513926
12000,3.962493,872.178275
12000,4.019914,859.719784
13000,4.827986,910.110430
13000,4.827513,910.199585
13000,4.821194,911.392565
13000,4.831918,909.369754
13000,4.814032,912.748480
14000,6.108100,898.478997
14000,6.128039,895.555679
14000,6.097446,900.048955
14000,6.118416,896.964131
14000,6.133430,894.768438
15000,7.548802,894.181670
15000,7.610791,886.898629
15000,7.548629,894.202057
15000,7.519785,897.632015
15000,7.554016,893.564373
16000,9.216200,888.869635
16000,9.031969,907.000461
16000,9.111981,899.036155
16000,9.036144,906.581357
16000,8.965436,913.731324
17000,9.651484,1018.081809
17000,9.681111,1014.966201
17000,9.686454,1014.406327
17000,9.637029,1019.608831
17000,9.820545,1000.555438
18000,11.325114,1029.923400
18000,11.362158,1026.565513
18000,11.369017,1025.946228
18000,11.473900,1016.567993
18000,11.378114,1025.125963
19000,12.616756,1087.284265
19000,12.778798,1073.496915
19000,12.503069,1097.170638
19000,13.023491,1053.327411
19000,12.916729,1062.033615
20000,17.003756,940.968577
20000,17.108163,935.226091
20000,17.190824,930.729101
20000,17.017756,940.194467
20000,17.131638,933.944574
