n_threads,Time,GFLOPS
2000,0.021420,746.975531
2000,0.017255,927.273854
2000,0.017741,901.872699
2000,0.017854,896.165504
2000,0.016918,945.758560
3000,0.032606,1656.157936
3000,0.032803,1646.178000
3000,0.032072,1683.713591
3000,0.032590,1656.939460
3000,0.032225,1675.741011
4000,0.055190,2319.253382
4000,0.054766,2337.229879
4000,0.056046,2283.839457
4000,0.055439,2308.834709
4000,0.057060,2243.261562
5000,0.098291,2543.477000
5000,0.097799,2556.258024
5000,0.097039,2576.285435
5000,0.098318,2542.768915
5000,0.100919,2477.233678
6000,0.198291,2178.619440
6000,0.200069,2159.250589
6000,0.201634,2142.498986
6000,0.204864,2108.712979
6000,0.202250,2135.965602
7000,0.441312,1554.456502
7000,0.436641,1571.085752
7000,0.439291,1561.605683
7000,0.444388,1543.695299
7000,0.432700,1585.395400
8000,0.715217,1431.732962
8000,0.708694,1444.910857
8000,0.714279,1433.614188
8000,0.715121,1431.925312
8000,0.718480,1425.232003
9000,0.993878,1466.981332
9000,1.016257,1434.676250
9000,0.995673,1464.335486
9000,0.996708,1462.815398
9000,1.005917,1449.423193
10000,1.338864,1493.803145
10000,1.343911,1488.194268
10000,1.321936,1512.932302
10000,1.345350,1486.601993
10000,1.339964,1492.577276
11000,1.640246,1622.927449
11000,1.652944,1610.459585
11000,1.657108,1606.413351
11000,1.659365,1604.228247
11000,1.623830,1639.334333
12000,2.092403,1651.689852
12000,2.111750,1636.557223
12000,2.124210,1626.957556
12000,2.093976,1650.448473
12000,2.081148,1660.621908
13000,2.609862,1683.614175
13000,2.620603,1676.713339
13000,2.610376,1683.282620
13000,2.598504,1690.973011
13000,2.618124,1678.300976
14000,3.266646,1680.010540
14000,3.257784,1684.580667
14000,3.249553,1688.847487
14000,3.242378,1692.585078
14000,3.229739,1699.208644
15000,3.881467,1739.033403
15000,3.903157,1729.369507
15000,3.913789,1724.671525
15000,3.882602,1738.524978
15000,3.884540,1737.657555
16000,4.637803,1766.353724
16000,4.625610,1771.009753
16000,4.610513,1776.808772
16000,4.626974,1770.487736
16000,4.630742,1769.046883
17000,5.769326,1703.145354
17000,5.725499,1716.182157
17000,5.747134,1709.721700
17000,5.736035,1713.029911
17000,5.724360,1716.523666
18000,6.675874,1747.187061
18000,6.705193,1739.547302
18000,6.760621,1725.285410
18000,6.724035,1734.672818
18000,6.729794,1733.188324
19000,7.536693,1820.161649
19000,7.536201,1820.280603
19000,7.407653,1851.868669
19000,7.514791,1825.466679
19000,7.463834,1837.929355
20000,8.034329,1991.454444
20000,8.015652,1996.094602
20000,8.024536,1993.884805
20000,8.014433,1996.398299
20000,8.037333,1990.710148
