n_threads,Time,GFLOPS
2000,0.323232,49.500087
2000,0.035678,448.453846
2000,0.034721,460.820932
2000,0.036311,440.636828
2000,0.035669,448.568207
3000,0.072228,747.634433
3000,0.072558,744.236580
3000,0.071773,752.368393
3000,0.072250,747.400344
3000,0.071321,757.140667
4000,0.195538,654.605375
4000,0.191715,667.658818
4000,0.191307,669.083354
4000,0.203181,629.978686
4000,0.196671,650.831671
5000,0.427449,584.865418
5000,0.437858,570.960726
5000,0.420173,594.992312
5000,0.430434,580.808782
5000,0.432740,577.714416
6000,0.767287,563.022927
6000,0.769654,561.291292
6000,0.780190,553.711377
6000,0.763525,565.796433
6000,0.766326,563.728434
7000,1.231410,557.085028
7000,1.238700,553.806208
7000,1.233966,555.930967
7000,1.236819,554.648808
7000,1.231445,557.069247
8000,1.801010,568.569862
8000,1.799913,568.916479
8000,1.795113,570.437563
8000,1.795730,570.241526
8000,1.792060,571.409438
9000,2.522159,578.076194
9000,2.513839,579.989365
9000,2.522742,577.942485
9000,2.509301,581.038212
9000,2.516870,579.290864
10000,2.844527,703.104478
10000,3.475649,575.432143
10000,2.836328,705.136968
10000,3.462718,577.580988
10000,3.474705,575.588396
11000,4.536157,586.840359
11000,4.532448,587.320553
11000,4.520333,588.894644
11000,4.530802,587.533983
11000,4.539418,586.418822
12000,5.531625,624.771192
12000,5.518430,626.265054
12000,5.514852,626.671363
12000,4.944035,699.024190
12000,5.523725,625.664691
13000,6.842745,642.139984
13000,6.836958,642.683527
13000,6.836828,642.695691
13000,6.829650,643.371195
13000,6.855126,640.980181
14000,9.101710,602.963604
14000,9.077935,604.542745
14000,9.082907,604.211847
14000,8.912345,615.775055
14000,9.116526,601.983682
15000,11.000762,613.593868
15000,10.834795,622.992861
15000,11.017962,612.635992
15000,10.783793,625.939306
15000,11.021191,612.456473
16000,12.963521,631.927094
16000,12.971889,631.519453
16000,13.037386,628.346798
16000,12.967947,631.711402
16000,12.989008,630.687137
17000,14.431444,680.874329
17000,14.429181,680.981145
17000,13.969495,703.389786
17000,13.022056,754.565968
17000,14.395211,682.588107
18000,16.157240,721.905468
18000,14.302912,815.498257
18000,15.517523,751.666369
18000,14.554608,801.395674
18000,15.088176,773.055680
19000,18.566455,738.859428
19000,18.570196,738.710576
19000,18.559862,739.121857
19000,18.558902,739.160106
19000,18.418683,744.787237
20000,26.068623,613.764677
20000,26.105099,612.907079
20000,20.454742,782.214693
20000,26.033817,614.585264
20000,20.472941,781.519369
