n_threads,Time,GFLOPS
2000,0.022910,698.372608
2000,0.020691,773.300150
2000,0.021853,732.159727
2000,0.021803,733.836966
2000,0.022184,721.246613
3000,0.038310,1409.543744
3000,0.037464,1441.396040
3000,0.039964,1351.225798
3000,0.038427,1405.249601
3000,0.039404,1370.421612
4000,0.066771,1917.013561
4000,0.065715,1947.800351
4000,0.065360,1958.373367
4000,0.065254,1961.575885
4000,0.066074,1937.210674
5000,0.106183,2354.415162
5000,0.121455,2058.369192
5000,0.113386,2204.863032
5000,0.115829,2158.354629
5000,0.110881,2254.671454
6000,0.230387,1875.103822
6000,0.231806,1863.625133
6000,0.223738,1930.829957
6000,0.241948,1785.508375
6000,0.216855,1992.118359
7000,0.456072,1504.147076
7000,0.463983,1478.501789
7000,0.468745,1463.483336
7000,0.480982,1426.249010
7000,0.468747,1463.476920
8000,0.805328,1271.532253
8000,0.778736,1314.950833
8000,0.786118,1302.602634
8000,0.797198,1284.498215
8000,0.785997,1302.804535
9000,1.112725,1310.296819
9000,1.114447,1308.272065
9000,1.113091,1309.866329
9000,1.119177,1302.743254
9000,1.116269,1306.136792
10000,1.547794,1292.161919
10000,1.563099,1279.509516
10000,1.567525,1275.896436
10000,1.564745,1278.163842
10000,1.545140,1294.381250
11000,2.041103,1304.197084
11000,2.038877,1305.620469
11000,2.034562,1308.389788
11000,2.044298,1302.158338
11000,2.043168,1302.878513
12000,2.619333,1319.419629
12000,2.618872,1319.652003
12000,2.608423,1324.938615
12000,2.623336,1317.406515
12000,2.615922,1321.140174
13000,3.312980,1326.298187
13000,3.317229,1324.599537
13000,3.321022,1323.086553
13000,3.317210,1324.607059
13000,3.302406,1330.544950
14000,3.377251,1624.990181
14000,4.031537,1361.267551
14000,3.394963,1616.512272
14000,3.221578,1703.512944
14000,3.745764,1465.121609
15000,3.861122,1748.196663
15000,3.849047,1753.680790
15000,3.861495,1748.027475
15000,4.925135,1370.520709
15000,3.836340,1759.489601
16000,5.842034,1402.251306
16000,5.837924,1403.238511
16000,5.883432,1392.384665
16000,5.875111,1394.356573
16000,5.886349,1391.694578
17000,7.227473,1359.534571
17000,7.193229,1366.006908
17000,7.211987,1362.453942
17000,7.199636,1364.791291
17000,7.203155,1364.124522
18000,8.395550,1389.307444
18000,8.395515,1389.313212
18000,8.380680,1391.772435
18000,8.355635,1395.944217
18000,8.374770,1392.754643
19000,10.090279,1359.526306
19000,8.106200,1692.284837
19000,9.465171,1449.313485
19000,9.627835,1424.827097
19000,9.574662,1432.739907
20000,10.413804,1536.422296
20000,10.784130,1483.661693
20000,10.766817,1486.047425
20000,10.826953,1477.793460
20000,10.452266,1530.768586
