n_threads,Time,GFLOPS
2000,0.039587,404.176712
2000,0.034349,465.807150
2000,0.036846,434.240504
2000,0.036132,442.821197
2000,0.034483,464.003197
3000,0.074335,726.437232
3000,0.075621,714.089217
3000,0.073290,736.798666
3000,0.073765,732.052463
3000,0.074258,727.193965
4000,0.181948,703.496891
4000,0.167315,765.023691
4000,0.172300,742.890941
4000,0.174041,735.458616
4000,0.186285,687.117406
5000,0.371089,673.693375
5000,0.384390,650.381352
5000,0.369994,675.686165
5000,0.372559,671.034343
5000,0.373358,669.598879
6000,0.631525,684.058400
6000,0.641978,672.920626
6000,0.637925,677.195739
6000,0.639554,675.470481
6000,0.625880,690.228626
7000,0.929456,738.066196
7000,0.983645,697.406426
7000,0.950478,721.742319
7000,0.968121,708.589030
7000,0.959403,715.027719
8000,1.384950,739.376668
8000,1.373988,745.275828
8000,1.352918,756.882735
8000,1.387338,738.104416
8000,1.381294,741.333773
9000,1.818795,801.629461
9000,1.891675,770.745368
9000,1.876846,776.835190
9000,1.897035,768.567835
9000,1.829189,797.074614
10000,2.555868,782.512874
10000,2.558021,781.854561
10000,2.440258,819.585407
10000,2.547200,785.176003
10000,2.469632,809.837232
11000,3.173081,838.932244
11000,3.267402,814.714493
11000,3.268715,814.387301
11000,3.296035,807.637038
11000,3.176942,837.912747
12000,3.342122,1034.073615
12000,3.886836,889.155175
12000,4.030466,857.469048
12000,3.448919,1002.053140
12000,4.021146,859.456506
13000,4.918644,893.335574
13000,4.731331,928.702640
13000,4.901070,896.538925
13000,4.774490,920.307674
13000,4.878179,900.745895
14000,6.455552,850.120915
14000,6.177046,888.450627
14000,6.214199,883.138703
14000,6.546168,838.353047
14000,6.149691,892.402547
15000,8.327012,810.614926
15000,7.733144,872.866186
15000,7.753568,870.566949
15000,8.350489,808.335909
15000,7.740531,872.033163
16000,9.721903,842.633396
16000,9.235219,887.039048
16000,10.359160,790.797707
16000,10.333046,792.796212
16000,10.264545,798.087014
17000,11.814149,831.714580
17000,11.079283,886.880477
17000,11.764979,835.190602
17000,11.479424,855.966284
17000,11.755501,835.864014
18000,11.272284,1034.750399
18000,11.183008,1043.010994
18000,11.116936,1049.209925
18000,11.067125,1053.932250
18000,11.286327,1033.462856
19000,11.534352,1189.316874
19000,12.516560,1095.987992
19000,11.621661,1180.382078
19000,12.598890,1088.826098
19000,12.801258,1071.613405
20000,12.871932,1243.014622
20000,14.468394,1105.858752
20000,18.986723,842.694125
20000,18.876041,847.635387
20000,18.859673,848.371024
