n_threads,Time,GFLOPS
2000,0.023341,685.491726
2000,0.021822,733.210298
2000,0.021653,738.919168
2000,0.021923,729.826623
2000,0.022433,713.246667
3000,0.045031,1199.161493
3000,0.044254,1220.216355
3000,0.045247,1193.445808
3000,0.044588,1211.079928
3000,0.045306,1191.906925
4000,0.076890,1664.726307
4000,0.076883,1664.877747
4000,0.075159,1703.050840
4000,0.076119,1681.573796
4000,0.076752,1667.705769
5000,0.132761,1883.082482
5000,0.128157,1950.739520
5000,0.128837,1940.429046
5000,0.129975,1923.443502
5000,0.126792,1971.729578
6000,0.252889,1708.257734
6000,0.243045,1777.447685
6000,0.229050,1886.054761
6000,0.243070,1777.262979
6000,0.238453,1811.677401
7000,0.449968,1524.553962
7000,0.437477,1568.080712
7000,0.435758,1574.268102
7000,0.454002,1511.007575
7000,0.430591,1593.157416
8000,0.625741,1636.459277
8000,0.610418,1677.538778
8000,0.630857,1623.188735
8000,0.624239,1640.397603
8000,0.623077,1643.455530
9000,0.931934,1564.488368
9000,0.908453,1604.925859
9000,0.866126,1683.357800
9000,0.870134,1675.604505
9000,0.877596,1661.356632
10000,1.110823,1800.466492
10000,1.083512,1845.848873
10000,1.106283,1807.854971
10000,1.105541,1809.069119
10000,1.149406,1740.029556
11000,1.512620,1759.859814
11000,1.478787,1800.124539
11000,1.474132,1805.808161
11000,1.472326,1808.023960
11000,1.476191,1803.289901
12000,1.856573,1861.494405
12000,1.911128,1808.355913
12000,1.832478,1885.970877
12000,1.829742,1888.790441
12000,1.812478,1906.782262
13000,2.252600,1950.635121
13000,2.235806,1965.287120
13000,2.239445,1962.093295
13000,2.242262,1959.628481
13000,2.254197,1949.252957
14000,2.486538,2207.084491
14000,2.739027,2003.631184
14000,2.761816,1987.098371
14000,2.440583,2248.642808
14000,2.777025,1976.215201
15000,3.365643,2005.560092
15000,3.305277,2042.189194
15000,3.325379,2029.844090
15000,3.339923,2021.004853
15000,3.270131,2064.137196
16000,3.865645,2119.180560
16000,3.971846,2062.516820
16000,3.916262,2091.790483
16000,3.969211,2063.886129
16000,3.889574,2106.143269
17000,4.795235,2049.117407
17000,4.692508,2093.976288
17000,4.851039,2025.545443
17000,4.785926,2053.103350
17000,4.824009,2036.894878
18000,5.480949,2128.098457
18000,5.570405,2093.923047
18000,5.466800,2133.606655
18000,5.415175,2153.947187
18000,5.574644,2092.330781
19000,5.474473,2505.812093
19000,5.918193,2317.937148
19000,6.016331,2280.127389
19000,5.973841,2296.344941
19000,5.833035,2351.777243
20000,7.338719,2180.217146
20000,7.134791,2242.532558
20000,7.157518,2235.411789
20000,7.135960,2242.164883
20000,7.182435,2227.656628
