n_threads,Time,GFLOPS
1,41.639985,48.030757
1,41.780152,47.869619
1,41.733380,47.923269
1,41.637599,48.033510
1,41.856040,47.782829
2,21.608365,92.556749
2,21.679290,92.253942
2,21.621810,92.499192
2,21.722384,92.070924
2,21.418136,93.378806
4,10.660106,187.615395
4,10.640977,187.952671
4,10.691713,187.060758
4,10.669798,187.444977
4,10.692683,187.043798
6,7.197971,277.856068
6,7.227940,276.703996
6,7.212677,277.289549
6,7.217276,277.112878
6,7.217730,277.095438
8,5.443121,367.436233
8,5.442305,367.491330
8,5.420442,368.973634
8,5.418754,369.088533
8,5.437214,367.835444
10,4.360575,458.655059
10,4.364607,458.231428
10,4.348593,459.918922
10,4.356445,459.089910
10,4.349392,459.834423
12,3.689460,542.084692
12,3.714348,538.452473
12,3.679522,543.548876
12,3.688142,542.278478
12,3.683667,542.937225
14,3.329120,600.759276
14,3.317241,602.910706
14,3.332736,600.107519
14,3.324417,601.609296
14,3.312011,603.862646
16,2.870839,696.660531
16,2.893386,691.231573
16,2.870972,696.628267
16,2.904465,688.595071
16,2.873330,696.056545
18,2.758659,724.989900
18,2.764085,723.566764
18,2.760814,724.423938
18,2.766202,723.012962
18,2.761666,724.200411
20,2.410638,829.655746
20,2.416140,827.766696
20,2.414969,828.167917
20,2.414527,828.319499
20,2.416484,827.648653
22,2.348078,851.760326
22,2.350139,851.013537
22,2.350266,850.967535
22,2.345980,852.522217
22,2.348386,851.648720
24,2.194948,911.183216
24,2.193315,911.861830
24,2.191896,912.452007
24,2.192831,912.063006
24,2.196869,910.386659
26,2.254345,887.175626
26,2.245430,890.698018
26,2.246553,890.252672
26,2.248580,889.450209
26,2.246161,890.407969
28,2.170785,921.325803
28,2.162219,924.975556
28,2.162952,924.662413
28,2.161061,925.471408
28,2.141712,933.832252
30,2.173346,920.239896
30,2.160547,925.691348
30,2.177730,918.387498
30,2.168417,922.331631
30,2.246203,890.391607
32,2.181869,916.645519
32,2.185329,915.193995
32,2.193034,911.978493
32,2.185746,915.019204
32,2.191897,912.451766
34,2.245163,890.803807
34,2.242680,891.790155
34,2.225529,898.662640
34,2.237670,893.786800
34,2.226337,898.336500
36,2.220925,900.525758
36,2.228447,897.485943
36,2.232156,895.994657
36,2.225107,898.833184
36,2.228573,897.435255
38,2.228086,897.631592
38,2.248158,889.617063
38,2.230488,896.664951
38,2.238201,893.574615
38,2.229561,897.037750
40,2.242809,891.738989
40,2.234623,895.005705
40,2.228283,897.552036
40,2.239771,892.948235
40,2.235570,894.626422
42,2.283836,875.719689
42,2.290096,873.325746
42,2.279134,877.526350
42,2.284825,875.340528
42,2.283825,875.723677
44,2.241151,892.398553
44,2.225447,898.695744
44,2.239938,892.881835
44,2.166906,922.974908
44,2.244582,891.034382
46,2.217637,901.860743
46,2.176373,918.960219
46,2.172235,920.710525
46,2.230899,896.499453
46,2.228335,897.530938
48,2.227315,897.942096
48,2.211598,904.323344
48,2.226457,898.288054
48,2.209197,905.306232
48,2.208808,905.465864
50,2.253110,887.661840
50,2.245769,890.563416
50,2.259603,885.111183
50,2.234788,894.939675
50,2.252572,887.873903
52,2.317201,863.110165
52,2.336720,855.900490
52,2.316606,863.331965
52,2.320123,862.023136
52,2.340630,854.470722
54,2.321605,861.472843
54,2.437155,820.629082
54,2.388908,837.202518
54,2.329613,858.511697
54,2.357691,848.287679
56,2.460991,812.680857
56,2.448666,816.771097
56,2.456497,814.167553
56,2.419393,826.653757
56,2.456918,814.028071
58,2.413744,828.588117
58,2.427871,823.767087
58,2.354435,849.460707
58,2.426434,824.254939
58,2.365472,845.497303
60,2.480796,806.192987
60,2.460262,812.921538
60,2.455170,814.607512
60,2.447527,817.151283
60,2.449973,816.335574
62,2.409195,830.152662
62,2.418926,826.813271
62,2.399033,833.669367
62,2.414790,828.229236
62,2.410890,829.569287
64,2.519272,793.880126
64,2.448191,816.929809
64,2.459948,813.025448
64,2.443957,818.344877
64,2.471978,809.068560
66,2.529695,790.609207
66,2.580946,774.909598
66,2.628809,760.800689
66,2.553214,783.326281
66,2.543255,786.393722
68,2.650854,754.473946
68,2.531804,789.950710
68,2.550835,784.057111
68,2.680224,746.206283
68,2.613622,765.221525
70,2.496141,801.236784
70,2.511632,796.295006
70,2.511870,796.219396
70,2.506336,797.977483
70,2.199250,909.400985
72,2.587340,772.994632
72,2.503745,798.803452
72,2.536904,788.362555
72,2.519557,793.790414
72,2.521229,793.263874
74,2.491379,802.768316
74,2.521356,793.224085
74,2.494361,801.808439
74,2.527196,791.390791
74,2.534889,788.989201
76,2.527121,791.414435
76,2.485967,804.515809
76,2.490322,803.109013
