n_threads,Time,GFLOPS
1,14.981157,133.501034
1,14.907760,134.158316
1,14.891942,134.300817
1,14.901348,134.216047
1,14.901368,134.215868
2,7.742820,258.303812
2,7.861287,254.411263
2,7.831993,255.362852
2,7.762067,257.663333
2,7.765502,257.549355
3,5.057398,395.460246
3,5.135362,389.456452
3,5.058461,395.377139
3,5.131368,389.759631
3,5.061257,395.158725
4,3.782845,528.702667
4,3.784359,528.491036
4,3.783423,528.621850
4,3.784208,528.512163
4,3.783321,528.636036
5,2.995876,667.584358
5,2.994645,667.858835
5,2.995463,667.676514
5,2.994077,667.985521
5,2.994357,667.923100
6,2.493656,802.035391
6,2.493645,802.038911
6,2.493641,802.040214
6,2.494688,801.703564
6,2.496513,801.117283
7,2.139542,934.779665
7,2.138526,935.223637
7,2.138894,935.062651
7,2.139311,934.880622
7,2.138579,935.200396
8,1.868342,1070.467573
8,1.869451,1069.833044
8,1.868244,1070.523964
8,1.869597,1069.749362
8,1.869331,1069.901496
9,1.650197,1211.976504
9,1.652333,1210.410009
9,1.653219,1209.761231
9,1.652041,1210.623891
9,1.652167,1210.531146
10,1.490350,1341.966293
10,1.490716,1341.637522
10,1.490242,1342.064279
10,1.490045,1342.241659
10,1.489910,1342.362580
11,1.355523,1475.445528
11,1.355438,1475.537830
11,1.354506,1476.552892
11,1.354680,1476.363195
11,1.355297,1475.691445
12,1.243633,1608.191048
12,1.244113,1607.570513
12,1.244477,1607.100373
12,1.243615,1608.215389
12,1.244285,1607.349253
13,1.166332,1714.777683
13,1.166074,1715.157413
13,1.166296,1714.831090
13,1.162932,1719.791162
13,1.163812,1718.490732
14,1.082783,1847.092805
14,1.082447,1847.664956
14,1.082862,1846.957850
14,1.083670,1845.579617
14,1.082369,1847.799433
15,1.006015,1988.041989
15,1.007006,1986.084966
15,1.005205,1989.643403
15,1.005253,1989.549139
15,1.006993,1986.111018
16,0.948017,2109.666743
16,0.946369,2113.340371
16,0.946787,2112.406965
16,0.947131,2111.640156
16,0.947808,2110.132491
17,0.894960,2234.736353
17,0.894713,2235.354718
17,0.893948,2237.266968
17,0.895489,2233.417523
17,0.893644,2238.027726
18,0.845721,2364.844938
18,0.846193,2363.527888
18,0.845949,2364.207431
18,0.845140,2366.472370
18,0.846987,2361.311718
19,0.804693,2485.418772
19,0.805708,2482.288826
19,0.805373,2483.321263
19,0.806026,2481.309964
19,0.806064,2481.193785
20,0.768136,2603.706428
20,0.765735,2611.871241
20,0.767047,2607.400855
20,0.768098,2603.835925
20,0.767915,2604.455887
21,0.732869,2729.002457
21,0.731875,2732.706337
21,0.731405,2734.463410
21,0.730906,2736.331110
21,0.732184,2731.554257
22,0.702893,2845.381279
22,0.702035,2848.859059
22,0.703155,2844.322876
22,0.701959,2849.171153
22,0.701306,2851.820964
23,0.674583,2964.792420
23,0.674049,2967.142220
23,0.673975,2967.468719
23,0.674240,2966.303830
23,0.673638,2968.952307
24,0.649214,3080.649620
24,0.648635,3083.400257
24,0.649478,3079.396486
24,0.647201,3090.228159
24,0.648732,3082.939044
