n_threads,Time,GFLOPS
1,28.707276,69.668748
1,28.712497,69.656080
1,28.709722,69.662813
1,28.713960,69.652533
1,28.714852,69.650369
2,14.802734,135.110181
2,14.814542,135.002487
2,14.813665,135.010482
2,14.843917,134.735324
2,14.886895,134.346350
3,9.803783,204.002877
3,9.718241,205.798568
3,9.693439,206.325128
3,9.905025,201.917706
3,9.708392,206.007335
4,7.421738,269.478645
4,7.319749,273.233397
4,7.316434,273.357219
4,7.369573,271.386154
4,7.319149,273.255821
5,5.858734,341.370691
5,5.866821,340.900115
5,5.852848,341.713983
5,5.842854,342.298458
5,5.836064,342.696748
6,4.880176,409.821303
6,4.889010,409.080765
6,4.878537,409.958984
6,4.881465,409.713084
6,4.880564,409.788737
7,4.193175,476.965600
7,4.184243,477.983675
7,4.185079,477.888196
7,4.203841,475.755435
7,4.190190,477.305277
8,3.668006,545.255310
8,3.662227,546.115772
8,3.664203,545.821307
8,3.663534,545.920887
8,3.661539,546.218462
9,3.275400,610.612386
9,3.252634,614.886197
9,3.280433,609.675585
9,3.271574,611.326615
9,3.258869,613.709896
10,2.975587,672.136193
10,2.977696,671.660326
10,2.945158,679.080621
10,2.942953,679.589618
10,2.942405,679.715991
11,2.655916,753.035868
11,2.667573,749.745296
11,2.658838,752.208320
11,2.657466,752.596536
11,2.655884,753.045037
12,2.469987,809.721006
12,2.474775,808.154406
12,2.470620,809.513527
12,2.470173,809.660047
12,2.469209,809.976031
13,2.342545,853.772437
13,2.347167,852.091143
13,2.346844,852.208181
13,2.339066,855.042003
13,2.346217,852.436136
14,2.135646,936.484762
14,2.151109,929.752793
14,2.144500,932.618314
14,2.139605,934.752033
14,2.132750,937.756215
15,2.010319,994.867186
15,2.011651,994.208229
15,2.005264,997.375015
15,2.005507,997.253954
15,2.001296,999.352450
16,1.888448,1059.070562
16,1.886590,1060.113915
16,1.888639,1058.963684
16,1.885540,1060.704140
16,1.879423,1064.156343
17,1.806938,1106.844834
17,1.803676,1108.846731
17,1.810449,1104.698564
17,1.873701,1067.406219
17,1.834274,1090.349652
18,1.684697,1187.157232
18,1.699023,1177.146815
18,1.689114,1184.052866
18,1.692969,1181.356691
18,1.726502,1158.411934
19,1.676983,1192.617904
19,1.602341,1248.173966
19,1.593444,1255.143253
19,1.610454,1241.885973
19,1.768723,1130.759174
20,1.543524,1295.736312
20,1.549936,1290.375713
20,1.546495,1293.247049
20,1.545291,1294.254691
20,1.548791,1291.329811
21,1.489274,1342.936356
21,1.486012,1345.883975
21,1.480740,1350.676444
21,1.502032,1331.529313
21,1.488575,1343.567267
22,1.435786,1392.964799
22,1.435659,1393.088812
22,1.449127,1380.141504
22,1.433592,1395.097304
22,1.436640,1392.137282
23,1.415740,1412.688451
23,1.411295,1417.138107
23,1.446877,1382.287544
23,1.406997,1421.467548
23,1.405611,1422.868529
24,1.395544,1433.133127
24,1.417637,1410.798169
24,1.395882,1432.786373
24,1.396452,1432.200714
24,1.402084,1426.448020
