n_threads,Time,GFLOPS
1,49.023417,40.796830
1,48.996392,40.819332
1,49.007544,40.810044
1,49.112443,40.722878
1,49.026271,40.794455
1,48.992973,40.822181
1,48.987173,40.827014
1,49.291571,40.574888
1,48.996480,40.819259
1,49.282212,40.582594
2,25.577950,78.192351
2,25.572060,78.210358
2,25.798780,77.523044
2,25.692842,77.842694
2,25.373240,78.823202
3,16.977817,117.800776
3,16.996279,117.672817
3,17.044551,117.339553
3,16.733027,119.524100
3,16.888642,118.422784
4,13.231602,151.153276
4,13.267822,150.740640
4,13.026178,153.536974
4,12.953759,154.395343
4,12.885079,155.218291
5,10.836044,184.569211
5,10.831885,184.640068
5,10.809319,185.025528
5,10.772425,185.659210
5,10.919959,183.150868
6,8.490686,235.552228
6,8.736793,228.916941
6,8.667875,230.737054
6,8.664394,230.829752
6,8.630188,231.744656
7,7.691852,260.015407
7,7.799365,256.431143
7,7.687377,260.166769
7,7.759629,257.744278
7,7.790365,256.727395
8,6.881500,290.634290
8,6.901078,289.809812
8,6.848017,292.055334
8,6.873689,290.964586
8,6.854061,291.797827
9,6.111857,327.232790
9,6.083339,328.766823
9,6.092680,328.262780
9,6.118263,326.890141
9,6.121775,326.702606
10,5.323231,375.711701
10,5.328882,375.313226
10,5.210584,383.834156
10,5.238549,381.785122
10,5.294701,377.736144
11,4.835022,413.648583
11,4.937500,405.063326
11,4.933232,405.413715
11,4.837175,413.464463
11,4.895638,408.526905
12,4.681987,427.169090
12,4.705433,425.040582
12,4.630145,431.951959
12,4.611100,433.736005
12,4.628995,432.059259
13,4.750585,421.000780
13,4.622471,432.669003
13,4.694021,426.073919
13,4.624580,432.471749
13,4.640088,431.026291
14,3.880444,515.404963
14,3.878737,515.631758
14,3.867882,517.078812
14,3.899506,512.885537
14,3.866657,517.242636
15,3.761330,531.726849
15,3.777788,529.410372
15,3.785326,528.356080
15,3.863105,517.718204
15,3.824481,522.946773
16,3.508637,570.021994
16,3.490040,573.059393
16,3.512319,569.424336
16,3.505496,570.532690
16,3.499864,571.450831
17,3.616861,552.965604
17,3.568548,560.452022
17,3.552148,563.039546
17,3.566304,560.804707
17,3.590104,557.086999
18,3.165256,631.860480
18,3.184504,628.041217
18,3.152246,634.468187
18,3.164037,632.103824
18,3.132249,638.518759
19,3.197617,625.465747
19,3.189613,627.035261
19,3.193072,626.356116
19,3.187014,627.546686
19,3.208430,623.357857
20,2.789946,716.859698
20,2.809719,711.814951
20,2.818266,709.656144
20,2.799452,714.425556
20,2.786661,717.704872
21,2.691113,743.186890
21,2.696644,741.662518
21,2.732218,732.005880
21,2.700865,740.503399
21,2.701321,740.378424
22,2.501317,799.578925
22,2.520364,793.536048
22,2.504608,798.528094
22,2.522484,792.869280
22,2.506484,797.930396
23,2.515192,795.167980
23,2.508712,797.221911
23,2.526343,791.658020
23,2.505479,798.250602
23,2.504250,798.642275
24,2.414350,828.380466
24,2.448392,816.862823
24,2.379286,840.588365
24,2.400554,833.140942
24,2.389375,837.039004
