n_threads,Time,GFLOPS
1,15.249444,131.152324
1,14.877989,134.426773
1,14.872078,134.480197
1,14.870630,134.493291
1,14.871267,134.487529
1,14.867957,134.517475
1,14.877900,134.427575
1,14.866961,134.526486
1,14.875539,134.448906
1,14.886222,134.352423
2,7.742446,258.316289
2,7.849379,254.797240
2,7.759996,257.732105
2,7.847959,254.843338
2,7.762672,257.643251
3,5.062346,395.073727
3,5.059800,395.272525
3,5.062861,395.033549
3,5.137036,389.329542
3,5.064774,394.884349
4,3.784681,528.446163
4,3.784800,528.429540
4,3.785031,528.397203
4,3.783641,528.591323
4,3.784469,528.475713
5,2.994995,667.780788
5,2.994945,667.791942
5,2.995275,667.718214
5,2.995146,667.747037
5,2.995272,667.718940
6,2.495051,801.586730
6,2.495254,801.521692
6,2.495672,801.387482
6,2.494444,801.781826
6,2.494177,801.867778
7,2.140189,934.497066
7,2.139039,934.999461
7,2.139697,934.711798
7,2.139529,934.785144
7,2.136638,936.050131
8,1.870675,1069.132765
8,1.869202,1069.975075
8,1.869757,1069.657534
8,1.870783,1069.071273
8,1.868856,1070.173388
9,1.653008,1209.915135
9,1.652585,1210.225093
9,1.653661,1209.437731
9,1.653229,1209.753974
9,1.653172,1209.795433
10,1.490436,1341.889188
10,1.490526,1341.808401
10,1.490349,1341.967922
10,1.490854,1341.512673
10,1.491026,1341.358101
11,1.354582,1476.470443
11,1.355247,1475.745765
11,1.354884,1476.141020
11,1.355412,1475.565700
11,1.354961,1476.057199
12,1.244195,1607.464875
12,1.243852,1607.908961
12,1.244252,1607.391084
12,1.244566,1606.985478
12,1.244246,1607.399349
13,1.162087,1721.041493
13,1.165779,1715.590447
13,1.165778,1715.592232
13,1.165299,1716.298364
13,1.165662,1715.763784
14,1.083244,1846.306723
14,1.082800,1847.063668
14,1.082392,1847.759299
14,1.082009,1848.413273
14,1.082591,1847.419825
15,1.004673,1990.698287
15,1.006370,1987.340711
15,1.006187,1987.702994
15,1.005579,1988.904702
15,1.006379,1987.323091
16,0.948632,2108.299564
16,0.947625,2110.539845
16,0.948581,2108.411498
16,0.948413,2108.785338
16,0.947808,2110.132916
17,0.895494,2233.403309
17,0.895882,2232.437325
17,0.895282,2233.934176
17,0.894911,2234.859671
17,0.896105,2231.881097
18,0.847351,2360.298201
18,0.847361,2360.269293
18,0.845825,2364.555671
18,0.846279,2363.286843
18,0.846374,2363.022149
19,0.806505,2479.835294
19,0.804127,2487.168848
19,0.806866,2478.727738
19,0.805082,2484.219045
19,0.805919,2481.639540
20,0.768352,2602.973190
20,0.767176,2606.963759
20,0.767636,2605.401783
20,0.768820,2601.388759
20,0.766723,2608.503269
21,0.734628,2722.467200
21,0.732220,2731.420269
21,0.733907,2725.141084
21,0.730987,2736.026777
21,0.733898,2725.174109
22,0.702445,2847.197900
22,0.703626,2842.420390
22,0.701856,2849.586332
22,0.703630,2842.403436
22,0.703086,2844.603156
23,0.675865,2959.169496
23,0.675697,2959.905665
23,0.674579,2964.810154
23,0.674996,2962.979951
23,0.676242,2957.519038
24,0.647174,3090.359972
24,0.649500,3079.292365
24,0.648746,3082.872190
24,0.648908,3082.101923
24,0.649200,3080.716667
