n_threads,Time,GFLOPS
2000,0.038693,413.510943
2000,0.038562,414.911042
2000,0.038503,415.547739
2000,0.038517,415.405122
2000,0.038700,413.438519
3000,0.117342,460.191489
3000,0.116606,463.097692
3000,0.117036,461.397546
3000,0.116610,463.080524
3000,0.117010,461.499376
4000,0.271542,471.381263
4000,0.271369,471.682744
4000,0.272263,470.134492
4000,0.271020,472.289293
4000,0.270906,472.488996
5000,0.526869,474.501484
5000,0.528739,472.823488
5000,0.532147,469.795192
5000,0.527926,473.550978
5000,0.527804,473.660315
6000,0.935132,461.966758
6000,0.936677,461.204631
6000,0.927792,465.621596
6000,0.933610,462.719768
6000,0.933071,462.987366
7000,1.532092,447.753898
7000,1.522984,450.431637
7000,1.535769,446.681667
7000,1.549290,442.783461
7000,1.530246,448.293958
8000,2.350902,435.577548
8000,2.344235,436.816268
8000,2.346821,436.334954
8000,2.340775,437.462011
8000,2.339329,437.732362
9000,3.397172,429.180563
9000,3.398998,428.949926
9000,3.411428,427.387025
9000,3.402712,428.481705
9000,3.401978,428.574235
10000,4.695462,425.943185
10000,4.690419,426.401140
10000,4.682219,427.147877
10000,4.742492,421.719193
10000,4.696608,425.839216
11000,6.472049,411.307130
11000,6.445283,413.015205
11000,6.421985,414.513612
11000,6.430481,413.965905
11000,6.467299,411.609209
12000,8.348114,413.985705
12000,8.328868,414.942324
12000,8.373434,412.733876
12000,8.344403,414.169810
12000,8.364382,413.180546
13000,10.605955,414.295567
13000,10.657372,412.296762
13000,10.638062,413.045141
13000,10.719605,409.903164
13000,10.661476,412.138070
14000,13.182502,416.309444
14000,13.143660,417.539700
14000,13.134091,417.843906
14000,13.143821,417.534604
14000,13.200718,415.734971
15000,16.449955,410.335473
15000,16.390313,411.828618
15000,16.402428,411.524448
15000,16.419183,411.104493
15000,16.444382,410.474525
16000,19.391651,422.449848
16000,19.420917,421.813236
16000,19.436397,421.477296
16000,19.472334,420.699449
16000,19.449416,421.195159
17000,22.994199,427.325175
17000,23.058099,426.140950
17000,22.917959,428.746736
17000,22.962231,427.920087
17000,22.991140,427.382023
18000,27.503655,424.089097
18000,27.525736,423.748884
18000,27.551268,423.356202
18000,27.494046,424.237309
18000,27.495667,424.212303
19000,32.709616,419.387372
19000,32.815610,418.032763
19000,32.685624,419.695221
19000,32.827118,417.886213
19000,32.809974,418.104563
20000,37.971807,421.365254
20000,38.061993,420.366852
20000,37.992239,421.138645
20000,38.011467,420.925616
20000,38.006257,420.983314
