n_threads,Time,GFLOPS
2000,0.279537,57.237462
2000,0.027649,578.676599
2000,0.027148,589.362689
2000,0.026877,595.313218
2000,0.027411,583.698348
3000,0.076192,708.739332
3000,0.075957,710.932558
3000,0.076749,703.594182
3000,0.076315,707.592229
3000,0.076462,706.234935
4000,0.163882,781.051143
4000,0.164210,779.490072
4000,0.164396,778.608912
4000,0.163800,781.438763
4000,0.163576,782.510461
5000,0.316770,789.215097
5000,0.315504,792.383619
5000,0.316690,789.415606
5000,0.315938,791.295554
5000,0.317340,787.798380
6000,0.532700,810.962737
6000,0.533549,809.672504
6000,0.534632,808.032053
6000,0.533266,810.102529
6000,0.533596,809.601426
7000,0.848004,808.958900
7000,0.849018,807.992337
7000,0.848551,808.437294
7000,0.849201,807.817921
7000,0.848154,808.815121
8000,1.250818,818.664330
8000,1.251442,818.256311
8000,1.249313,819.650312
8000,1.250724,818.725532
8000,1.250746,818.711253
9000,1.777356,820.319491
9000,1.775010,821.403852
9000,1.777893,820.071780
9000,1.777080,820.446978
9000,1.778735,819.683804
10000,2.447622,817.119598
10000,2.443861,818.377262
10000,2.441059,819.316654
10000,2.446656,817.442342
10000,2.443712,818.427119
11000,3.235466,822.756253
11000,3.240598,821.453400
11000,3.235395,822.774225
11000,3.238160,822.071798
11000,3.236362,822.528578
12000,4.197938,823.261255
12000,4.199133,823.027006
12000,4.192919,824.246851
12000,4.198112,823.227156
12000,4.191186,824.587690
13000,5.338653,823.054126
13000,5.333918,823.784671
13000,5.330687,824.283943
13000,5.333238,823.889768
13000,5.332383,824.021761
14000,6.654595,824.693346
14000,6.652856,824.908851
14000,6.653496,824.829569
14000,6.644747,825.915532
14000,6.657971,824.275150
15000,8.220373,821.130628
15000,8.224075,820.761028
15000,8.220541,821.113823
15000,8.220288,821.139160
15000,8.226351,820.533911
16000,9.966283,821.971417
16000,9.962497,822.283809
16000,9.970414,821.630874
16000,9.964051,822.155542
16000,9.977271,821.066168
17000,12.011061,818.079285
17000,11.989532,819.548247
17000,12.002786,818.643287
17000,12.007141,818.346319
17000,12.000988,818.765911
18000,14.178105,822.676915
18000,14.169064,823.201844
18000,14.161248,823.656248
18000,14.190222,821.974467
18000,14.179832,822.576732
19000,16.643396,824.230840
19000,16.630962,824.847046
19000,16.683531,822.247977
19000,16.631307,824.829924
19000,16.638917,824.452713
20000,19.426370,823.622744
20000,19.451299,822.567163
20000,19.415291,824.092724
20000,19.445464,822.813993
20000,19.420779,823.859842
