n_threads,Time,GFLOPS
2000,0.016254,984.363933
2000,0.016346,978.862624
2000,0.016221,986.391618
2000,0.016895,947.008988
2000,0.016006,999.630387
3000,0.040581,1330.662185
3000,0.040312,1339.539436
3000,0.040712,1326.401559
3000,0.040564,1331.232484
3000,0.040123,1345.869795
4000,0.086646,1477.283449
4000,0.086236,1484.294649
4000,0.086641,1477.358165
4000,0.087055,1470.341264
4000,0.086582,1478.361403
5000,0.167474,1492.766602
5000,0.171165,1460.580672
5000,0.167409,1493.350026
5000,0.167747,1490.335612
5000,0.167561,1491.995269
6000,0.277343,1557.635656
6000,0.277647,1555.932438
6000,0.277783,1555.172146
6000,0.277498,1556.765194
6000,0.277797,1555.093378
7000,0.430277,1594.320111
7000,0.430398,1593.874677
7000,0.430728,1592.650613
7000,0.429852,1595.899875
7000,0.429140,1598.547494
8000,0.630960,1622.923181
8000,0.632850,1618.077127
8000,0.630887,1623.112511
8000,0.630616,1623.809315
8000,0.631792,1620.787283
9000,0.901765,1616.828974
9000,0.895574,1628.006952
9000,0.900294,1619.471104
9000,0.899136,1621.557243
9000,0.899257,1621.338323
10000,1.246427,1604.586746
10000,1.242897,1609.143277
10000,1.246141,1604.955212
10000,1.245042,1606.371386
10000,1.245897,1605.269640
11000,1.638867,1624.292989
11000,1.635849,1627.289928
11000,1.643401,1619.811156
11000,1.639740,1623.428342
11000,1.641375,1621.811334
12000,2.128670,1623.548784
12000,2.129788,1622.696645
12000,2.129231,1623.121089
12000,2.126170,1625.458243
12000,2.128221,1623.891272
13000,2.694075,1630.986727
13000,2.701784,1626.332986
13000,2.696262,1629.663796
13000,2.693258,1631.481401
13000,2.692294,1632.065200
14000,3.372325,1627.363708
14000,3.370423,1628.282408
14000,3.369471,1628.742346
14000,3.372819,1627.125675
14000,3.369686,1628.638483
15000,4.149727,1626.613129
15000,4.150111,1626.462691
15000,4.147069,1627.655719
15000,4.150039,1626.490552
15000,4.149970,1626.517779
16000,5.014506,1633.660417
16000,5.008195,1635.719168
16000,5.008480,1635.626093
16000,5.008005,1635.781064
16000,5.006177,1636.378450
17000,6.043379,1625.911544
17000,6.042279,1626.207544
17000,6.041921,1626.303948
17000,6.027578,1630.173744
17000,6.050759,1623.928540
18000,7.145010,1632.468026
18000,7.137167,1634.261832
18000,7.155081,1630.170142
18000,7.146222,1632.191189
18000,7.131490,1635.562930
19000,8.451886,1623.069701
19000,8.469254,1619.741266
19000,8.467184,1620.137153
19000,8.468327,1619.918579
19000,8.459043,1621.696466
20000,9.890940,1617.641944
20000,9.897022,1616.647838
20000,9.897996,1616.488851
20000,9.874855,1620.276911
20000,9.896747,1616.692763
