n_threads,Time,GFLOPS
2000,0.038431,416.335019
2000,0.038522,415.344109
2000,0.038521,415.359852
2000,0.038613,414.373551
2000,0.038416,416.496706
3000,0.116510,463.478157
3000,0.116587,463.173766
3000,0.117498,459.581861
3000,0.117054,461.325294
3000,0.117192,460.783957
4000,0.271983,470.618365
4000,0.281811,454.205450
4000,0.271889,470.779791
4000,0.271228,471.927112
4000,0.271011,472.305462
5000,0.526949,474.429130
5000,0.526071,475.221309
5000,0.528278,473.236080
5000,0.527484,473.947866
5000,0.527204,474.199553
6000,0.919719,469.708447
6000,0.925908,466.569269
6000,0.924902,467.076659
6000,0.932654,463.194099
6000,0.924351,467.354858
7000,1.524805,449.893488
7000,1.530072,448.344943
7000,1.523999,450.131591
7000,1.528778,448.724439
7000,1.526608,449.362272
8000,2.354057,434.993775
8000,2.350596,435.634233
8000,2.349497,435.837966
8000,2.347624,436.185635
8000,2.349052,435.920510
9000,3.403455,428.388271
9000,3.391293,429.924563
9000,3.401830,428.592833
9000,3.399173,428.927806
9000,3.394780,429.482859
10000,4.695401,425.948717
10000,4.683114,427.066248
10000,4.709287,424.692740
10000,4.683224,427.056225
10000,4.703731,425.194370
11000,6.443561,413.125622
11000,6.459533,412.104074
11000,6.447168,412.894468
11000,6.432698,413.823257
11000,6.452420,412.558383
12000,8.384472,412.190529
12000,8.381680,412.327815
12000,8.367555,413.023891
12000,8.355798,413.605012
12000,8.375118,412.650882
13000,10.632952,413.243671
13000,10.681969,411.347394
13000,10.717323,409.990449
13000,10.698549,410.709914
13000,10.713270,410.145537
14000,13.187580,416.149145
14000,13.180639,416.368271
14000,13.188401,416.123241
14000,13.175274,416.537825
14000,13.197960,415.821852
15000,16.475979,409.687333
15000,16.510158,408.839208
15000,16.495842,409.194037
15000,16.494351,409.231008
15000,16.477952,409.638298
16000,19.549254,419.044119
16000,19.568123,418.640061
16000,19.520190,419.668041
16000,19.570831,418.582128
16000,19.509592,419.896029
17000,23.201969,423.498535
17000,23.140427,424.624830
17000,23.142216,424.592019
17000,23.191501,423.689691
17000,23.154775,424.361713
18000,27.573324,423.017553
18000,27.519345,423.847299
18000,27.545302,423.447897
18000,27.530644,423.673337
18000,27.554658,423.304116
19000,32.814340,418.048944
19000,32.883196,417.173557
19000,32.783037,418.448112
19000,32.865173,417.402335
19000,32.847662,417.624850
20000,38.174193,419.131326
20000,38.176727,419.103505
20000,38.218991,418.640044
20000,38.180843,419.058317
20000,38.187293,418.987541
