n_threads,Time,GFLOPS
1,20.441221,97.841514
1,20.415416,97.965183
1,20.388464,98.094688
1,20.434592,97.873251
1,20.398416,98.046830
2,10.516658,190.174490
2,10.516437,190.178475
2,10.525832,190.008727
2,10.529039,189.950851
2,10.531489,189.906676
4,5.541484,360.914129
4,5.530615,361.623438
4,5.554310,360.080721
4,5.528543,361.758997
4,5.553371,360.141596
6,3.764176,531.324821
6,3.755865,532.500491
6,3.768404,530.728621
6,3.773000,530.082164
6,3.758651,532.105827
8,2.702656,740.012912
8,2.703279,739.842119
8,2.705877,739.131948
8,2.717180,736.057150
8,2.702240,740.126735
10,2.331580,857.787581
10,2.330838,858.060665
10,2.333397,857.119631
10,2.328876,858.783498
10,2.332801,857.338348
12,1.837052,1088.700832
12,1.839606,1087.189484
12,1.841439,1086.106910
12,1.840389,1086.726997
12,1.836094,1089.269061
14,1.708065,1170.915412
14,1.698979,1177.177921
14,1.704714,1173.217544
14,1.703644,1173.954042
14,1.705432,1172.723115
16,1.411845,1416.586052
16,1.429569,1399.023274
16,1.428621,1399.951504
16,1.422100,1406.370547
16,1.433524,1395.162869
18,1.337162,1495.705126
18,1.338124,1494.630280
18,1.341161,1491.244886
18,1.336224,1496.755236
18,1.342116,1490.183980
20,1.248910,1601.396065
20,1.250290,1599.629033
20,1.245793,1605.402700
20,1.249511,1600.626625
20,1.250951,1598.784088
22,1.264048,1582.218690
22,1.264246,1581.970201
22,1.263914,1582.386287
22,1.261985,1584.804922
22,1.262067,1584.701407
24,1.163285,1719.268651
24,1.165696,1715.713447
24,1.161965,1721.222028
24,1.160825,1722.912091
24,1.164651,1717.252751
26,1.198048,1669.382612
26,1.200652,1665.761185
26,1.199979,1666.695642
26,1.200646,1665.769399
26,1.197023,1670.812162
28,1.166946,1713.874804
28,1.169645,1709.920317
28,1.172019,1706.456374
28,1.170284,1708.986636
28,1.169957,1709.465205
30,1.130873,1768.545702
30,1.134227,1763.315651
30,1.133378,1764.636142
30,1.132216,1766.447939
30,1.127538,1773.776516
32,1.187933,1683.597259
32,1.194845,1673.857894
32,1.185055,1687.685212
32,1.188573,1682.689629
32,1.191028,1679.221678
34,1.099855,1818.422090
34,1.102836,1813.506153
34,1.102993,1813.248488
34,1.092848,1830.080122
34,1.094804,1826.811667
36,1.176733,1699.621521
36,1.175865,1700.874828
36,1.170107,1709.245300
36,1.185092,1687.633317
36,1.168789,1711.172595
38,1.041450,1920.399788
38,1.047002,1910.215747
38,1.061148,1884.751976
38,1.057136,1891.903373
38,1.059823,1887.108162
40,1.196474,1671.578728
40,1.202122,1663.724398
40,1.197045,1670.780501
40,1.201105,1665.132717
40,1.194925,1673.745661
42,1.188102,1683.357484
42,1.181668,1692.522124
42,1.181430,1692.863280
42,1.177956,1697.855732
42,1.179486,1695.653802
44,1.327234,1506.893731
44,1.300963,1537.322202
44,1.309185,1527.667667
44,1.299541,1539.004450
44,1.306738,1530.528339
46,1.042975,1917.591810
46,1.055004,1895.726849
46,1.036689,1929.218131
46,1.055264,1895.260874
46,1.059612,1887.483076
48,1.163414,1719.078516
48,1.169139,1710.660467
48,1.196094,1672.109767
48,1.179015,1696.331500
48,1.180046,1694.849431
50,1.289524,1550.959704
50,1.308806,1528.110763
50,1.295066,1544.322737
50,1.297989,1540.845524
50,1.293353,1546.368190
52,1.415409,1413.018702
52,1.412166,1416.263626
52,1.394061,1434.657691
52,1.418169,1410.269425
52,1.416536,1411.895314
54,1.188433,1682.888112
54,1.196819,1671.095968
54,1.196580,1671.429937
54,1.188218,1683.193094
54,1.193088,1676.321630
56,1.284191,1557.400273
56,1.264966,1581.070647
56,1.274913,1568.734381
56,1.261662,1585.210767
56,1.285078,1556.326019
58,1.056156,1893.659123
58,1.057765,1890.779336
58,1.059115,1888.368910
58,1.069413,1870.185572
58,1.055103,1895.550084
60,1.210313,1652.465310
60,1.206440,1657.770434
60,1.233378,1621.563461
60,1.204558,1660.360311
60,1.200845,1665.494241
62,0.989141,2021.956709
62,0.984791,2030.887904
62,1.031196,1939.495670
62,1.001771,1996.465153
62,1.052321,1900.560894
64,1.343767,1488.353712
64,1.333935,1499.323135
64,1.344869,1487.134120
64,1.335667,1497.378759
64,1.343177,1489.007314
66,1.467209,1363.132623
66,1.456595,1373.065058
66,1.478510,1352.712914
66,1.480396,1350.990211
66,1.446871,1382.293277
68,1.568483,1275.117065
68,1.569606,1274.204748
68,1.612364,1240.414531
68,1.614106,1239.076079
68,1.670757,1197.061873
70,1.227633,1629.151627
70,1.237224,1616.521733
70,1.250769,1599.016633
70,1.225396,1632.125398
70,1.282305,1559.690928
72,1.539726,1298.932240
72,1.561281,1280.999178
72,1.510297,1324.243194
72,1.515599,1319.610016
72,1.495617,1337.240980
74,0.873608,2289.355035
74,0.890893,2244.937692
74,0.872446,2292.405332
74,0.898476,2225.992358
74,0.884182,2261.978513
76,1.753951,1140.282599
76,1.780501,1123.279259
76,1.813757,1102.683244
76,1.742282,1147.919652
76,1.770803,1129.431088
78,1.534639,1303.237767
78,1.545206,1294.325510
78,1.542145,1296.894607
78,1.544211,1295.160100
78,1.532908,1304.709996
80,1.437873,1390.943378
80,1.423621,1404.868288
80,1.413023,1415.405416
80,1.421926,1406.543130
80,1.409231,1419.213553
82,0.794424,2517.546864
82,0.800950,2497.035030
82,0.796683,2510.408407
82,0.781995,2557.559756
82,0.808817,2472.746678
84,1.511631,1323.074172
84,1.509739,1324.732289
84,1.521421,1314.560521
84,1.519942,1315.839677
84,1.526178,1310.463165
86,0.764499,2616.093235
86,0.757384,2640.667102
86,0.762673,2622.356781
86,0.775474,2579.068918
86,0.760581,2629.568110
88,1.350326,1481.123415
88,1.320026,1515.122145
88,1.340575,1491.896850
88,1.309681,1527.089837
88,1.389458,1439.410408
90,1.161782,1721.493108
90,1.166239,1714.914156
90,1.170584,1708.549043
90,1.158217,1726.791445
90,1.154380,1732.531420
92,2.092911,955.606664
92,2.173399,920.217530
92,2.112136,946.908607
92,2.077429,962.728659
92,2.091978,956.032791
94,0.702094,2848.619393
94,0.711111,2812.500356
94,0.710809,2813.694815
94,0.702808,2845.728170
94,0.709336,2819.536726
96,1.320995,1514.009724
96,1.337686,1495.118866
96,1.336748,1496.168410
96,1.344642,1487.384494
96,1.326901,1507.271476
98,1.683578,1187.946228
98,1.693212,1181.187238
98,1.689488,1183.790615
98,1.671166,1196.769179
98,1.702082,1175.031483
100,1.481330,1350.137904
100,1.487431,1344.599932
100,1.488127,1343.971597
100,1.476096,1354.925749
100,1.489211,1342.993042
102,1.893395,1056.303609
102,1.895725,1055.005409
102,1.886523,1060.151136
102,1.908484,1047.952425
102,1.852039,1079.890936
104,1.283212,1558.588531
104,1.258881,1588.712967
104,1.291849,1548.168644
104,1.269506,1575.416554
104,1.294526,1544.966773
106,0.587449,3404.551605
106,0.594124,3366.301935
106,0.592218,3377.132810
106,0.589635,3391.928813
106,0.590104,3389.231327
108,1.356821,1474.033761
108,1.380728,1448.510775
108,1.383241,1445.879692
108,1.385422,1443.603264
108,1.343733,1488.391343
110,1.531072,1306.274078
110,1.495508,1337.337830
110,1.502463,1331.147213
110,1.487185,1344.822257
110,1.502615,1331.013068
112,1.738076,1150.697385
112,1.698916,1177.221315
112,1.700745,1175.954927
112,1.741177,1148.648262
112,1.703998,1173.710255
114,1.982110,1009.025804
114,1.979980,1010.111087
114,2.061704,970.071427
114,2.020277,989.963038
114,2.060261,970.750884
116,2.548981,784.627254
116,2.530330,790.410720
116,2.584507,773.842000
116,2.525379,791.960426
116,2.599026,769.519099
118,0.524451,3813.508665
118,0.514782,3885.138416
118,0.525170,3808.288756
118,0.522221,3829.794767
118,0.521988,3831.504406
120,1.413563,1414.864265
120,1.376643,1452.809471
120,1.391991,1436.790781
120,1.380356,1448.901362
120,1.379523,1449.776341
122,0.509540,3925.105486
122,0.497689,4018.572855
122,0.503349,3973.387632
122,0.495637,4035.211726
122,0.494035,4048.295567
124,2.865104,698.054939
124,2.762145,724.075042
124,2.760771,724.435290
124,2.759069,724.882067
124,2.778830,719.727447
126,0.913507,2189.364550
126,0.927251,2156.912382
126,0.914286,2187.499163
126,0.926306,2159.113298
126,0.939767,2128.187168
128,1.811563,1104.019293
128,1.827655,1094.298373
128,1.803365,1109.037807
128,1.824745,1096.043849
128,1.825226,1095.754441
