n_threads,Time,GFLOPS
1,41.165169,48.584763
1,41.076898,48.689168
1,41.128865,48.627649
1,41.093850,48.669083
1,41.141090,48.613199
2,21.271334,94.023251
2,21.569497,92.723535
2,21.292145,93.931354
2,21.307042,93.865682
2,21.505748,92.998394
4,11.732682,170.464007
4,11.791591,169.612390
4,11.726801,170.549501
4,11.732869,170.461285
4,11.732163,170.471555
6,8.087077,247.308131
6,8.023182,249.277658
6,8.246385,242.530514
6,8.010482,249.672851
6,8.037310,248.839465
8,5.777659,346.160955
8,5.646096,354.227035
8,5.674657,352.444216
8,5.731314,348.960132
8,5.721606,349.552209
10,5.087945,393.086009
10,5.057992,395.413837
10,5.072654,394.270961
10,5.056174,395.556027
10,5.071564,394.355689
12,3.877161,515.841425
12,3.919863,510.221963
12,3.875007,516.128041
12,3.952438,506.016794
12,3.834317,521.605263
14,3.772093,530.209623
14,3.750628,533.244062
14,3.745108,534.030037
14,3.746878,533.777723
14,3.738502,534.973608
16,2.850563,701.615838
16,2.817930,709.740769
16,2.832329,706.132686
16,2.919925,684.949115
16,2.839108,704.446631
18,3.041580,657.552907
18,3.040240,657.842754
18,3.040767,657.728682
18,3.029172,660.246349
18,3.042373,657.381680
20,2.399021,833.673386
20,2.405525,831.419465
20,2.421511,825.930454
20,2.415919,827.842180
20,2.393962,835.435039
22,2.743744,728.930956
22,2.737322,730.641052
22,2.743358,729.033530
22,2.746765,728.129250
22,2.730433,732.484573
24,2.445539,817.815540
24,2.406579,831.055080
24,2.410034,829.863699
24,2.431331,822.594645
24,2.459305,813.237745
26,2.577399,775.976097
26,2.565199,779.666492
26,2.574390,776.882978
26,2.565134,779.686392
26,2.562177,780.586245
28,2.233432,895.482906
28,2.227385,897.914089
28,2.242703,891.781173
28,2.240702,892.577449
28,2.239653,892.995620
30,2.234662,894.989981
30,2.209970,904.989539
30,2.205010,907.025282
30,2.212854,903.810122
30,2.242301,891.940907
32,2.270032,881.045026
32,2.282264,876.322649
32,2.271780,880.367121
32,2.290794,873.059867
32,2.261724,884.281151
34,2.341753,854.061047
34,2.353228,849.896382
34,2.347341,852.027939
34,2.339055,855.046221
34,2.345273,852.779265
36,2.200570,908.855467
36,2.196635,910.483494
36,2.195838,910.814129
36,2.201535,908.456925
36,2.192301,912.283674
38,2.228547,897.445655
38,2.233412,895.491045
38,2.220310,900.774932
38,2.222489,899.892064
38,2.207789,905.883680
40,2.264661,883.134575
40,2.284816,875.343947
40,2.287726,874.230737
40,2.279332,877.450010
40,2.272631,880.037376
42,2.226923,898.100231
42,2.235909,894.490948
42,2.241247,892.360514
42,2.248420,889.513347
42,2.240096,892.818731
