n_threads,Time,GFLOPS
1,20.290794,98.566867
1,20.633293,96.930722
1,20.163972,99.186806
1,20.558014,97.285661
1,20.202261,98.998821
2,10.593913,188.787651
2,10.398588,192.333801
2,10.763941,185.805548
2,10.300229,194.170444
2,10.409543,192.131387
4,5.230580,382.366781
4,5.206329,384.147803
4,5.302101,377.208956
4,5.332314,375.071691
4,5.198218,384.747266
6,3.591550,556.862708
6,3.507808,570.156591
6,3.503984,570.778809
6,3.552104,563.046524
6,3.616090,553.083626
8,2.698023,741.283550
8,2.732728,731.869451
8,2.753614,726.318239
8,2.749098,727.511381
8,2.708140,738.514390
10,2.136016,936.322755
10,2.186220,914.820818
10,2.128122,939.795910
10,2.149813,930.313479
10,2.146356,931.811845
12,1.870692,1069.122803
12,1.811104,1104.298567
12,1.833012,1091.100262
12,1.800688,1110.686716
12,1.793714,1115.004690
14,1.598772,1250.960124
14,1.592513,1255.877050
14,1.576914,1268.299783
14,1.589254,1258.452107
14,1.608438,1243.442471
16,1.396808,1431.836502
16,1.385774,1443.236827
16,1.411878,1416.552905
16,1.418483,1409.957218
16,1.411002,1417.432475
18,1.316640,1519.017663
18,1.317928,1517.533832
18,1.307320,1529.847487
18,1.301933,1536.177078
18,1.303805,1533.971848
20,1.225608,1631.842945
20,1.217456,1642.770103
20,1.235779,1618.412186
20,1.214324,1647.006951
20,1.216370,1644.236002
22,1.218463,1641.411814
22,1.229964,1626.063645
22,1.241579,1610.852040
22,1.252469,1596.845724
22,1.229777,1626.311038
24,1.225384,1632.141136
24,1.228926,1627.436814
24,1.223136,1635.140966
24,1.222849,1635.524485
24,1.223520,1634.627406
26,1.221402,1637.463033
26,1.229051,1627.271608
26,1.226520,1630.629265
26,1.225618,1631.829431
26,1.226707,1630.381515
28,1.228622,1627.840556
28,1.228421,1628.106975
28,1.228301,1628.265151
28,1.238582,1614.749487
28,1.229230,1627.034785
30,1.292550,1547.328452
30,1.285195,1556.183956
30,1.289757,1550.679710
30,1.286810,1554.230735
30,1.288231,1552.516301
32,0.934084,2141.135879
32,0.913388,2189.650207
32,0.937784,2132.686193
32,0.913630,2189.070352
32,0.908083,2202.440746
34,0.986482,2027.406290
34,0.972463,2056.633779
34,0.968988,2064.008182
34,0.972171,2057.251162
34,0.964556,2073.492048
36,0.998555,2002.894068
36,0.934517,2140.142330
36,0.964182,2074.298131
36,0.936204,2136.287198
36,0.936798,2134.931825
38,0.989482,2021.259137
38,0.982450,2035.726041
38,0.931292,2147.553706
38,0.978859,2043.195008
38,0.981134,2038.456566
40,1.013736,1972.900493
40,0.927824,2155.582290
40,0.982126,2036.399588
40,0.994645,2010.767663
40,0.941904,2123.359717
42,0.951183,2102.643755
42,1.040297,1922.528465
42,1.028426,1944.718865
42,1.026429,1948.502482
42,1.025797,1949.704409
44,1.001327,1997.349860
44,1.020222,1960.358009
44,1.019839,1961.093067
44,1.006562,1986.961402
44,1.012415,1975.474088
46,0.995853,2008.328327
46,0.985710,2028.995235
46,0.987129,2026.076911
46,1.008888,1982.379963
46,1.006842,1986.408542
48,0.984445,2031.601420
48,1.001900,1996.207362
48,0.977744,2045.524818
48,0.986408,2027.559104
48,0.984634,2031.210615
50,1.025311,1950.628517
50,0.997895,2004.218985
50,1.027698,1946.096113
50,1.044554,1914.692320
50,1.031709,1938.531160
52,1.080005,1851.843556
52,1.061924,1883.374799
52,1.058969,1888.628861
52,1.021657,1957.603312
52,1.057888,1890.559769
54,1.158241,1726.756119
54,1.149423,1740.003514
54,1.152393,1735.519709
54,1.163502,1718.948491
54,1.151680,1736.592832
56,1.183370,1690.088953
56,1.184974,1687.801021
56,1.183519,1689.875935
56,1.193748,1675.395463
56,1.180002,1694.912529
58,1.097640,1822.091428
58,1.147948,1742.238723
58,1.122268,1782.105230
58,1.128597,1772.111871
58,1.108409,1804.387637
60,1.185402,1687.190938
60,1.157783,1727.438864
60,1.116238,1791.732204
60,1.154251,1732.726118
60,1.171592,1707.078395
62,1.124361,1778.787685
62,1.167646,1712.847958
62,1.187254,1684.559449
62,1.162598,1720.285044
62,1.162110,1721.007399
64,1.181335,1693.000273
64,1.138324,1756.969627
64,1.170509,1708.658364
64,1.149941,1739.219306
64,1.223388,1634.804019
66,1.284602,1556.902556
66,1.276353,1566.964066
