n_threads,Time,GFLOPS
1,23.837610,83.901027
1,23.827533,83.936511
1,23.819434,83.965053
1,23.829687,83.928926
1,23.810386,83.996960
2,12.537345,159.523411
2,12.529792,159.619569
2,12.527998,159.642421
2,12.533246,159.575577
2,12.618339,158.499464
3,8.265634,241.965720
3,8.277684,241.613476
3,8.267550,241.909640
3,8.296758,241.058004
3,8.270656,241.818773
4,6.148461,325.284646
4,6.150570,325.173135
4,6.149321,325.239144
4,6.148986,325.256858
4,6.156525,324.858593
5,4.889770,409.017153
5,4.885200,409.399837
5,4.889870,409.008812
5,4.977258,401.827700
5,4.904972,407.749533
6,4.081251,490.045842
6,4.089219,489.090901
6,4.090025,488.994582
6,4.089762,489.026015
6,4.096297,488.245869
7,3.476163,575.346989
7,3.480939,574.557547
7,3.482192,574.350879
7,3.485596,573.790025
7,3.498335,571.700586
8,3.062688,653.021158
8,3.092151,646.798961
8,3.065148,652.497063
8,3.051775,655.356335
8,3.050022,655.732972
9,2.701578,740.308160
9,2.710018,738.002537
9,2.699925,740.761424
9,2.717813,735.885730
9,2.701090,740.441762
10,2.438471,820.186004
10,2.439140,819.961084
10,2.441753,819.083776
10,2.439929,819.696071
10,2.442460,818.846480
11,2.246529,890.262121
11,2.244952,890.887464
11,2.242585,891.828070
11,2.245907,890.508791
11,2.240002,892.856264
12,2.039724,980.524698
12,2.046110,977.464621
12,2.015829,992.147815
12,2.033459,983.545939
12,2.019508,990.340075
13,2.121149,942.885204
13,2.100438,952.182544
13,2.116995,944.735330
13,2.117990,944.291581
13,2.123108,942.015333
14,1.813637,1102.756398
14,1.827554,1094.358904
14,1.811321,1104.166412
14,1.811891,1103.819216
14,1.808778,1105.719152
15,1.672120,1196.086468
15,1.664690,1201.424578
15,1.670316,1197.378160
15,1.669724,1197.802734
15,1.676150,1193.210393
16,1.550863,1289.604930
16,1.553100,1287.747486
16,1.551432,1289.131982
16,1.554298,1286.754625
16,1.555724,1285.574722
17,1.552081,1288.592769
17,1.556435,1284.988048
17,1.555852,1285.469512
17,1.552926,1287.891634
17,1.549318,1290.890619
18,1.383044,1446.085888
18,1.379930,1449.348996
18,1.389209,1439.668152
18,1.383467,1445.643619
18,1.388520,1440.382395
19,1.383039,1446.090510
19,1.382265,1446.900966
19,1.382746,1446.397735
19,1.384090,1444.993161
19,1.381978,1447.200956
20,1.245626,1605.618689
20,1.250573,1599.266392
20,1.243276,1608.653586
20,1.243850,1607.911413
20,1.247809,1602.809664
21,1.199791,1666.957499
21,1.199264,1667.689502
21,1.202257,1663.538049
21,1.199591,1667.234821
21,1.202182,1663.641048
22,1.168282,1711.915470
22,1.166440,1714.618815
22,1.166885,1713.965322
22,1.169265,1710.476582
22,1.165961,1715.322885
23,1.169136,1710.664305
23,1.169602,1709.982899
23,1.170321,1708.932213
23,1.172059,1706.398732
23,1.168934,1710.960940
24,1.053281,1898.829248
24,1.048433,1907.608953
24,1.048935,1906.696014
24,1.048232,1907.975459
24,1.050605,1903.664511
