n_threads,Time,GFLOPS
1,30.144729,66.346590
1,29.529437,67.729025
1,29.530877,67.725723
1,29.516206,67.759387
1,29.539670,67.705563
2,14.888402,134.332755
2,15.198765,131.589640
2,15.166960,131.865585
2,15.204077,131.543666
2,15.393094,129.928397
3,9.995803,200.083973
3,10.001821,199.963578
3,10.000037,199.999251
3,9.999401,200.011985
3,9.999907,200.001859
4,7.356245,271.877838
4,7.325106,273.033591
4,7.326024,272.999367
4,7.353785,271.968788
4,7.444547,268.653021
5,5.897738,339.113058
5,5.810243,344.219682
5,5.809937,344.237822
5,5.809802,344.245800
5,5.809754,344.248642
6,4.870814,410.608974
6,4.836507,413.521601
6,4.839793,413.240812
6,4.859824,411.537561
6,4.868178,410.831298
7,4.146710,482.310083
7,4.146726,482.308239
7,4.146223,482.366768
7,4.156003,481.231573
7,4.146358,482.351035
8,3.646258,548.507507
8,3.635559,550.121783
8,3.642736,549.037792
8,3.646172,548.520527
8,3.634737,550.246140
9,3.227831,619.611138
9,3.239770,617.327833
9,3.240666,617.157025
9,3.240292,617.228404
9,3.227379,619.697977
10,2.918137,685.368892
10,2.908811,687.566259
10,2.907434,687.891738
10,2.917424,685.536396
10,2.916854,685.670237
11,2.645820,755.909328
11,2.646796,755.630700
11,2.650467,754.584102
11,2.645835,755.904917
11,2.645087,756.118869
12,2.435288,821.258083
12,2.433959,821.706531
12,2.433713,821.789687
12,2.434117,821.653123
12,2.428488,823.557837
13,2.268678,881.570867
13,2.268879,881.492473
13,2.268705,881.560013
13,2.268161,881.771653
13,2.262428,884.005852
14,2.106684,949.359221
14,2.106520,949.433196
14,2.107073,949.184132
14,2.107793,948.859711
14,2.100357,952.219002
15,1.969613,1015.427776
15,1.964829,1017.900185
15,1.961726,1019.510234
15,1.969819,1015.321662
15,1.967262,1016.641421
16,1.848055,1082.218718
16,1.848610,1081.894019
16,1.848841,1081.758871
16,1.853565,1079.001897
16,1.850312,1080.898526
17,1.747756,1144.324597
17,1.747890,1144.236915
17,1.747323,1144.608119
17,1.747098,1144.755718
17,1.748844,1143.612660
18,1.649513,1212.479365
18,1.650386,1211.837661
18,1.649747,1212.306736
18,1.650367,1211.851416
18,1.650589,1211.688967
19,1.566913,1276.395071
19,1.566906,1276.400800
19,1.567076,1276.262285
19,1.566980,1276.340243
19,1.567488,1275.927222
20,1.498056,1335.063822
20,1.497631,1335.442789
20,1.498305,1334.842148
20,1.497316,1335.723538
20,1.499756,1333.549988
21,1.422903,1405.576879
21,1.423918,1404.575255
21,1.423587,1404.902239
21,1.424051,1404.444273
21,1.423537,1404.950874
22,1.364765,1465.453489
22,1.365070,1465.126522
22,1.365556,1464.604544
22,1.365513,1464.651169
22,1.365081,1465.114195
23,1.311992,1524.399622
23,1.311543,1524.921315
23,1.312135,1524.232856
23,1.311667,1524.776921
23,1.311681,1524.761040
24,1.262840,1583.731981
24,1.260610,1586.534125
24,1.261543,1585.360584
24,1.260979,1586.069024
24,1.262142,1584.608234
