n_threads,Time,GFLOPS
1,14.436898,138.533915
1,14.551870,137.439385
1,14.408332,138.808573
1,14.411529,138.777776
1,14.394793,138.939129
2,7.598614,263.205892
2,7.672854,260.659209
2,7.593658,263.377672
2,7.590130,263.500114
2,7.746630,258.176795
3,4.954318,403.688297
3,4.950615,403.990190
3,4.956869,403.480520
3,5.006483,399.481993
3,4.953212,403.778383
4,3.706574,539.581805
4,3.707325,539.472548
4,3.714485,538.432577
4,3.711149,538.916582
4,3.713179,538.622068
5,2.950856,677.769542
5,2.950713,677.802324
5,2.948469,678.318142
5,2.949051,678.184314
5,2.948270,678.363856
6,2.476800,807.493573
6,2.474327,808.300633
6,2.475088,808.052145
6,2.474036,808.395727
6,2.476470,807.601179
7,2.125096,941.134052
7,2.128100,939.805439
7,2.125364,941.015489
7,2.125589,940.915875
7,2.118481,944.072712
8,1.847384,1082.612031
8,1.845292,1083.839334
8,1.861983,1074.123503
8,1.844830,1084.111024
8,1.846182,1083.316790
9,1.644328,1216.302078
9,1.641787,1218.185094
9,1.639396,1219.961503
9,1.646149,1214.957102
9,1.639576,1219.827643
10,1.472531,1358.206119
10,1.472067,1358.633909
10,1.473281,1357.514106
10,1.487117,1344.884450
10,1.473252,1357.540582
11,1.337313,1495.536753
11,1.337452,1495.380739
11,1.337639,1495.172252
11,1.341952,1490.365883
11,1.360990,1469.518670
12,1.269829,1575.014618
12,1.254123,1594.739274
12,1.260237,1587.002583
12,1.260475,1586.703698
12,1.257477,1590.486053
13,1.156420,1729.475784
13,1.157091,1728.472105
13,1.154237,1732.747032
13,1.155781,1730.431344
13,1.156087,1729.973537
14,1.079393,1852.893830
14,1.086635,1840.544260
14,1.072361,1865.043870
14,1.076557,1857.774903
14,1.083741,1845.458805
15,0.996040,2007.951115
15,0.991589,2016.964424
15,0.993175,2013.744787
15,0.991770,2016.595943
15,0.993010,2014.077656
16,0.947097,2111.715239
16,0.950379,2104.422634
16,0.938121,2131.920462
16,0.938209,2131.721006
16,0.936903,2134.691874
17,0.895141,2234.284107
17,0.897549,2228.290173
17,0.889033,2249.635916
17,0.892485,2240.932849
17,0.888353,2251.357518
18,0.841081,2377.892461
18,0.844627,2367.909207
18,0.843648,2370.656206
18,0.843672,2370.588611
18,0.843313,2371.598745
19,0.789463,2533.366521
19,0.790475,2530.125601
19,0.791660,2526.337705
19,0.790042,2531.511576
19,0.790119,2531.263221
20,0.783201,2553.623560
20,0.784832,2548.315826
20,0.783893,2551.367710
20,0.783585,2552.369866
20,0.784438,2549.597408
21,0.731467,2734.232938
21,0.730162,2739.119920
21,0.732235,2731.364460
21,0.730811,2736.686600
21,0.730802,2736.718486
22,0.724745,2759.590787
22,0.724924,2758.910645
22,0.726633,2752.422526
22,0.726508,2752.893862
22,0.725238,2757.714508
23,0.690445,2896.684307
23,0.690788,2895.246057
23,0.690573,2896.145836
23,0.692126,2889.648906
23,0.693587,2883.560040
24,0.660546,3027.796217
24,0.659002,3034.890847
24,0.665696,3004.373151
24,0.660574,3027.667702
24,0.659195,3034.002242
