n_threads,Time,GFLOPS
1,23.755972,84.189356
1,23.749511,84.212261
1,23.754915,84.193104
1,23.733322,84.269701
1,23.743825,84.232426
1,23.750914,84.207286
1,23.753049,84.199716
1,23.772678,84.130194
1,23.826324,83.940771
1,23.777392,84.113515
2,12.607451,158.636355
2,12.499143,160.010970
2,12.606216,158.651886
2,12.610080,158.603275
2,12.604010,158.679658
3,8.222433,243.236999
3,8.222141,243.245660
3,8.316095,240.497496
3,8.224185,243.185199
3,8.316258,240.492780
4,6.248633,320.069995
4,6.147563,325.332145
4,6.149686,325.219869
4,6.149084,325.251679
4,6.144780,325.479536
5,4.888072,409.159241
5,4.891221,408.895855
5,4.904879,407.757251
5,4.884942,409.421457
5,4.885007,409.416010
6,4.084105,489.703336
6,4.086231,489.448611
6,4.086872,489.371764
6,4.088889,489.130362
6,4.088621,489.162451
7,3.470369,576.307615
7,3.470524,576.281789
7,3.542643,564.550323
7,3.496032,572.077155
7,3.475538,575.450463
8,3.054933,654.678914
8,3.040167,657.858534
8,3.037533,658.429028
8,3.045431,656.721582
8,3.042203,657.418251
9,2.698912,741.039240
9,2.726589,733.517246
9,2.697682,741.377262
9,2.693541,742.516957
9,2.695375,742.011674
10,2.428896,823.419299
10,2.431072,822.682398
10,2.431083,822.678696
10,2.430189,822.981332
10,2.429156,823.331343
11,2.224801,898.956805
11,2.228823,897.334654
11,2.222083,900.056240
11,2.224824,898.947426
11,2.227638,897.811840
12,2.010861,994.598848
12,2.014713,992.697291
12,2.035122,982.742076
12,2.014757,992.675584
12,2.009767,995.139992
13,2.014577,992.764132
13,2.047864,976.627343
13,2.016407,991.863455
13,2.026882,986.737451
13,2.015126,992.493675
14,1.802214,1109.746148
14,1.806524,1107.098729
14,1.810864,1104.444952
14,1.806094,1107.362010
14,1.808158,1106.098307
15,1.670753,1197.064904
15,1.670186,1197.471637
15,1.680871,1189.859210
15,1.674062,1194.699234
15,1.672987,1195.466748
16,1.550913,1289.563229
16,1.550025,1290.302101
16,1.548332,1291.712970
16,1.544365,1295.030356
16,1.546153,1293.532991
17,1.562173,1280.267694
17,1.560928,1281.289483
17,1.559355,1282.581945
17,1.560175,1281.907358
17,1.559709,1282.290101
18,1.380305,1448.954797
18,1.379828,1449.456186
18,1.379447,1449.856024
18,1.382888,1446.248628
18,1.379917,1449.362727
19,1.401502,1427.040730
19,1.406386,1422.084333
19,1.401776,1426.761824
19,1.403792,1424.712335
19,1.399061,1429.530487
20,1.242303,1609.913430
20,1.241876,1610.466856
20,1.241026,1611.569660
20,1.240957,1611.659578
20,1.246174,1604.911857
21,1.198990,1668.070946
21,1.198791,1668.347127
21,1.199527,1667.323930
21,1.200893,1665.427442
21,1.203129,1662.332487
22,1.161627,1721.723523
22,1.161658,1721.677594
22,1.160775,1722.986162
22,1.160316,1723.669034
22,1.164707,1717.169525
23,1.162821,1719.955693
23,1.162682,1720.161148
23,1.162195,1720.881956
23,1.159312,1725.161536
23,1.162211,1720.858161
24,1.048946,1906.675873
24,1.051980,1901.176402
24,1.050255,1904.298598
24,1.049777,1905.166647
24,1.049216,1906.185101
