n_threads,Time,GFLOPS
1,29.528385,67.731438
1,29.491845,67.815357
1,29.505698,67.783517
1,29.491187,67.816870
1,29.486906,67.826717
1,29.491502,67.816147
1,29.488197,67.823746
1,29.475003,67.854107
1,29.474580,67.855081
1,29.495552,67.806833
2,15.364490,130.170284
2,15.271882,130.959631
2,14.868508,134.512486
2,15.381768,130.024069
2,15.390218,129.952674
3,9.997713,200.045751
3,9.998178,200.036453
3,9.874496,202.541976
3,9.994773,200.104587
3,9.999645,200.007109
4,7.336607,272.605562
4,7.321946,273.151421
4,7.356264,271.877142
4,7.444107,268.668888
4,7.444786,268.644380
5,5.893853,339.336603
5,5.864856,341.014335
5,5.863418,341.097964
5,5.809182,344.282558
5,5.809043,344.290775
6,4.870376,410.645941
6,4.837311,413.452867
6,4.837197,413.462620
6,4.837250,413.458062
6,4.836903,413.487725
7,4.146153,482.374913
7,4.146517,482.332560
7,4.147004,482.275828
7,4.147259,482.246221
7,4.155264,481.317164
8,3.645521,548.618491
8,3.647971,548.250004
8,3.635442,550.139492
8,3.646518,548.468358
8,3.646486,548.473260
9,3.238456,617.578253
9,3.227565,619.662235
9,3.229187,619.350910
9,3.227925,619.593006
9,3.230318,619.134057
10,2.908049,687.746389
10,2.917281,685.569834
10,2.906200,688.183858
10,2.908469,687.647077
10,2.917119,685.607893
11,2.646110,755.826481
11,2.645122,756.108911
11,2.646288,755.775507
11,2.652014,754.143965
11,2.647172,755.523184
12,2.430959,822.720668
12,2.429521,823.207521
12,2.434781,821.429128
12,2.434953,821.371038
12,2.428866,823.429452
13,2.269044,881.428408
13,2.262065,884.147829
13,2.267826,881.902029
13,2.269270,881.340853
13,2.262463,883.992527
14,2.109597,948.048175
14,2.100067,952.350486
14,2.102586,951.209611
14,2.106069,949.636308
14,2.108623,948.486082
15,1.961726,1019.510342
15,1.969895,1015.282607
15,1.969155,1015.664170
15,1.961154,1019.807642
15,1.961854,1019.443824
16,1.851712,1080.081705
16,1.847515,1082.535160
16,1.847613,1082.477478
16,1.850309,1080.900317
16,1.848145,1082.166035
17,1.747465,1144.515077
17,1.748005,1144.161698
17,1.747374,1144.574810
17,1.746027,1145.457568
17,1.748115,1144.089254
18,1.651421,1211.078473
18,1.649838,1212.240405
18,1.651286,1211.177268
18,1.650940,1211.430767
18,1.650501,1211.753551
19,1.566307,1276.888656
19,1.566835,1276.458871
19,1.567067,1276.269892
19,1.568007,1275.504106
19,1.566633,1276.623244
20,1.499859,1333.458994
20,1.498581,1334.596017
20,1.496891,1336.102423
20,1.499367,1333.896161
20,1.499123,1334.113778
21,1.423119,1405.363922
21,1.423890,1404.602847
21,1.422969,1405.512391
21,1.422945,1405.535210
21,1.422609,1405.867824
22,1.364445,1465.797698
22,1.366240,1463.871950
22,1.366714,1463.364280
22,1.365369,1464.805669
22,1.366690,1463.389686
23,1.313657,1522.467686
23,1.311842,1524.573662
23,1.310374,1526.281522
23,1.311736,1524.697423
23,1.312949,1523.288567
24,1.261524,1585.384521
24,1.262124,1584.629915
24,1.263083,1583.426883
24,1.261982,1584.808461
24,1.261283,1585.687078
