n_threads,Time,GFLOPS
1,28.710367,69.661247
1,28.692326,69.705049
1,28.707837,69.667387
1,28.696878,69.693993
1,28.696366,69.695236
1,28.705254,69.673655
1,28.691551,69.706933
1,28.700697,69.684720
1,28.705312,69.673515
1,28.689552,69.711790
2,14.809719,135.046455
2,14.620487,136.794344
2,15.151457,132.000507
2,14.803250,135.105467
2,14.805199,135.087683
3,9.692634,206.342253
3,9.687014,206.461971
3,9.686641,206.469928
3,9.910839,201.799262
3,9.688610,206.427969
4,7.313378,273.471438
4,7.303452,273.843094
4,7.301860,273.902816
4,7.305675,273.759800
4,7.316007,273.373151
5,5.853027,341.703554
5,5.842521,342.317987
5,5.853646,341.667426
5,5.836549,342.668228
5,5.853492,341.676394
6,4.877779,410.022696
6,4.875688,410.198493
6,4.882218,409.649859
6,4.883856,409.512459
6,4.875719,410.195870
7,4.183175,478.105736
7,4.189762,477.354066
7,4.189446,477.390072
7,4.233890,472.378844
7,4.184793,477.920921
8,3.664249,545.814400
8,3.667022,545.401624
8,3.666349,545.501759
8,3.677798,543.803654
8,3.663575,545.914919
9,3.255672,614.312580
9,3.285629,608.711530
9,3.248800,615.611884
9,3.264406,612.668912
9,3.254051,614.618489
10,2.941780,679.860398
10,2.943084,679.559181
10,2.944338,679.269823
10,2.943718,679.412804
10,2.946379,678.799255
11,2.656720,752.808002
11,2.663357,750.932038
11,2.670602,748.894719
11,2.657611,752.555475
11,2.659794,751.937885
12,2.475872,807.796166
12,2.472890,808.770164
12,2.468807,810.107720
12,2.470839,809.441661
12,2.471498,809.225662
13,2.346448,852.352177
13,2.340887,854.377163
13,2.379357,840.563249
13,2.342847,853.662149
13,2.338161,855.372915
14,2.133912,937.245706
14,2.143324,933.130051
14,2.136725,936.012041
14,2.139097,934.973808
14,2.133352,937.491718
15,2.000954,999.523310
15,2.000445,999.777561
15,2.006170,996.924321
15,2.005754,997.131371
15,1.999450,1000.274852
16,1.880576,1063.503666
16,1.885515,1060.718337
16,1.888374,1059.112285
16,1.885965,1060.465010
16,1.887066,1059.846318
17,1.807164,1106.706579
17,1.808525,1105.873745
17,1.805170,1107.929144
17,1.849754,1081.224954
17,1.814619,1102.159998
18,1.719852,1162.890725
18,1.699592,1176.752913
18,1.694898,1180.012206
18,1.697271,1178.362308
18,1.700630,1176.035051
19,1.601564,1248.779377
19,1.609030,1242.984984
19,1.601471,1248.851728
19,1.597014,1252.337295
19,1.603086,1247.593987
20,1.555939,1285.397181
20,1.548847,1291.282942
20,1.544030,1295.311426
20,1.545243,1294.294764
20,1.547576,1292.343607
21,1.494052,1338.641606
21,1.489950,1342.327288
21,1.490664,1341.683897
21,1.488873,1343.297981
21,1.490418,1341.905448
22,1.432888,1395.782600
22,1.448125,1381.096440
22,1.438781,1390.065612
22,1.454093,1375.427792
22,1.435532,1393.211740
23,1.414032,1414.395499
23,1.419416,1409.029842
23,1.406980,1421.483938
23,1.406515,1421.954713
23,1.415076,1413.351662
24,1.404003,1424.498066
24,1.408335,1420.116906
24,1.395219,1433.467153
24,1.401387,1427.157076
24,1.393351,1435.388016
