n_threads,Time,GFLOPS
1,14.389566,138.989596
1,14.382813,139.054860
1,14.400897,138.880240
1,14.393330,138.953250
1,14.567224,137.294515
1,14.405338,138.837420
1,14.393442,138.952165
1,14.383813,139.045188
1,14.404040,138.849930
1,14.513868,137.799242
1,14.402811,138.861781
1,14.405026,138.840426
1,14.408240,138.809464
2,7.679118,260.446583
2,7.665073,260.923807
2,7.588099,263.570612
2,7.684321,260.270238
2,7.679102,260.447129
3,4.951069,403.953181
3,5.068673,394.580622
3,4.946629,404.315778
3,4.952209,403.860187
3,4.950642,403.987995
4,3.708881,539.246222
4,3.713433,538.585114
4,3.711289,538.896293
4,3.708621,539.284022
4,3.704979,539.814124
5,2.980645,670.995614
5,2.946869,678.686483
5,2.948289,678.359629
5,2.950632,677.820841
5,2.950257,677.907147
6,2.473535,808.559399
6,2.474559,808.224899
6,2.506265,798.000315
6,2.473852,808.455662
6,2.476173,807.698061
7,2.125173,941.099819
7,2.121174,942.873973
7,2.121214,942.856262
7,2.121942,942.532804
7,2.119098,943.797563
8,1.847268,1082.679926
8,1.846023,1083.410056
8,1.848536,1081.937542
8,1.846382,1083.199395
8,1.845996,1083.425821
9,1.638929,1220.309255
9,1.653704,1209.406194
9,1.639089,1220.190291
9,1.639510,1219.876676
9,1.641066,1218.720314
10,1.474364,1356.516937
10,1.471840,1358.843032
10,1.474682,1356.224182
10,1.472363,1358.360296
10,1.473711,1357.117991
11,1.338960,1493.696664
11,1.336067,1496.931146
11,1.337714,1495.087405
11,1.339090,1493.551522
11,1.360808,1469.714663
12,1.255197,1593.375606
12,1.262258,1584.461656
12,1.275439,1568.088080
12,1.261083,1585.938570
12,1.258105,1589.692961
13,1.154470,1732.396015
13,1.154507,1732.340672
13,1.161165,1722.407850
13,1.175645,1701.193406
13,1.166193,1714.982168
14,1.081670,1848.993110
14,1.077211,1856.646885
14,1.085202,1842.974472
14,1.077672,1855.851995
14,1.082108,1848.244013
15,0.989258,2021.716613
15,0.990111,2019.975238
15,0.991365,2017.419915
15,0.991918,2016.296716
15,0.996012,2008.007502
16,0.936917,2134.660623
16,0.936673,2135.217796
16,0.936614,2135.350277
16,0.936694,2135.169730
16,0.949001,2107.479212
17,0.888933,2249.888081
17,0.889556,2248.313175
17,0.890187,2246.718753
17,0.887782,2252.806166
17,0.893105,2239.378875
18,0.841750,2376.001546
18,0.841650,2376.285283
18,0.843586,2370.830229
18,0.844550,2368.125873
18,0.840401,2379.816112
19,0.791993,2525.275696
19,0.792088,2524.972288
19,0.792919,2522.325278
19,0.791559,2526.660695
19,0.790484,2530.095463
20,0.784530,2549.296144
20,0.785351,2546.631305
20,0.787723,2538.963802
20,0.784476,2549.472917
20,0.783674,2552.082400
21,0.735624,2718.781130
21,0.734000,2724.796687
21,0.731737,2733.223169
21,0.733480,2726.728568
21,0.735761,2718.274278
22,0.740252,2701.783943
22,0.725617,2756.274021
22,0.723474,2764.440749
22,0.724763,2759.522197
22,0.723521,2764.259600
23,0.692101,2889.750475
23,0.688474,2904.975761
23,0.689003,2902.743822
23,0.689574,2900.339742
23,0.689792,2899.423220
24,0.659741,3031.493530
24,0.666905,2998.929713
24,0.660187,3029.446298
24,0.665631,3004.666311
24,0.660444,3028.263752
