n_threads,Time,GFLOPS
2000,0.020751,771.064122
2000,0.020873,766.535733
2000,0.020918,764.889141
2000,0.020921,764.777192
2000,0.020692,773.257171
3000,0.059954,900.692828
3000,0.059661,905.114242
3000,0.059274,911.016344
3000,0.059557,906.700608
3000,0.059458,908.198016
4000,0.134786,949.650678
4000,0.134491,951.736264
4000,0.134001,955.215134
4000,0.134260,953.371473
4000,0.135524,944.482569
5000,0.256969,972.881084
5000,0.256894,973.165453
5000,0.256879,973.219446
5000,0.256802,973.513247
5000,0.256445,974.869502
6000,0.434622,993.966666
6000,0.438415,985.367583
6000,0.435882,991.094843
6000,0.437559,987.294568
6000,0.435182,992.687177
7000,0.688105,996.940339
7000,0.688749,996.008975
7000,0.690022,994.171752
7000,0.688970,995.689846
7000,0.688423,996.481081
8000,1.038023,986.490567
8000,1.038026,986.487487
8000,1.039183,985.389512
8000,1.042379,982.367824
8000,1.042300,982.442830
9000,1.474648,988.710466
9000,1.472567,990.107825
9000,1.472353,990.251920
9000,1.471317,990.948988
9000,1.469815,991.961758
10000,2.024839,987.733041
10000,2.043691,978.621499
10000,2.046511,977.272978
10000,2.041365,979.736737
10000,2.031221,984.629659
11000,2.776805,958.655590
11000,2.795067,952.392095
11000,2.783998,956.178815
11000,2.791554,953.590578
11000,2.783509,956.346713
12000,3.504518,986.155648
12000,3.506067,985.719991
12000,3.520073,981.797871
12000,3.513983,983.499279
12000,3.513435,983.652620
13000,4.518062,972.540980
13000,4.512504,973.738785
13000,4.514741,973.256221
13000,4.514078,973.399196
13000,4.495663,977.386467
14000,5.636091,973.724591
14000,5.647039,971.836701
14000,5.654203,970.605370
14000,5.617721,976.908688
14000,5.651428,971.082048
15000,6.889094,979.809487
15000,6.885991,980.251097
15000,6.875424,981.757675
15000,6.885785,980.280381
15000,6.885227,980.359898
16000,8.335208,982.818877
16000,8.365521,979.257582
16000,8.368447,978.915192
16000,8.342275,981.986374
16000,8.343818,981.804692
17000,10.187043,964.558606
17000,10.213045,962.102888
17000,10.148666,968.206091
17000,10.213171,962.091026
17000,10.209787,962.409888
18000,12.088355,964.895554
18000,12.136280,961.085305
18000,12.092281,964.582265
18000,12.141168,960.698357
18000,12.059469,967.206749
19000,14.376278,954.210798
19000,14.380917,953.903035
19000,14.380767,953.912950
19000,14.366955,954.830000
19000,14.377077,954.157799
20000,16.479443,970.906622
20000,16.463610,971.840294
20000,16.423200,974.231558
20000,16.410177,975.004695
20000,16.447341,972.801598
