n_threads,Time,GFLOPS
2000,0.574468,27.851865
2000,0.026963,593.395655
2000,0.027311,585.852533
2000,0.029774,537.376681
2000,0.026738,598.394224
3000,0.076851,702.655301
3000,0.076154,709.085100
3000,0.076374,707.048965
3000,0.076313,707.615678
3000,0.076489,705.979354
4000,0.164714,777.105000
4000,0.163805,781.415292
4000,0.163591,782.438912
4000,0.163946,780.744308
4000,0.163941,780.768910
5000,0.315680,791.941741
5000,0.315944,791.279004
5000,0.316198,790.643672
5000,0.315694,791.907280
5000,0.315659,791.992919
6000,0.532249,811.650514
6000,0.531566,812.692776
6000,0.531595,812.649053
6000,0.532036,811.975018
6000,0.531936,812.128054
7000,0.848757,808.240443
7000,0.849098,807.915796
7000,0.848579,808.410393
7000,0.849964,807.092926
7000,0.849003,808.006648
8000,1.249980,819.213067
8000,1.250135,819.111443
8000,1.249216,819.713896
8000,1.248403,820.248258
8000,1.250898,818.612050
9000,1.776970,820.497726
9000,1.781685,818.326584
9000,1.783361,817.557398
9000,1.776812,820.570613
9000,1.778685,819.706681
10000,2.440462,819.516888
10000,2.442385,818.871782
10000,2.448826,816.717839
10000,2.450830,816.050144
10000,2.441134,819.291480
11000,3.235726,822.690179
11000,3.239784,821.659789
11000,3.236062,822.604771
11000,3.237745,822.177090
11000,3.235684,822.700801
12000,4.198836,823.085299
12000,4.194403,823.955240
12000,4.193797,824.074154
12000,4.193572,824.118374
12000,4.196107,823.620584
13000,5.339489,822.925191
13000,5.345071,822.065821
13000,5.333888,823.789262
13000,5.339209,822.968346
13000,5.332844,823.950567
14000,6.649259,825.355069
14000,6.650956,825.144492
14000,6.651339,825.097013
14000,6.651983,825.017202
14000,6.643846,826.027617
15000,8.222667,820.901522
15000,8.223510,820.817375
15000,8.222287,820.939520
15000,8.316179,811.670794
15000,8.221864,820.981694
16000,9.972207,821.483115
16000,9.963899,822.168095
16000,9.966136,821.983531
16000,9.964228,822.140954
16000,9.969802,821.681310
17000,11.972876,820.688364
17000,11.975083,820.537127
17000,11.970733,820.835278
17000,11.975928,820.479214
17000,11.971540,820.779922
18000,14.165035,823.436021
18000,14.157549,823.871402
18000,14.167977,823.265011
18000,14.151567,824.219690
18000,14.175021,822.855897
19000,16.616476,825.566141
19000,16.628529,824.967730
19000,16.615929,825.593335
19000,16.633903,824.701204
19000,16.629990,824.895273
20000,19.462633,822.088164
20000,19.465211,821.979264
20000,19.466640,821.918920
20000,19.451566,822.555874
20000,19.460417,822.181746
