n_threads,Time,GFLOPS
2000,0.016005,999.682288
2000,0.017077,936.933539
2000,0.016309,981.068325
2000,0.016356,978.258869
2000,0.016111,993.081327
3000,0.040665,1327.908385
3000,0.040602,1329.999435
3000,0.040473,1334.233727
3000,0.040626,1329.194157
3000,0.040332,1338.900050
4000,0.086753,1475.452992
4000,0.086335,1482.588498
4000,0.086433,1480.908915
4000,0.086829,1474.161349
4000,0.088681,1443.367736
5000,0.167516,1492.394632
5000,0.167457,1492.917013
5000,0.167815,1489.737106
5000,0.167277,1494.523817
5000,0.171326,1459.205863
6000,0.282151,1531.096674
6000,0.277349,1557.601780
6000,0.277708,1555.590591
6000,0.276879,1560.250160
6000,0.280315,1541.123934
7000,0.431338,1590.398931
7000,0.431531,1589.690515
7000,0.431703,1589.056223
7000,0.431409,1590.136525
7000,0.431624,1589.345318
8000,0.632385,1619.266107
8000,0.633162,1617.279862
8000,0.633666,1615.993768
8000,0.634245,1614.518067
8000,0.634056,1614.998817
9000,0.898937,1621.915141
9000,0.898688,1622.364160
9000,0.900147,1619.735175
9000,0.900421,1619.242894
9000,0.899265,1621.324103
10000,1.242937,1609.091511
10000,1.246884,1603.998739
10000,1.243728,1608.068837
10000,1.243771,1608.012990
10000,1.244137,1607.540252
11000,1.631745,1631.382497
11000,1.635179,1627.956334
11000,1.637242,1625.904539
11000,1.638424,1624.732377
11000,1.637136,1626.010582
12000,2.126055,1625.545880
12000,2.134532,1619.090076
12000,2.125214,1626.188835
12000,2.127422,1624.501704
12000,2.127036,1624.796010
13000,2.692693,1631.823363
13000,2.697764,1628.756304
13000,2.696438,1629.557292
13000,2.700474,1627.121872
13000,2.696899,1629.278930
14000,3.369864,1628.552132
14000,3.370710,1628.143605
14000,3.370266,1628.358020
14000,3.372988,1627.044193
14000,3.370886,1628.058423
15000,4.150939,1626.138264
15000,4.146155,1628.014307
15000,4.151531,1625.906262
15000,4.143550,1629.037894
15000,4.153776,1625.027488
16000,5.001507,1637.906211
16000,5.227593,1567.069070
16000,5.002171,1637.688891
16000,4.991474,1641.198633
16000,5.014630,1633.620153
17000,6.028788,1629.846643
17000,6.031425,1629.134037
17000,6.040963,1626.561859
17000,6.029837,1629.563132
17000,6.042057,1626.267394
18000,7.159741,1629.109165
18000,7.156889,1629.758323
18000,7.160995,1628.823994
18000,7.164256,1628.082566
18000,7.150636,1631.183591
19000,8.450039,1623.424378
19000,8.427394,1627.786662
19000,8.443873,1624.609897
19000,8.442984,1624.780932
19000,8.442659,1624.843468
20000,9.887599,1618.188520
20000,9.865991,1621.732652
20000,9.866834,1621.594074
20000,9.892728,1617.349602
20000,9.879750,1619.474163
