n_threads,Time,GFLOPS
2000,0.023871,670.269084
2000,0.023263,687.801311
2000,0.023464,681.890206
2000,0.025387,630.253135
2000,0.024570,651.192594
3000,0.074131,728.441058
3000,0.073471,734.982641
3000,0.073155,738.161116
3000,0.073535,734.343141
3000,0.073246,737.239047
4000,0.162998,785.287154
4000,0.163007,785.241504
4000,0.165242,774.619299
4000,0.164878,776.329618
4000,0.165498,773.424622
5000,0.330093,757.362874
5000,0.326388,765.958925
5000,0.325590,767.837661
5000,0.327380,763.639688
5000,0.327175,764.117399
6000,0.545011,792.645051
6000,0.540664,799.017114
6000,0.541792,797.354522
6000,0.540947,798.599481
6000,0.547865,788.515099
7000,0.873403,785.433294
7000,0.872983,785.811165
7000,0.872362,786.371016
7000,0.874857,784.128413
7000,0.874157,784.756301
8000,1.288152,794.937110
8000,1.281532,799.043502
8000,1.282121,798.676632
8000,1.282764,798.276005
8000,1.286504,795.955453
9000,1.816414,802.680499
9000,1.820971,800.671601
9000,1.849519,788.312915
9000,1.854355,786.257345
9000,1.829482,796.947023
10000,2.487310,804.081507
10000,2.483264,805.391661
10000,2.482626,805.598591
10000,2.497786,800.709110
10000,2.497776,800.712396
11000,3.339948,797.018463
11000,3.374767,788.795174
11000,3.352717,793.982922
11000,3.345383,795.723622
11000,3.351519,794.266674
12000,4.350851,794.327416
12000,4.348332,794.787438
12000,4.355448,793.488940
12000,4.356041,793.380925
12000,4.391704,786.938263
13000,5.474215,802.672106
13000,5.496328,799.442892
13000,5.493999,799.781722
13000,5.500415,798.848787
13000,5.539457,793.218524
14000,6.886007,796.978534
14000,6.909451,794.274449
14000,6.882323,797.405156
14000,6.910894,794.108585
14000,6.982647,785.948407
15000,8.556009,788.919199
15000,8.580574,786.660634
15000,8.497894,794.314430
15000,8.612675,783.728656
15000,8.500535,794.067662
16000,10.282996,796.655000
16000,10.320414,793.766570
16000,10.305544,794.911924
16000,10.301290,795.240215
16000,10.312364,794.386268
17000,12.523970,784.575485
17000,12.443794,789.630544
17000,12.428919,790.575585
17000,12.422391,790.991038
17000,12.399582,792.446047
18000,14.672019,794.982637
18000,14.596770,799.080867
18000,14.592761,799.300407
18000,14.607639,798.486313
18000,14.658866,795.695923
19000,17.336315,791.286976
19000,17.274673,794.110559
19000,17.370611,789.724677
19000,17.269321,794.356674
19000,17.272027,794.232178
20000,20.108224,795.694332
20000,20.161821,793.579102
20000,20.407703,784.017693
20000,20.239819,790.520913
20000,20.066551,797.346782
