n_threads,Time,GFLOPS
1,20.368425,98.191197
1,20.366631,98.199844
1,20.371875,98.174567
1,20.370044,98.183390
1,20.383979,98.116270
2,10.525056,190.022747
2,10.506908,190.350950
2,10.545600,189.652559
2,10.541161,189.732422
2,10.532725,189.884377
4,5.429296,368.371873
4,5.442555,367.474450
4,5.414857,369.354178
4,5.433859,368.062537
4,5.426772,368.543208
6,3.686485,542.522239
6,3.676325,544.021543
6,3.734332,535.570963
6,3.684655,542.791645
6,3.698596,540.745779
8,2.709945,738.022425
8,2.735893,731.022838
8,2.709000,738.279796
8,2.715138,736.610905
8,2.713746,736.988725
10,2.356147,848.843634
10,2.367034,844.939320
10,2.360600,847.242163
10,2.354720,849.358013
10,2.366196,845.238367
12,1.919676,1041.842389
12,1.916662,1043.480810
12,1.914751,1044.522232
12,1.912629,1045.681118
12,1.915371,1044.184034
14,1.784760,1120.598623
14,1.787749,1118.725418
14,1.782450,1122.051044
14,1.784233,1120.930017
14,1.785195,1120.326086
16,1.507508,1326.692521
16,1.504238,1329.576451
16,1.505447,1328.508647
16,1.504248,1329.568169
16,1.507682,1326.539932
18,1.375491,1454.026196
18,1.377168,1452.255902
18,1.374664,1454.900471
18,1.377211,1452.210727
18,1.375970,1453.519798
20,1.216594,1643.934178
20,1.222129,1636.488430
20,1.221147,1637.804175
20,1.220357,1638.864745
20,1.216679,1643.818953
22,1.207509,1656.302739
22,1.209235,1653.937810
22,1.206792,1657.286555
22,1.207634,1656.130587
22,1.207709,1656.028746
24,1.049438,1905.782094
24,1.051294,1902.418015
24,1.053077,1899.197010
24,1.053064,1899.220241
24,1.053985,1897.560102
26,1.050229,1904.346148
26,1.044360,1915.049175
26,1.046011,1912.025553
26,1.046510,1911.113830
26,1.048142,1908.139311
28,0.920805,2172.012938
28,0.927532,2156.259566
28,0.928436,2154.160000
28,0.934274,2140.699000
28,0.924747,2162.754708
30,0.881426,2269.050210
30,0.881323,2269.314523
30,0.884011,2262.415353
30,0.886756,2255.410678
30,0.879995,2272.740643
32,0.854048,2341.787861
32,0.845002,2366.857494
32,0.856445,2335.234991
32,0.852740,2345.380085
32,0.869934,2299.025964
34,0.873578,2289.433773
34,0.876891,2280.786018
34,0.878821,2275.776627
34,0.867691,2304.968318
34,0.870669,2297.083431
36,0.785483,2546.203313
36,0.784970,2547.868474
36,0.792949,2522.229439
36,0.819144,2441.572609
36,0.781267,2559.944187
38,0.824108,2426.865578
38,0.798868,2503.541146
38,0.833852,2398.506585
38,0.830925,2406.956943
38,0.786882,2541.676398
40,0.742475,2693.693535
40,0.745639,2682.264813
40,0.756274,2644.545047
40,0.742381,2694.033619
40,0.752088,2659.262489
42,0.711210,2812.108316
42,0.719943,2777.996630
42,0.708206,2824.036576
42,0.708942,2821.105873
42,0.706734,2829.919869
44,0.686671,2912.601918
44,0.693168,2885.304517
44,0.691640,2891.676744
44,0.692404,2888.486513
44,0.688894,2903.205198
46,0.753083,2655.748185
46,0.757065,2641.780789
46,0.746319,2679.820006
46,0.739856,2703.227428
46,0.761323,2627.006763
48,0.728094,2746.899827
48,0.686554,2913.098311
48,0.715154,2796.601774
48,0.699881,2857.629152
48,0.730390,2738.263382
50,0.658265,3038.288661
50,0.666049,3002.783935
50,0.658441,3037.477146
50,0.649799,3077.872951
50,0.654373,3056.360112
52,0.625853,3195.638618
52,0.635514,3147.057490
52,0.632508,3162.013257
52,0.637482,3137.344007
52,0.637906,3135.259284
54,0.645550,3098.133763
54,0.652274,3066.198171
54,0.654388,3056.289652
54,0.634679,3151.198875
54,0.648976,3081.777697
56,0.625866,3195.573384
56,0.599301,3337.218456
56,0.617648,3238.090230
56,0.605933,3300.692494
56,0.621821,3216.359718
58,0.662946,3016.836184
58,0.646601,3093.097737
58,0.642192,3114.335673
58,0.647182,3090.322998
58,0.658812,3035.766048
60,0.601817,3323.270581
60,0.604692,3307.469949
60,0.621839,3216.266197
60,0.598228,3343.206424
60,0.605646,3302.260313
62,0.630877,3170.189431
62,0.647937,3086.718303
62,0.625600,3196.931207
62,0.635901,3145.143464
62,0.642394,3113.352118
64,0.599654,3335.258762
64,0.605427,3303.451664
64,0.629554,3176.853718
64,0.618017,3236.158154
64,0.592061,3378.031776
66,0.573646,3486.473716
66,0.574740,3479.836031
66,0.564761,3541.321903
66,0.575509,3475.183513
66,0.557636,3586.566881
68,0.563697,3548.008239
68,0.591240,3382.723115
68,0.614011,3257.268911
68,0.708851,2821.468014
68,0.679588,2942.960866
70,0.676884,2954.718109
70,0.697101,2869.025652
70,0.664699,3008.879367
70,0.670716,2981.887025
70,0.697452,2867.580514
72,0.823076,2429.909976
72,0.806784,2478.977032
72,0.801155,2496.396131
72,0.801016,2496.828990
72,0.813899,2457.306215
74,0.620380,3223.829002
74,0.663202,3015.672900
74,0.648782,3082.699339
74,0.640376,3123.166428
74,0.655948,3049.021598
76,0.904139,2212.048299
76,0.865226,2311.535431
76,0.910194,2197.334366
76,0.887489,2253.548906
76,0.889392,2248.726664
78,0.861026,2322.810275
78,0.847268,2360.527760
78,0.859687,2326.428261
78,0.847019,2361.223362
78,0.854207,2341.353260
80,0.849846,2353.367410
80,0.847627,2359.528597
80,0.894428,2236.065990
80,0.901866,2217.625444
80,0.912066,2192.822683
82,0.603546,3313.746842
82,0.608137,3288.733124
82,0.603591,3313.500432
82,0.608264,3288.044283
82,0.627237,3188.587357
84,0.820683,2436.994781
84,0.865990,2309.494736
84,0.819620,2440.156679
84,0.800205,2499.358383
84,0.791973,2525.338795
86,0.607970,3289.637885
86,0.602682,3318.499612
86,0.588016,3401.266390
86,0.610433,3276.364234
86,0.607404,3292.702536
88,0.692767,2886.973326
88,0.685082,2919.359671
88,0.697199,2868.619845
88,0.700827,2853.769612
88,0.707267,2827.785791
90,0.649669,3078.488811
90,0.660832,3026.488444
90,0.670538,2982.680469
90,0.675790,2959.497716
90,0.643529,3107.862469
92,0.779015,2567.346212
92,0.774773,2581.401865
92,0.773209,2586.621907
92,0.795220,2515.026048
92,0.751339,2661.913497
94,0.560551,3567.916455
94,0.543689,3678.572433
94,,
94,,
94,,
96,,
96,,
96,,
96,,
96,,
98,,
98,,
98,,
98,,
98,,
100,,
100,,
100,,
100,,
100,,
102,,
102,,
102,,
102,,
102,,
104,,
104,,
104,,
104,,
104,,
106,,
106,,
106,,
106,,
106,,
108,,
