n_threads,Time,GFLOPS
1,42.929068,46.588480
1,43.326028,46.161628
1,42.825355,46.701306
1,42.959312,46.555681
1,43.319281,46.168818
2,22.219101,90.012643
2,22.251885,89.880026
2,21.952435,91.106065
2,22.085862,90.555667
2,22.168997,90.216081
4,11.393119,175.544552
4,11.479808,174.218940
4,11.476995,174.261637
4,11.233316,178.041813
4,11.336307,176.424292
6,7.503127,266.555531
6,7.463349,267.976227
6,7.495164,266.838726
6,7.543384,265.132983
6,7.513363,266.192390
8,5.944154,336.465031
8,5.930601,337.233926
8,5.939148,336.748653
8,5.936988,336.871176
8,5.918193,337.941013
10,4.884100,409.492025
10,4.889066,409.076062
10,4.913297,407.058669
10,4.864010,411.183396
10,4.876466,410.133042
12,4.338113,461.029963
12,4.285254,466.716776
12,4.318877,463.083340
12,4.274536,467.887085
12,4.340110,460.817826
14,3.759563,531.976685
14,3.780409,529.043290
14,3.769123,530.627400
14,3.783024,528.677569
14,3.768026,530.781921
16,3.946685,506.754425
16,3.919457,510.274788
16,3.941152,507.465860
16,3.925394,509.502939
16,3.924244,509.652284
18,3.603773,554.973845
18,3.666739,545.443823
18,3.642299,549.103794
18,3.574403,559.533964
18,3.610222,553.982519
20,3.592329,556.741870
20,3.740615,534.671413
20,3.730196,536.164865
20,3.580450,558.588990
20,3.716815,538.095145
22,3.540544,564.884958
22,3.558551,562.026486
22,3.527894,566.910386
22,3.534494,565.851872
22,3.521493,567.940890
24,3.391628,589.687253
24,3.403912,587.559181
24,3.642159,549.124892
24,3.626580,551.483790
24,3.626172,551.545788
26,3.184711,628.000545
26,3.424724,583.988664
26,3.203498,624.317518
26,3.415550,585.557293
26,3.439308,581.512353
28,3.553504,562.824699
28,3.539267,565.088811
28,3.531326,566.359473
28,3.536754,565.490283
28,3.535797,565.643406
30,2.975168,672.230887
30,3.325740,601.369951
30,2.963104,674.967842
30,2.946235,678.832415
30,3.330597,600.492930
32,3.060606,653.465422
32,3.469100,576.518364
32,3.453365,579.145210
32,3.518408,568.438955
32,3.061025,653.375982
34,3.287902,608.290703
34,3.310971,604.052439
34,3.302666,605.571447
34,3.332969,600.065557
34,2.951610,677.596187
36,2.988282,669.280840
36,3.415272,585.604978
36,3.451716,579.421931
36,3.484791,573.922501
36,3.431177,582.890291
38,2.870748,696.682560
38,2.827677,707.294349
38,3.291229,607.675689
38,3.263720,612.797748
38,3.240912,617.110258
40,3.458878,578.222207
40,3.455230,578.832604
40,3.488444,573.321572
40,3.420721,584.672124
40,2.989888,668.921334
42,3.222007,620.731189
42,3.206533,623.726626
42,3.245722,616.195768
42,3.182393,628.457817
42,3.295528,606.882997
44,3.407405,586.956883
44,3.458016,578.366403
44,3.486854,573.582964
44,3.435024,582.237486
44,2.983165,670.428908
46,2.760142,724.600519
46,2.748939,727.553423
46,2.754959,725.963510
46,2.775500,720.590774
46,2.758395,725.059300
48,3.411755,586.208615
48,3.030248,660.011983
48,3.011439,664.134391
48,3.023341,661.519820
48,3.018724,662.531583
50,2.759513,724.765500
50,2.760735,724.444685
50,2.788826,717.147639
50,2.804569,713.122047
50,3.256756,614.108087
52,3.009344,664.596740
52,2.977264,671.757752
52,2.983677,670.313950
52,2.983453,670.364182
52,2.990616,668.758533
54,2.878114,694.899462
54,2.889471,692.168216
54,2.883630,693.570297
54,3.223463,620.450769
54,3.230835,619.035060
56,3.476926,575.220728
56,3.007112,665.089963
56,3.032760,659.465240
56,3.060551,653.477109
56,3.108971,643.299697
58,2.885637,693.087977
58,2.965625,674.394028
58,2.964563,674.635654
58,3.199206,625.155196
58,2.912880,686.605698
60,3.521236,567.982302
60,3.251203,615.156933
60,3.229908,619.212625
60,3.231594,618.889704
60,3.231543,618.899315
62,3.221144,620.897351
62,2.985972,669.798652
62,2.931661,682.207159
62,2.951545,677.611208
62,3.415860,585.504143
64,3.129658,639.047386
64,3.137860,637.377106
64,3.143563,636.220742
64,3.148834,635.155826
64,3.157744,633.363534
66,2.911584,686.911428
66,2.886164,692.961367
66,3.251770,615.049656
66,2.874062,695.879268
66,2.881975,693.968666
68,3.204121,624.196194
68,3.557064,562.261407
68,3.210899,622.878490
68,3.196330,625.717654
68,3.630992,550.813709
70,2.992837,668.262261
70,2.972665,672.796888
70,3.303333,605.449101
70,3.330427,600.523632
70,3.317506,602.862499
72,3.152974,634.321671
72,3.478036,575.037230
72,3.543455,564.420907
72,2.832334,706.131292
72,3.538258,565.249945
74,3.363830,594.560431
74,3.362636,594.771478
74,3.367338,593.940950
74,3.341295,598.570244
74,3.344700,597.960974
76,3.645302,548.651352
76,3.624825,551.750772
76,3.661931,546.159991
76,2.997199,667.289688
76,2.947830,678.465204
78,3.380235,591.674834
78,3.351037,596.830179
78,3.297504,606.519348
78,2.831105,706.437911
78,2.816188,710.179833
80,3.047085,656.364997
80,3.012083,663.992434
80,3.045663,656.671489
80,3.021404,661.943979
80,3.664570,545.766675
82,3.293062,607.337458
82,3.297164,606.581932
82,3.284814,608.862487
82,3.260620,613.380357
82,3.290172,607.870898
84,3.526044,567.207915
84,3.007406,665.024872
84,3.014949,663.361184
84,2.989830,668.934295
84,3.005379,665.473535
86,3.272017,611.243811
86,2.886840,692.798997
86,2.879246,694.626286
86,2.886638,692.847508
86,2.887713,692.589548
88,3.575848,559.307947
88,3.562134,561.461226
88,3.603480,555.019098
88,3.578287,558.926696
88,3.574752,559.479381
90,3.359860,595.262962
90,3.367331,593.942248
90,3.306811,604.812377
90,3.316911,602.970640
90,3.361615,594.952090
92,3.621026,552.329574
92,3.608599,554.231743
92,3.597401,555.956921
92,3.597584,555.928597
92,3.203544,624.308557
94,3.356764,595.811969
94,3.351483,596.750693
94,3.395616,588.994807
94,3.373613,592.836207
94,3.414317,585.768658
96,3.600795,555.432866
96,3.621613,552.240161
96,3.625459,551.654320
96,3.636069,550.044643
96,3.612807,553.586207
98,3.431005,582.919558
98,3.421847,584.479587
98,3.406936,587.037657
98,3.398167,588.552558
98,3.415612,585.546577
100,3.642160,549.124753
100,3.640256,549.411915
100,3.644451,548.779553
100,3.672385,544.605252
100,3.653636,547.399850
102,3.384712,590.892171
102,3.415585,585.551207
102,3.415764,585.520556
102,3.404316,587.489443
102,3.405544,587.277635
104,3.675765,544.104484
104,3.662944,546.008875
104,3.667495,545.331393
104,3.658334,546.697009
104,3.655829,547.071518
106,3.466316,576.981425
106,3.445472,580.471963
106,3.453586,579.108218
106,3.446303,580.332098
106,3.446136,580.360141
108,3.693205,541.535057
108,3.681784,543.214981
108,3.681699,543.227510
108,3.691837,541.735742
108,3.704221,539.924604
110,3.484984,573.890730
110,3.497735,571.798527
110,3.472878,575.891297
110,3.489909,573.080890
110,3.473713,575.752822
112,3.724957,536.918885
112,3.716156,538.190574
112,3.725498,536.840911
112,3.711350,538.887439
112,3.706350,539.614434
114,3.534850,565.794943
114,3.493567,572.480740
114,3.511936,569.486478
114,3.503108,570.921584
114,3.516087,568.814205
116,3.719520,537.703838
116,3.721870,537.364329
116,3.755767,532.514362
116,3.730595,536.107576
116,3.722449,537.280761
118,3.553632,562.804464
118,3.548690,563.588224
118,3.577656,559.025277
118,3.577601,559.033763
118,3.536860,565.473278
120,3.775046,529.794936
120,3.773786,529.971794
120,3.751493,533.121130
120,3.781009,528.959300
120,3.779494,529.171378
122,3.590907,556.962374
122,3.570394,560.162192
122,3.579085,558.802084
122,3.637489,549.829850
122,3.677618,543.830347
124,3.816192,524.082703
124,3.806417,525.428449
124,3.809422,525.014080
124,3.805862,525.505102
124,3.822833,523.172177
126,3.650441,547.879029
126,3.667729,545.296569
126,3.630744,550.851264
126,3.664784,545.734722
126,3.634648,550.259595
128,3.841475,520.633317
128,3.842246,520.528815
128,3.844487,520.225493
128,3.841742,520.597220
128,3.836874,521.257708
