n_threads,Time,GFLOPS
1,32.061444,62.380223
1,37.482880,53.357693
1,32.780593,61.011709
1,37.960252,52.686690
1,33.213242,60.216947
2,20.313335,98.457489
2,17.392041,114.995127
2,20.668847,96.763984
2,17.633884,113.418011
2,20.977114,95.342000
4,12.299277,162.611187
4,14.179840,141.045316
4,11.936265,167.556604
4,14.123277,141.610190
4,12.594231,158.802865
6,7.074644,282.699754
6,6.312111,316.851222
6,7.000217,285.705448
6,6.409672,312.028460
6,7.001781,285.641608
8,4.877200,410.071359
8,5.260988,380.156738
8,4.892506,408.788422
8,5.286631,378.312789
8,4.896543,408.451417
10,4.673529,427.942102
10,4.417160,452.779581
10,4.773543,418.976002
10,4.304391,464.641803
10,4.658235,429.347147
12,3.331493,600.331405
12,3.608739,554.210264
12,3.324533,601.588245
12,3.609968,554.021537
12,3.327055,601.132217
14,3.085398,648.214644
14,2.894463,690.974408
14,3.112544,642.561295
14,2.922977,684.233949
14,3.053010,655.091107
16,2.721411,734.912876
16,2.895260,690.784177
16,2.739912,729.950540
16,2.942724,679.642359
16,2.756765,725.488040
18,2.465128,811.317011
18,2.367703,844.700421
18,2.485641,804.621468
18,2.383827,838.986973
18,2.459181,813.278946
20,2.253103,887.664666
20,2.257434,885.961840
20,2.155135,928.016116
20,2.240828,892.527275
20,2.207481,906.009869
22,2.143948,932.858252
22,2.124426,941.430748
22,2.158203,926.696851
22,2.115763,945.285511
22,2.176699,918.822362
24,1.892016,1057.073725
24,1.957124,1021.907864
24,1.888023,1059.309241
24,1.944924,1028.317618
24,1.894739,1055.554221
26,1.895910,1054.902177
26,1.844743,1084.161764
26,1.914583,1044.614087
26,1.871748,1068.519970
26,1.900701,1052.243226
28,1.751859,1141.644555
28,1.766913,1131.917400
28,1.717764,1164.304427
28,1.752845,1141.002365
28,1.770258,1129.778841
30,1.721109,1162.041136
30,1.693600,1180.916583
30,1.709836,1169.703007
30,1.661661,1203.615048
30,1.684278,1187.452412
32,1.645976,1215.084842
32,1.636137,1222.391585
32,1.645351,1215.546283
32,1.625204,1230.614887
32,1.641768,1218.198799
34,1.615841,1237.745757
34,1.661557,1203.690462
34,1.602406,1248.122778
34,1.617520,1236.460552
34,1.614926,1238.447111
36,1.603589,1247.202300
36,1.632648,1225.003740
36,1.617416,1236.539936
36,1.636583,1222.058284
36,1.595456,1253.560382
38,1.750600,1142.465566
38,1.737128,1151.325359
38,1.712554,1167.846398
38,1.685743,1186.420440
38,1.737298,1151.212692
40,1.590852,1257.188027
40,1.665585,1200.779092
40,1.565108,1277.866956
40,1.661934,1203.417318
40,1.626987,1229.266207
42,1.677063,1192.561154
42,1.560869,1281.337520
42,1.682746,1188.533773
42,1.561471,1280.843396
42,1.680915,1189.828488
44,1.639730,1219.713288
44,1.647441,1214.004096
44,1.646872,1214.423774
44,1.644358,1216.280274
44,1.651430,1211.071713
46,1.629817,1227.131759
46,1.647630,1213.864459
46,1.620197,1234.418169
46,1.624456,1231.181715
46,1.622541,1232.634263
48,1.633584,1224.302247
48,1.629430,1227.422957
48,1.638408,1220.697194
48,1.620576,1234.128964
48,1.633228,1224.568863
50,1.644407,1216.243562
50,1.593781,1254.877729
50,1.638177,1220.869083
50,1.627657,1228.760215
50,1.635132,1223.142478
52,1.676678,1192.834667
52,1.671378,1196.617327
52,1.675559,1193.631404
52,1.674832,1194.149870
52,1.679891,1190.553486
54,1.653138,1209.820256
54,1.663113,1202.564448
54,1.647750,1213.776599
54,1.665961,1200.508093
54,1.644194,1216.401574
56,1.671701,1196.385990
56,1.664014,1201.912827
56,1.686835,1185.652372
