n_threads,Time,GFLOPS
1,42.183025,47.412436
1,42.160074,47.438247
1,42.087809,47.519698
1,42.059784,47.551362
1,42.160608,47.437646
2,21.706029,92.140300
2,22.002302,90.899581
2,21.801892,91.735157
2,21.968003,91.041501
2,22.007296,90.878952
4,10.885869,183.724421
4,10.865410,184.070369
4,10.784045,185.459174
4,10.840440,184.494361
4,10.829938,184.673258
6,7.368289,271.433421
6,7.417949,269.616308
6,7.402807,270.167772
6,7.408049,269.976618
6,7.415959,269.688654
8,5.681724,352.005846
8,5.687045,351.676486
8,5.691416,351.406412
8,5.674215,352.471641
8,5.700875,350.823341
10,4.645160,430.555644
10,4.650196,430.089425
10,4.635037,431.496036
10,4.656418,429.514671
10,4.643896,430.672874
12,3.989886,501.267415
12,3.975662,503.060901
12,3.994654,500.669188
12,3.987498,501.567663
12,4.005065,499.367725
14,3.629072,551.105010
14,3.601883,555.265148
14,3.624198,551.846178
14,3.603385,555.033728
14,3.606929,554.488294
16,3.170421,630.830990
16,3.180602,628.811853
16,3.151619,634.594501
16,3.193356,626.300293
16,3.180410,628.849775
18,2.984684,670.087606
18,2.970786,673.222490
18,2.991254,668.615878
18,2.983895,670.264919
18,2.993818,668.043231
20,2.570244,778.136345
20,2.572368,777.493756
20,2.568257,778.738336
20,2.591779,771.670763
20,2.576217,776.332116
22,2.453083,815.300535
22,2.443863,818.376582
22,2.442510,818.829949
22,2.450413,816.189053
22,2.439032,819.997285
24,2.230151,896.800301
24,2.227494,897.870105
24,2.244608,891.024373
24,2.231546,896.239772
24,2.233661,895.390940
26,2.091749,956.137723
26,2.085656,958.931042
26,2.095608,954.376801
26,2.090855,956.546452
26,2.110968,947.432735
28,2.088329,957.703668
28,2.084132,959.632181
28,2.099924,952.415328
28,2.094297,954.974574
28,2.096405,954.014306
30,2.065742,968.175323
30,2.084657,959.390624
30,2.081690,960.758060
30,2.079712,961.671418
30,2.082442,960.410857
32,1.883525,1061.838616
32,1.867463,1070.971678
32,1.868793,1070.209562
32,1.873569,1067.481539
32,1.877141,1065.450041
34,1.823564,1096.753247
34,1.864074,1072.918845
34,1.853128,1079.256443
34,1.831403,1092.058771
34,1.816627,1100.941230
36,1.796218,1113.450384
36,1.788104,1118.503346
36,1.798223,1112.209010
36,1.792305,1115.881707
36,1.790414,1117.060384
38,1.704450,1173.398801
38,1.710844,1169.013395
38,1.725697,1158.951857
38,1.741761,1148.263320
38,1.717642,1164.386911
40,1.607289,1244.331663
40,1.617400,1236.552696
40,1.648504,1213.221565
40,1.627694,1228.732140
40,1.624563,1231.100098
42,1.697676,1178.081101
42,1.684900,1187.013891
42,1.690900,1182.802197
42,1.701190,1175.647902
42,1.704162,1173.597377
44,1.567888,1275.600987
44,1.598054,1251.522101
44,1.568971,1274.720698
44,1.559588,1282.389620
44,1.561727,1280.633219
46,1.535897,1302.170244
46,1.509385,1325.042914
46,1.529972,1307.213126
46,1.505962,1328.055072
46,1.509498,1324.943801
48,1.417299,1411.134999
48,1.433247,1395.432459
48,1.388844,1440.047043
48,1.411319,1417.114382
48,1.404991,1423.497056
50,1.385200,1443.835116
50,1.381194,1448.022016
50,1.380156,1449.111591
