n_threads,Time,GFLOPS
1,20.104988,99.477801
1,20.290562,98.567995
1,20.748375,96.393089
1,20.397678,98.050376
1,20.203961,98.990492
2,10.549575,189.581101
2,10.611378,188.476933
2,10.720016,186.566882
2,10.426863,191.812247
2,10.738236,186.250323
4,5.291599,377.957592
4,5.348442,373.940659
4,5.336318,374.790258
4,5.406585,369.919297
4,5.434789,367.999589
6,3.619829,552.512341
6,3.594595,556.390879
6,3.578191,558.941664
6,3.619805,552.515953
6,3.615031,553.245533
8,2.737683,730.544701
8,2.763778,723.647100
8,2.768728,722.353479
8,2.801764,713.835902
8,2.767524,722.667641
10,2.237972,893.666044
10,2.261919,884.204814
10,2.236875,894.104684
10,2.270285,880.946707
10,2.250220,888.802068
12,1.971590,1014.409796
12,1.967708,1016.411215
12,1.942195,1029.762771
12,1.952460,1024.348678
12,1.976766,1011.753641
14,1.723913,1160.151591
14,1.734078,1153.350504
14,1.717741,1164.320069
14,1.715108,1166.107509
14,1.708060,1170.919058
16,1.525297,1311.220205
16,1.528266,1308.673002
16,1.525889,1310.710958
16,1.532816,1304.787855
16,1.501484,1332.015194
18,1.375863,1453.632960
18,1.378000,1451.378816
18,1.367353,1462.679872
18,1.392269,1436.504459
18,1.382675,1446.471612
20,1.264794,1581.284695
20,1.254825,1593.847830
20,1.263407,1583.021002
20,1.262726,1583.874348
20,1.265772,1580.063159
22,1.205595,1658.931747
22,1.259540,1587.881177
22,1.210352,1652.411950
22,1.221996,1636.665980
22,1.221602,1637.194292
24,1.093969,1828.205057
24,1.099006,1819.826975
24,1.109147,1803.186768
24,1.171813,1706.756756
24,1.132123,1766.593156
26,1.088093,1838.077579
26,0.997762,2004.486186
26,1.110322,1801.279543
26,1.026678,1948.031070
26,1.049933,1904.883191
28,1.080394,1851.176882
28,1.110418,1801.123100
28,1.065086,1877.782699
28,1.065381,1877.262054
28,1.000529,1998.943209
30,1.116813,1790.809795
30,1.091844,1831.763272
30,1.083908,1845.175408
30,1.083639,1845.633547
30,1.101726,1815.333819
32,0.881802,2268.082528
32,0.888003,2252.245627
32,0.895591,2233.161660
32,0.891545,2243.296122
32,0.876190,2282.609806
34,0.910884,2195.668187
34,0.930656,2149.021135
34,0.921022,2171.500193
34,0.922286,2168.524077
34,0.963819,2075.077540
36,0.912506,2191.767186
36,0.868372,2303.159808
36,0.873692,2289.136215
36,0.863101,2317.226721
36,0.863433,2316.335980
38,0.851988,2347.450570
38,0.853711,2342.712771
38,0.819320,2441.049312
38,0.802431,2492.425895
38,0.823981,2427.241374
40,0.773995,2583.996338
40,0.780371,2562.882438
40,0.826713,2419.218929
40,0.781783,2558.255324
40,0.785489,2546.184473
42,0.787186,2540.694317
42,0.826591,2419.575579
42,0.798172,2505.724776
42,0.796751,2510.193387
42,0.798858,2503.574127
44,0.740463,2701.012230
44,0.763789,2618.524514
44,0.738040,2709.879034
44,0.794927,2515.953358
44,0.779361,2566.203624
46,0.760375,2630.282052
46,0.765359,2613.154311
46,0.780006,2564.081841
46,0.755660,2646.693612
46,0.706455,2831.035885
48,0.689012,2902.706075
48,0.653937,3058.399841
48,0.712276,2807.899693
48,0.654210,3057.122387
48,0.672881,2972.292704
50,0.665426,3005.594670
50,0.656960,3044.326281
50,0.659340,3033.336864
50,0.649684,3078.421529
50,0.732134,2731.738976
52,0.640179,3124.126260
52,0.653282,3061.465844
52,0.618839,3231.856262
52,0.709491,2818.924209
52,0.641072,3119.772933
54,0.747220,2676.589616
54,0.625763,3196.100747
54,0.647938,3086.717002
54,0.667074,2998.168236
54,0.642219,3114.204173
56,0.642735,3111.704344
56,0.647056,3090.924231
56,0.642353,3113.550831
56,0.667080,2998.141143
56,0.645869,3096.604303
58,0.641080,3119.734799
58,0.721933,2770.339942
58,0.641324,3118.548017
58,0.636446,3142.449640
58,0.641743,3116.510688
60,0.646117,3095.412322
60,0.651520,3069.744687
60,0.647113,3090.649779
60,0.674712,2964.229510
60,0.649879,3077.493767
62,0.593981,3367.113189
62,0.581877,3437.152236
62,0.586397,3410.658725
62,0.583147,3429.667427
62,0.586915,3407.645674
64,0.626978,3189.906691
64,0.619691,3227.416813
64,0.627059,3189.491681
64,0.608374,3287.453133
64,0.615993,3246.791850
66,0.625473,3197.579095
66,0.654659,3055.026527
66,0.707046,2828.670714
66,0.655410,3051.525419
66,0.596847,3350.941436
68,0.642201,3114.289724
68,0.603936,3311.607724
68,0.659794,3031.247094
68,0.652112,3066.958806
68,0.658829,3035.691350
70,0.756497,2643.765705
70,0.713483,2803.150428
70,0.725082,2758.307658
70,0.788838,2535.373779
70,0.831371,2405.665357
72,0.743342,2690.550222
72,0.750926,2663.380031
72,0.793869,2519.308563
72,0.758610,2636.399239
72,0.774471,2582.407389
74,0.821874,2433.463185
74,0.797798,2506.898989
74,0.864775,2312.741354
74,0.782923,2554.529713
74,0.854951,2339.314830
76,0.809359,2471.091354
76,0.788665,2535.931830
76,0.833320,2400.039515
76,0.870183,2298.366676
76,0.829377,2411.448925
78,0.871151,2295.814210
78,0.871765,2294.196425
78,0.844762,2367.530476
78,0.912516,2191.741399
78,0.868513,2302.785787
80,0.885646,2258.238749
80,0.852432,2346.228143
80,0.889453,2248.573275
80,0.887947,2252.387510
80,0.890285,2246.472637
82,0.878303,2277.118178
82,0.857553,2332.217666
82,0.878125,2277.581189
82,0.884951,2260.011480
82,0.851227,2349.548307
84,0.872882,2291.261335
84,0.883872,2262.770002
84,0.898092,2226.943543
84,0.898836,2225.101023
84,0.867908,2304.392432
86,0.906015,2207.469234
86,0.936404,2135.831055
86,0.918514,2177.430218
86,0.952549,2099.628678
86,0.920910,2171.764812
88,0.891249,2244.042491
88,0.864621,2313.151512
88,0.892907,2239.873940
88,0.891722,2242.852105
88,0.855883,2336.769041
90,0.946092,2113.959145
90,0.944296,2117.978908
90,0.922953,2166.957315
90,0.937998,2132.199749
90,0.929630,2151.393632
92,0.895252,2234.007970
92,0.902096,2217.059447
92,0.884143,2262.076826
92,0.907849,2203.010584
92,0.880475,2271.502396
94,0.898093,2226.939915
94,0.935519,2137.850908
94,0.885693,2258.117568
94,0.926187,2159.392141
94,0.922844,2167.212468
96,0.819417,2440.758579
96,0.818842,2442.473425
96,0.836644,2390.501750
96,0.842666,2373.418644
96,0.816266,2450.182888
