n_threads,Time,GFLOPS
1,20.391499,98.080088
1,20.394507,98.065620
1,20.319774,98.426291
1,20.528778,97.424211
1,20.322951,98.410903
2,10.507533,190.339633
2,10.480246,190.835213
2,10.546168,189.642350
2,10.508938,190.314196
2,10.502959,190.422533
4,5.400113,370.362631
4,5.406946,369.894591
4,5.407431,369.861366
4,5.398305,370.486663
4,5.400855,370.311719
6,3.706776,539.552394
6,3.719367,537.725886
6,3.702805,540.131121
6,3.742930,534.340674
6,3.709608,539.140557
8,2.727514,733.268573
8,2.735718,731.069467
8,2.748751,727.603119
8,2.739155,730.152227
8,2.724369,734.114962
10,2.402112,832.600744
10,2.389020,837.163204
10,2.393991,835.425052
10,2.392039,836.106611
10,2.387632,837.649947
12,1.945551,1027.986497
12,1.932188,1035.095991
12,1.926018,1038.411833
12,1.931700,1035.357621
12,1.927489,1037.619169
14,1.799592,1111.363179
14,1.802883,1109.334394
14,1.804132,1108.566125
14,1.801657,1110.089198
14,1.799015,1111.719487
16,1.516924,1318.457966
16,1.513372,1321.551850
16,1.520307,1315.523489
16,1.511712,1323.003014
16,1.516599,1318.740166
18,1.389016,1439.867738
18,1.382086,1447.087845
18,1.379132,1450.187893
18,1.384581,1444.479906
18,1.382398,1446.761205
20,1.226321,1630.893819
20,1.227901,1628.795970
20,1.224522,1633.290324
20,1.228910,1627.458530
20,1.225290,1632.267108
22,1.218681,1641.119090
22,1.214609,1646.620904
22,1.218907,1640.814280
22,1.220755,1638.330273
22,1.217625,1642.541767
24,1.062792,1881.835931
24,1.062928,1881.594787
24,1.064270,1879.222593
24,1.059349,1887.952241
24,1.062288,1882.728936
26,1.058833,1888.871732
26,1.060460,1885.973983
26,1.062773,1881.870206
26,1.051462,1902.113015
26,1.061828,1883.544669
28,0.937345,2133.687145
28,0.932895,2143.863212
28,0.931687,2146.643224
28,0.935507,2137.879011
28,0.934988,2139.064966
30,0.892774,2240.209780
30,0.889831,2247.617407
30,0.895636,2233.049186
30,0.891111,2244.389871
30,0.888321,2251.437503
32,0.866249,2308.804806
32,0.859933,2325.761747
32,0.862880,2317.819600
32,0.863713,2315.582685
32,0.866548,2308.007840
34,0.887315,2253.990797
34,0.891510,2243.383775
34,0.879262,2274.633850
34,0.888217,2251.703073
34,0.875932,2283.282871
36,0.800638,2498.009352
36,0.796713,2510.314389
36,0.797419,2508.091448
36,0.796499,2510.987185
36,0.799051,2502.970237
38,0.849413,2354.567698
38,0.836451,2391.054384
38,0.830095,2409.363544
38,0.835201,2394.633237
38,0.842095,2375.028960
40,0.764353,2616.593263
40,0.745897,2681.336509
40,0.756018,2645.441146
40,0.756657,2643.205944
40,0.745896,2681.338820
42,0.718621,2783.108211
42,0.738773,2707.190449
42,0.716190,2792.553878
42,0.715737,2794.321078
42,0.723134,2765.740702
44,0.693269,2884.884583
44,0.697129,2868.909229
44,0.703962,2841.061657
44,0.703122,2844.458494
44,0.701558,2850.799283
46,0.764584,2615.801821
46,0.764808,2615.034936
46,0.761814,2625.311348
46,0.753372,2654.731902
46,0.749235,2669.391126
48,0.724615,2760.084722
48,0.728606,2744.967223
48,0.722103,2769.686615
48,0.711057,2812.714006
48,0.702393,2847.408085
