n_threads,Time,GFLOPS
1,43.207709,46.288036
1,42.959817,46.555133
1,42.997075,46.514792
1,42.793155,46.736446
1,42.681021,46.859235
2,22.298738,89.691174
2,22.302260,89.677011
2,22.327488,89.575684
2,22.371710,89.398618
2,22.196000,90.106325
4,11.331641,176.496949
4,11.421839,175.103158
4,11.467148,174.411277
4,11.386726,175.643118
4,11.326600,176.575487
6,7.558681,264.596435
6,7.599123,263.188268
6,7.557220,264.647578
6,7.591497,263.452638
6,7.593964,263.367052
8,5.969419,335.041001
8,6.024651,331.969418
8,6.018056,332.333258
8,6.087633,328.534915
8,6.091734,328.313751
10,4.908770,407.434068
10,4.887723,409.188480
10,4.916113,406.825489
10,4.879344,409.891202
10,4.889875,409.008410
12,4.328303,462.074863
12,4.384584,456.143640
12,4.395216,455.040249
12,4.405411,453.987194
12,4.415903,452.908464
14,3.864628,517.514219
14,3.855183,518.782162
14,3.873288,516.357211
14,3.866782,517.225934
14,3.837903,521.117928
16,3.952656,505.988833
16,3.942162,507.335774
16,3.947518,506.647418
16,3.963409,504.616160
16,3.957527,505.366041
18,3.660356,546.394900
18,3.660651,546.350964
18,3.658520,546.669082
18,3.658784,546.629678
18,3.688316,542.252860
20,3.720319,537.588292
20,3.559763,561.835205
20,3.702173,540.223303
20,3.731395,535.992573
20,3.714953,538.364872
22,3.547680,563.748664
22,3.531288,566.365645
22,3.556684,562.321528
22,3.565469,560.935952
22,3.536204,565.578289
24,3.414260,585.778412
24,3.634439,550.291278
24,3.375063,592.581547
24,3.643430,548.933312
24,3.382353,591.304392
26,3.443877,580.740854
26,3.446645,580.274477
26,3.440396,581.328431
26,3.467866,576.723563
26,3.172599,630.398028
28,3.565058,561.000665
28,3.574176,559.569561
28,3.553506,562.824407
28,3.548947,563.547431
28,3.557351,562.216154
30,3.311145,604.020699
30,3.338917,598.996708
30,3.327305,601.087119
30,3.350666,596.896198
30,3.332153,600.212546
32,3.465242,577.160247
32,3.483591,574.120204
32,3.529465,566.658134
32,3.469948,576.377582
32,3.069289,651.616778
34,3.319335,602.530258
34,3.348907,597.209690
34,3.306204,604.923304
34,3.311218,604.007436
34,3.265193,612.521267
36,3.477930,575.054681
36,3.039619,657.977104
36,3.471505,576.119085
36,3.493479,572.495231
36,3.062604,653.038980
38,3.294773,607.022087
38,3.238100,617.646220
38,3.213526,622.369299
38,3.211258,622.808877
38,2.809006,711.995517
40,3.464004,577.366498
40,3.457554,578.443596
40,3.445441,580.477200
40,3.432054,582.741380
40,3.421784,584.490408
42,3.221174,620.891728
42,2.780170,719.380428
42,3.248493,615.670006
42,3.186602,627.627786
42,2.768356,722.450319
44,3.454301,578.988284
44,3.418350,585.077586
44,3.406646,587.087703
44,3.424208,584.076711
44,3.453431,579.134227
46,3.162781,632.354967
46,3.171650,630.586552
46,3.171116,630.692816
46,3.195182,625.942508
46,3.192373,626.493145
48,3.445909,580.398325
48,3.430107,583.072236
48,3.439118,581.544478
48,3.419291,584.916507
48,3.405479,587.288902
50,3.167597,631.393537
50,3.184027,628.135451
50,2.700974,740.473759
50,3.186579,627.632244
50,3.210492,622.957452
52,2.905828,688.271979
52,3.603452,555.023373
52,3.556869,562.292287
52,3.504380,570.714425
52,3.488295,573.346019
54,3.188753,627.204368
54,3.176681,629.587972
54,3.237569,617.747374
54,3.208162,623.409869
54,2.734244,731.463685
56,3.469559,576.442183
56,3.431013,582.918255
56,3.468655,576.592423
56,3.466574,576.938578
56,3.460812,577.899090
58,3.188196,627.313964
58,3.174396,630.041098
58,3.188452,627.263723
58,3.205232,623.979769
58,3.204599,624.103118
60,3.501620,571.164270
60,2.864099,698.299790
60,3.582815,558.220338
60,3.533434,566.021652
60,3.309776,604.270458
62,3.447164,580.187046
62,2.737496,730.594802
62,3.259292,613.630134
62,3.353656,596.364075
62,3.254547,614.524780
64,2.837637,704.811665
64,3.513799,569.184453
64,3.510308,569.750609
64,3.467956,576.708510
64,3.496267,572.038628
66,3.191265,626.710793
66,3.207041,623.627739
66,3.204397,624.142376
66,3.218232,621.459174
66,3.200105,624.979523
68,3.407223,586.988312
68,3.339396,598.910710
68,3.701716,540.289957
68,3.645347,548.644621
68,3.608272,554.281945
70,2.701332,740.375376
70,3.364650,594.415522
70,2.780926,719.184933
70,3.410467,586.429973
70,3.370933,593.307551
72,3.574051,559.589108
72,2.837815,704.767478
72,3.516163,568.801891
72,3.624929,551.734914
72,3.502554,571.011893
74,3.323144,601.839704
74,3.320199,602.373507
74,3.292131,607.509156
74,3.305640,605.026567
74,2.675462,747.534576
76,3.521960,567.865626
76,3.633588,550.420197
76,3.555315,562.538057
76,3.634907,550.220397
76,3.695807,541.153796
78,3.356484,595.861678
78,3.318970,602.596525
78,3.290639,607.784760
78,3.561626,561.541299
78,3.283738,609.062052
80,3.672759,544.549735
80,3.071429,651.162783
80,3.710436,539.020170
80,3.070437,651.373090
80,3.689746,542.042757
82,2.796312,715.227817
82,3.333619,599.948622
82,3.313890,603.520306
82,3.310305,604.173912
82,3.252244,614.960072
84,3.540370,564.912697
84,3.547732,563.740397
84,3.534437,565.860971
84,3.003509,665.887785
84,3.543079,564.480726
86,2.867094,697.570327
86,2.867846,697.387556
86,3.299435,606.164332
86,2.861751,698.872790
86,3.305951,604.969625
88,3.560594,561.704071
88,3.594603,556.389711
88,3.571216,560.033394
88,3.581337,558.450690
88,3.601874,555.266465
90,3.356408,595.875176
90,3.258209,613.834090
90,3.390883,589.816810
90,3.327303,601.087363
90,3.359225,595.375374
92,3.604280,554.895808
92,3.601479,555.327413
92,3.607188,554.448474
92,3.630130,550.944412
92,3.607215,554.444336
94,3.338532,599.065695
94,3.348790,597.230608
94,3.400847,588.088867
94,3.357301,595.716687
94,3.390374,589.905427
96,3.613486,553.482224
96,3.625648,551.625524
96,3.614277,553.360956
96,3.623833,551.901831
96,3.628996,551.116577
98,3.405705,587.249936
98,3.400834,588.091120
98,3.416478,585.398247
98,3.383052,591.182089
98,3.423924,584.125182
100,3.642143,549.127332
100,3.641662,549.199853
100,3.643724,548.889052
100,3.661339,546.248294
100,3.638506,549.676128
102,3.415211,585.615278
102,3.401192,588.029159
102,3.396182,588.896615
102,3.394616,589.168283
102,3.390146,589.945094
104,3.683301,542.991210
104,3.667168,545.380022
104,3.656030,547.041527
104,3.657276,546.855026
104,3.672278,544.621066
