n_threads,Time,GFLOPS
1,31.599326,63.292490
1,31.509820,63.472277
1,31.443855,63.605432
1,31.576743,63.337754
1,31.238171,64.024235
2,16.443598,121.627881
2,16.437345,121.674150
2,16.323703,122.521222
2,16.449844,121.581698
2,16.578859,120.635566
4,10.969111,182.330175
4,10.988822,182.003135
4,11.041083,181.141645
4,11.029278,181.335528
4,11.071140,180.649872
6,5.708232,350.371211
6,6.437750,310.667536
6,6.374645,313.742963
6,6.270733,318.942004
6,6.490200,308.156890
8,5.031602,397.487685
8,5.167907,387.003901
8,5.408429,369.793160
8,4.999688,400.024981
8,5.338937,374.606374
10,4.851532,412.240923
10,4.802127,416.482094
10,4.825721,414.445847
10,4.863160,411.255207
10,4.880717,409.775825
12,3.630177,550.937268
12,3.737272,535.149769
12,3.720849,537.511779
12,3.661713,546.192403
12,3.754963,532.628470
14,3.205168,623.992192
14,3.234431,618.346824
14,3.256297,614.194609
14,3.210831,622.891714
14,3.250085,615.368482
16,2.966877,674.109579
16,2.927704,683.129136
16,2.941488,679.928016
16,2.976827,671.856303
16,2.935471,681.321630
18,2.519609,793.773881
18,2.535860,788.687036
18,2.500391,799.874863
18,2.518792,794.031386
18,2.470609,809.516918
20,2.279685,877.314168
20,2.290632,873.121518
20,2.272241,880.188369
20,2.287099,874.470199
20,2.296632,870.840302
22,2.150361,930.076564
22,2.176324,918.980889
22,2.162929,924.671860
22,2.183818,915.827102
22,2.192982,912.000262
24,1.984079,1008.024356
24,1.958163,1021.365563
24,1.949827,1025.731944
24,1.982910,1008.618425
24,1.983344,1008.397935
26,1.925244,1038.829151
26,1.923970,1039.517011
26,1.909955,1047.144875
26,1.922512,1040.305619
26,1.918557,1042.450245
28,1.811114,1104.292909
28,1.770297,1129.754065
28,1.806397,1107.176251
28,1.778417,1124.595877
28,1.799577,1111.372161
30,1.727812,1157.533566
30,1.744535,1146.437428
30,1.729079,1156.685064
30,1.761689,1135.274120
30,1.737137,1151.319687
32,1.670024,1197.587592
32,1.676611,1192.882464
32,1.669504,1197.960636
32,1.672796,1195.602828
32,1.667535,1199.375001
34,1.639636,1219.782596
34,1.629486,1227.381104
34,1.666063,1200.435084
34,1.664940,1201.244491
34,1.636342,1222.238552
36,1.636342,1222.238753
36,1.646862,1214.430702
36,1.649956,1212.153377
36,1.654961,1208.487952
36,1.654602,1208.749940
38,1.721812,1161.567270
38,1.719694,1162.997677
38,1.723418,1160.484589
38,1.723728,1160.275917
38,1.711910,1168.285458
40,1.579166,1266.491346
40,1.588300,1259.207562
40,1.554452,1286.627357
40,1.600220,1249.827784
40,1.548677,1291.424961
42,1.571997,1272.267009
42,1.551304,1289.238229
42,1.551911,1288.734109
42,1.545641,1293.961297
42,1.549477,1290.758217
44,1.627778,1228.668530
44,1.640945,1218.810188
44,1.648022,1213.576253
44,1.654336,1208.944598
44,1.655165,1208.338735
46,1.566786,1276.498455
46,1.523500,1312.767025
46,1.570556,1273.434547
46,1.532167,1305.340992
46,1.592559,1255.840685
48,1.501485,1332.014404
48,1.564656,1278.236261
48,1.511135,1323.508209
48,1.563906,1278.848896
48,1.503032,1330.643349
50,1.513908,1321.084097
50,1.494195,1338.512935
50,1.517971,1317.547989
50,1.499922,1333.402452
50,1.525557,1310.996972
52,1.694397,1180.360689
52,1.676065,1193.271498
52,1.679655,1190.720428
52,1.677430,1192.299868
52,1.683509,1187.994924
54,1.665420,1200.898526
54,1.564865,1278.065371
54,1.663681,1202.153768
54,1.576764,1268.420697
54,1.668061,1198.996853
56,1.590948,1257.111786
56,1.692606,1181.609584
56,1.568525,1275.083585
56,1.698354,1177.610960
56,1.557604,1284.023564
58,1.717101,1164.754095
58,1.763278,1134.250822
58,1.727386,1157.818530
58,1.741008,1148.759916
58,1.743358,1147.211209
60,1.663766,1202.092171
60,1.664662,1201.445121
60,1.630390,1226.700458
60,1.668918,1198.381428
60,1.648738,1213.048655
62,1.894858,1055.488219
62,1.921856,1040.660428
62,1.901260,1051.933954
62,1.917046,1043.271777
62,1.898343,1053.550443
64,1.628414,1228.189210
64,1.651951,1210.689701
64,1.640945,1218.810063
64,1.652503,1210.285193
64,1.617275,1236.648080
66,1.668358,1198.783612
66,1.614016,1239.145217
66,1.670249,1197.426270
66,1.591521,1256.659450
66,1.624497,1231.150545
68,1.613932,1239.209486
68,1.615898,1237.702000
68,1.617433,1236.527591
68,1.618513,1235.701959
68,1.615445,1238.048818
70,1.512969,1321.904075
70,1.513899,1321.092426
70,1.512221,1322.557816
70,1.506269,1327.784331
70,1.514352,1320.696993
72,1.515473,1319.720312
72,1.515231,1319.931038
72,1.513996,1321.007032
72,1.515954,1319.301539
72,1.510774,1323.824355
74,1.801386,1110.256253
74,1.812119,1103.680509
74,1.789577,1117.582593
74,1.799746,1111.268125
74,1.770796,1129.435650
76,1.486622,1345.331601
76,1.494407,1338.323295
76,1.491107,1341.285812
76,1.485177,1346.640558
76,1.488276,1343.836980
78,1.467851,1362.536512
78,1.467840,1362.546324
78,1.470500,1360.081474
78,1.473872,1356.969798
78,1.472380,1358.345015
80,1.489357,1342.860959
80,1.490673,1341.676096
80,1.493687,1338.968871
80,1.481151,1350.301373
80,1.485422,1346.418831
82,1.479765,1351.566029
82,1.478642,1352.592376
82,1.479884,1351.457685
82,1.483903,1347.797246
82,1.472527,1358.209478
84,1.489018,1343.166817
84,1.499324,1333.934374
84,1.481996,1349.531623
84,1.488450,1343.679445
84,1.477861,1353.307283
86,1.581628,1264.519803
86,1.574060,1270.599541
86,1.553318,1287.566675
86,1.561853,1280.530237
86,1.544362,1295.032870
88,1.530255,1306.971859
88,1.515801,1319.434554
88,1.519305,1316.391112
88,1.537447,1300.857695
88,1.522234,1313.858385
90,1.491125,1341.269283
90,1.500545,1332.848876
90,1.492750,1339.808673
90,1.500241,1333.119537
