n_threads,Time,GFLOPS
1,42.500817,47.057919
1,42.490533,47.069308
1,42.606155,46.941575
1,42.290532,47.291909
1,42.457466,47.105967
2,21.847353,91.544272
2,21.934805,91.179293
2,21.868271,91.456706
2,22.142959,90.322166
2,21.933674,91.183996
4,10.936508,182.873737
4,10.975698,182.220757
4,10.905726,183.389906
4,10.952987,182.598596
4,10.923397,183.093228
6,7.521774,265.894719
6,7.506977,266.418829
6,7.530002,265.604163
6,7.544514,265.093270
6,7.530429,265.589130
8,5.712510,350.108771
8,5.713895,350.023910
8,5.715852,349.904072
8,5.741040,348.368909
8,5.710008,350.262228
10,4.696865,425.815901
10,4.696502,425.848878
10,4.690955,426.352447
10,4.705418,425.041984
10,4.713629,424.301518
12,4.031877,496.046926
12,4.020862,497.405834
12,4.013380,498.333113
12,4.015718,498.042927
12,4.026341,496.728861
14,3.677093,543.907918
14,3.661988,546.151498
14,3.659943,546.456641
14,3.676272,544.029436
14,3.680692,543.376132
16,3.169334,631.047484
16,3.190370,626.886592
16,3.161539,632.603348
16,3.181509,628.632584
16,3.166561,631.599995
18,2.983115,670.440085
18,3.024686,661.225705
18,2.976806,671.860943
18,2.978953,671.376741
18,2.981776,670.741115
20,2.572328,777.505853
20,2.588309,772.705167
20,2.582001,774.593171
20,2.588353,772.692084
20,2.577967,775.805143
22,2.452416,815.522383
22,2.460303,812.908024
22,2.447302,817.226642
22,2.479111,806.740784
22,2.476716,807.520787
24,2.237549,893.835074
24,2.242803,891.741437
24,2.243708,891.381576
24,2.254351,887.173290
24,2.234734,894.961261
26,2.090178,956.856465
26,2.111074,947.385183
26,2.135929,936.360591
26,2.118508,944.060748
26,2.097502,953.515333
28,2.097910,953.329550
28,2.098384,953.114615
28,2.115980,945.188446
28,2.091971,956.036205
28,2.091694,956.162879
30,2.084323,959.544250
30,2.071334,965.561509
30,2.096644,953.905480
30,2.082549,960.361764
30,2.090746,956.596300
32,1.877253,1065.386226
32,1.895681,1055.029684
32,1.888477,1059.054523
32,1.887610,1059.540832
32,1.890230,1058.072460
34,2.197658,910.059670
34,1.847350,1082.631766
34,1.844788,1084.135409
34,1.835468,1089.640349
34,1.853562,1079.003848
36,1.802829,1109.367370
36,1.801741,1110.037442
36,1.787665,1118.777620
36,1.811695,1103.938757
36,1.805623,1107.651007
38,1.708511,1170.609815
38,1.702679,1174.619792
38,1.729367,1156.492545
38,1.735409,1152.465752
38,1.733273,1153.886508
40,1.631634,1225.764923
40,1.622922,1232.344868
40,1.639025,1220.237877
40,1.630541,1226.586666
40,1.615549,1237.969414
42,1.701416,1175.491655
42,1.688478,1184.498657
42,1.700346,1176.230914
42,1.690708,1182.936368
42,1.707375,1171.388940
44,1.558777,1283.057168
44,1.570565,1273.426796
44,1.578971,1266.647852
44,1.608074,1243.724144
44,1.564252,1278.566556
46,1.510928,1323.690179
46,1.516541,1318.790411
46,1.534068,1303.723277
46,1.507647,1326.570523
46,1.518288,1317.273085
48,1.455187,1374.393431
48,1.399045,1429.546212
48,1.410753,1417.682252
48,1.413582,1414.845662
48,1.391679,1437.112550
50,1.383791,1445.305051
50,1.451443,1377.938747
50,1.390116,1438.729063
50,1.381326,1447.883752
50,1.388355,1440.553482
52,1.346977,1484.806052
52,1.340286,1492.218456
52,1.343214,1488.965737
52,1.336813,1496.095390
52,1.338041,1494.722898
54,1.401373,1427.171863
54,1.395472,1433.206583
54,1.408988,1419.458383
54,1.430227,1398.379497
54,1.408992,1419.454609
56,1.376361,1453.106992
56,1.456684,1372.981332
56,1.371238,1458.535674
56,1.364467,1465.774221
56,1.415510,1412.918701
58,1.425060,1403.449978
58,1.406178,1422.295054
58,1.414090,1414.337501
58,1.404730,1423.760830
58,1.403394,1425.116142
60,1.355705,1475.247624
60,1.356882,1473.967050
60,1.386590,1442.387257
60,1.399895,1428.679043
60,1.438609,1390.232059
62,1.237878,1615.667681
62,1.253992,1594.906108
62,1.357728,1473.049606
62,1.240330,1612.473968
62,1.260724,1586.389920
64,1.331433,1502.140377
64,1.325841,1508.476629
64,1.354531,1476.526210
64,1.497124,1335.894508
64,1.344882,1487.119537
66,1.509548,1324.899638
66,1.544920,1294.565359
66,1.514156,1320.867841
66,1.546525,1293.222308
66,1.602758,1247.849021
68,1.664853,1201.307068
68,1.675684,1193.542607
68,1.726954,1158.108191
68,1.745695,1145.675449
68,1.748072,1144.117677
70,2.057929,971.851052
70,1.841192,1086.252847
70,1.871432,1068.700061
70,2.127027,940.279752
70,2.055943,972.789776
72,1.996193,1001.907185
72,2.034630,982.979594
72,1.849676,1081.270594
72,1.984239,1007.943344
72,1.904935,1049.904862
74,2.244094,891.228301
74,2.250291,888.774026
74,2.124568,941.367909
74,2.199662,909.230410
74,1.990475,1004.785332
76,1.929488,1036.544574
76,2.053038,974.166002
76,1.954055,1023.512588
76,2.267498,882.029597
76,2.286292,874.778874
78,2.164056,924.190353
78,2.215347,902.793002
78,2.187829,914.148039
78,2.177039,918.678929
78,2.271985,880.287409
80,2.165078,923.754126
80,2.274757,879.214633
80,2.085390,959.053272
80,2.080651,961.237574
80,2.152745,929.046371
82,2.157195,927.130038
82,2.147866,931.156631
82,2.250468,888.704044
82,2.085016,959.225275
82,2.296243,870.987869
84,2.136991,935.895439
84,2.273959,879.523352
84,2.229865,896.915466
84,2.071990,965.255744
84,2.102032,951.460087
86,2.250150,888.829747
86,2.168859,922.143738
86,2.112816,946.604087
86,2.092578,955.758986
86,2.155540,927.841611
88,2.085167,959.155902
88,2.011602,994.232221
88,2.103052,950.998655
88,2.003687,998.159795
88,1.986296,1006.899255
90,2.182666,916.310739
90,2.143819,932.914455
90,2.207898,905.838768
90,2.020021,990.088593
90,2.173822,920.038428
92,2.128420,939.664248
92,2.117443,944.535241
92,2.119503,943.617315
92,2.106096,949.624319
92,2.063892,969.042743
94,2.023847,988.217212
94,2.001661,999.170065
94,1.977801,1011.224130
94,2.025211,987.551418
94,2.035655,982.484843
96,1.954459,1023.301266
96,2.022773,988.741872
96,2.010587,994.734479
96,2.062262,969.809084
96,2.009968,995.040516
98,2.024971,987.668567
98,2.074728,963.981701
98,2.049496,975.849585
98,2.192567,912.173015
98,1.988682,1005.691400
100,2.077777,962.567372
100,2.043805,978.566784
100,2.126075,940.700518
100,2.001858,999.072049
100,2.145598,932.141237
102,1.984142,1007.992194
102,2.008340,995.847562
102,1.998538,1000.731501
102,1.989142,1005.458864
102,2.054123,973.651328
104,1.982789,1008.680068
104,2.077701,962.602317
104,2.029690,985.372278
104,2.106569,949.411127
104,2.060744,970.523210
106,2.093216,955.467615
106,2.101778,951.575370
106,1.979495,1010.358532
106,2.083119,960.098929
106,2.033206,983.667966
108,2.112266,946.850253
108,2.062973,969.474665
108,2.026006,987.163697
108,2.003397,998.304628
108,2.082038,960.597307
110,1.897518,1054.008646
110,1.940776,1030.515597
110,1.932159,1035.111269
110,1.842439,1085.517455
110,2.075038,963.837572
112,1.973535,1013.410050
112,1.909247,1047.533601
112,1.991976,1004.028060
112,1.992055,1003.988335
